scenario,baseline,metric,n_treatment,n_baseline,treatment_mean,baseline_mean,abs_diff,rel_change,mannwhitney_u,mannwhitney_p,welch_t,welch_p,cohens_d
no_drift,static_rop,stockout_rate,10,10,0.17817460317460318,0.906547619047619,-0.7283730158730158,-0.8034580871087765,0.0,0.00017462420855219273,-248.44162537983482,1.9682725268617865e-24,-111.10647255796951
no_drift,static_rop,total_cost,10,10,185181.459,283107.766,-97926.307,-0.345897636025993,0.0,0.00018267179110955002,-225.70224512555467,2.1744858537699673e-28,-100.93711255501223
no_drift,periodic_forecasting,stockout_rate,10,10,0.17817460317460318,0.2615079365079365,-0.08333333333333334,-0.31866464339908956,0.0,0.00017861448837368167,-22.58659429053535,1.2389801879978845e-14,-10.10103204276914
no_drift,periodic_forecasting,total_cost,10,10,185181.459,612284.683,-427103.22399999993,-0.6975566037473453,0.0,0.00018267179110955002,-700.1464856049458,1.0826921730568931e-38,-313.11502720404735
abrupt,static_rop,stockout_rate,10,10,0.1773809523809524,0.906547619047619,-0.7291666666666666,-0.804333552199606,0.0,0.00017462420855219273,-221.70043230036217,1.457882554355217e-22,-99.14744745293996
abrupt,static_rop,total_cost,10,10,184896.264,282686.07,-97789.80600000001,-0.3459307563333418,0.0,0.00018267179110955002,-213.54377263093224,5.6241738910354145e-27,-95.49967835490476
abrupt,periodic_forecasting,stockout_rate,10,10,0.1773809523809524,0.26686507936507936,-0.08948412698412697,-0.33531598513011146,0.0,0.00017561553104590864,-22.521865241695412,2.6322790680899444e-14,-10.072084332104126
abrupt,periodic_forecasting,total_cost,10,10,184896.264,612887.716,-427991.45200000005,-0.6983195140429279,0.0,0.00018267179110955002,-669.0297986936723,4.9462315913103415e-39,-299.1992217704102
gradual,static_rop,stockout_rate,10,10,0.19007936507936507,0.906547619047619,-0.716468253968254,-0.790326110746334,0.0,0.00017462420855219273,-186.74810727840173,1.6843582645966277e-20,-83.51629250878591
gradual,static_rop,total_cost,10,10,186215.96,283066.546,-96850.58599999998,-0.3421477647874362,0.0,0.00018267179110955002,-223.52609755849468,2.3926753985943466e-28,-99.96390977720878
gradual,periodic_forecasting,stockout_rate,10,10,0.19007936507936507,0.2615079365079365,-0.07142857142857145,-0.2731411229135054,0.0,0.00017861448837368167,-16.07826602273617,2.4888993579035745e-11,-7.190419157432657
gradual,periodic_forecasting,total_cost,10,10,186215.96,612108.539,-425892.579,-0.6957795094572272,0.0,0.00018267179110955002,-695.0146795640271,1.7767470222037275e-38,-310.8200137730797
seasonal,static_rop,stockout_rate,10,10,0.17996031746031746,0.906547619047619,-0.7265873015873016,-0.8014882906544101,0.0,0.00017561553104590864,-252.70200783117042,8.8847921064598e-25,-113.01177351223622
seasonal,static_rop,total_cost,10,10,186537.643,282948.311,-96410.66799999998,-0.3407359727975191,0.0,0.00018267179110955002,-216.310466540974,1.3237453579475906e-27,-96.73698148606228
seasonal,periodic_forecasting,stockout_rate,10,10,0.17996031746031746,0.2632936507936508,-0.08333333333333334,-0.3165033911077619,0.0,0.00017962250499070813,-22.47850660232251,1.2714973368879582e-14,-10.052693759094188
seasonal,periodic_forecasting,total_cost,10,10,186537.643,613384.776,-426847.1329999999,-0.6958880456465714,0.0,0.00018267179110955002,-696.0405450941647,1.973413107971631e-39,-311.27879478531196
severe_abrupt,static_rop,stockout_rate,10,10,0.2128968253968254,0.906547619047619,-0.6936507936507936,-0.7651564893849857,0.0,0.00017462420855219273,-221.10645399897317,5.0204037666226344e-23,-98.88181228112684
severe_abrupt,static_rop,total_cost,10,10,209659.72,281578.373,-71918.65300000002,-0.25541255968546994,0.0,0.00018267179110955002,-80.82723852127405,9.2795014964942e-16,-36.14703995343169
severe_abrupt,periodic_forecasting,stockout_rate,10,10,0.2128968253968254,0.27420634920634923,-0.06130952380952384,-0.2235890014471781,0.0,0.00017761066068896377,-14.849592338165388,1.5302940761155343e-11,-6.640939581259571
severe_abrupt,periodic_forecasting,total_cost,10,10,209659.72,617033.061,-407373.341,-0.6602131502318318,0.0,0.00018267179110955002,-419.77332141239873,2.2886120145836916e-29,-187.72833636379838
catastrophic,static_rop,stockout_rate,10,10,0.25476190476190474,0.906547619047619,-0.6517857142857143,-0.7189757058437295,0.0,0.00017561553104590864,-31.212193886603846,1.5573776518591266e-10,-13.958517451469907
catastrophic,static_rop,total_cost,10,10,304398.669,273208.00800000003,31190.660999999964,0.11416451965785702,90.0,0.0028272720911168077,3.8643558944871113,0.003809491986540554,1.7281924938650401
catastrophic,periodic_forecasting,stockout_rate,10,10,0.25476190476190474,0.30813492063492065,-0.053373015873015905,-0.17321313586606576,6.0,0.0009991495058677869,-2.547567301938304,0.030863615962102926,-1.139306732877958
catastrophic,periodic_forecasting,total_cost,10,10,304398.669,647775.048,-343376.37899999996,-0.5300858377613828,0.0,0.00018267179110955002,-42.483110865033716,9.579321241422303e-12,-18.99902475797505
