step,stockout_skus_step,total_on_hand
90,0,2079
91,0,2071
92,0,2059
93,0,2052
94,0,2038
95,0,2023
96,0,2002
97,0,2427
98,0,2864
99,0,3313
100,0,3768
101,0,4224
102,0,4721
103,0,5230
104,0,5280
105,0,5311
106,0,5362
107,0,5418
108,0,5489
109,0,5538
110,0,5578
111,0,5627
112,0,5686
113,0,5723
114,0,5750
115,0,5755
116,0,5747
117,0,5744
118,0,5743
119,0,5738
120,0,5772
121,0,5807
122,0,5838
123,0,5971
124,0,6114
125,0,6269
126,0,6418
127,0,6543
128,0,6653
129,0,6755
130,0,6747
131,0,6754
132,0,6773
133,0,6790
134,0,6819
135,0,6849
136,0,6870
137,0,6912
138,0,6937
139,0,6956
140,0,6970
141,0,6986
142,0,6995
143,0,6980
144,0,6971
145,0,6974
146,0,6981
147,0,7008
148,0,7043
149,0,7071
150,0,7093
151,0,7106
152,0,7128
153,0,7149
154,0,7177
155,0,7206
156,0,7222
157,0,7267
158,0,7328
159,0,7384
160,0,7437
161,0,7456
162,0,7484
163,0,7519
164,0,7538
165,1,7542
166,1,7545
167,1,7536
168,1,7545
169,1,7555
170,0,7559
171,0,7578
172,0,7608
173,0,7632
174,0,7651
175,0,7682
176,0,7728
177,0,7775
178,0,7771
179,0,7767
180,0,7760
181,1,7754
182,1,7729
183,1,7716
184,1,7724
185,0,7717
186,0,7694
187,0,7690
188,0,7692
189,0,7703
190,0,7721
191,0,7747
192,0,7753
193,0,7786
194,0,7837
195,1,7911
196,1,8007
197,1,8118
198,1,8192
199,1,8264
200,0,8327
201,0,8415
202,0,8487
203,0,8546
204,0,8613
205,0,8670
206,0,8723
207,0,8721
208,0,8733
209,0,8746
210,0,8732
211,0,8735
212,0,8741
213,0,8742
214,0,8725
215,0,8706
216,0,8690
217,0,8678
218,0,8666
219,0,8666
220,0,8658
221,0,8662
222,0,8664
223,0,8651
224,0,8649
225,0,8657
226,0,8653
227,0,8669
228,0,8699
229,0,8716
230,0,8748
231,0,8785
232,0,8819
233,0,8881
234,1,8913
235,1,8928
236,0,8955
237,0,8994
238,0,9024
239,0,9066
240,0,9073
241,0,9089
242,0,9074
243,1,9087
244,1,9098
245,1,9122
246,0,9141
247,1,9171
248,1,9161
249,0,9207
250,0,9248
251,0,9280
252,0,9323
253,0,9401
254,0,9477
255,0,9575
256,0,9651
257,0,9740
258,0,9846
259,0,9971
260,0,10065
261,0,10192
262,0,10271
263,0,10324
264,0,10373
265,0,10404
266,0,10443
267,0,10469
268,0,10505
269,0,10562
270,1,10573
271,1,10589
272,1,10617
273,0,10665
274,2,10713
275,3,10677
276,3,10565
277,4,10466
278,3,10417
279,4,10392
280,5,10418
281,3,10474
282,5,10613
283,5,10748
284,4,10927
285,1,11122
286,1,11501
287,1,11937
288,1,12375
289,3,12837
290,3,13465
291,4,14036
292,3,14572
293,4,15124
294,3,15611
295,1,16052
296,0,16353
297,0,16724
298,1,17034
299,0,17466
300,0,17600
301,0,17845
302,2,18125
303,4,18487
304,4,18759
305,3,19003
306,5,19161
307,4,19296
308,3,19417
309,2,19830
310,2,20301
311,2,20741
312,1,21294
313,3,21796
314,5,22255
315,6,22582
316,5,23217
317,5,24178
318,4,25175
319,5,26099
320,5,27002
321,5,28064
322,5,28696
323,4,30344
324,4,31815
325,4,33125
326,3,34539
327,3,35872
328,2,37232
329,2,38743
330,2,39266
331,1,39736
332,1,40887
333,2,42007
334,2,43372
335,1,44836
336,0,46001
337,0,47348
338,0,48800
339,0,49410
340,0,50021
341,0,50356
