step,stockout_skus_step,total_on_hand
90,0,2125
91,0,2117
92,0,2105
93,0,2098
94,0,2084
95,0,2069
96,1,2049
97,0,2434
98,0,2823
99,0,3235
100,0,3668
101,0,4121
102,0,4604
103,0,5114
104,0,5198
105,0,5297
106,0,5386
107,0,5460
108,0,5543
109,0,5609
110,0,5662
111,0,5703
112,0,5746
113,0,5790
114,0,5825
115,0,5815
116,0,5799
117,0,5788
118,0,5807
119,0,5823
120,0,5848
121,0,5881
122,0,5921
123,0,6056
124,0,6206
125,0,6331
126,0,6451
127,0,6581
128,0,6689
129,0,6806
130,0,6813
131,0,6834
132,0,6869
133,0,6903
134,0,6943
135,0,6985
136,0,6993
137,0,7016
138,0,7019
139,0,7024
140,0,7024
141,0,7040
142,0,7049
143,0,7041
144,0,7038
145,0,7047
146,0,7054
147,0,7074
148,0,7094
149,0,7101
150,0,7102
151,0,7117
152,0,7117
153,0,7123
154,0,7129
155,0,7136
156,0,7137
157,0,7165
158,0,7184
159,0,7218
160,0,7242
161,0,7260
162,0,7288
163,0,7314
164,1,7332
165,1,7346
166,1,7354
167,1,7366
168,1,7387
169,0,7421
170,0,7464
171,0,7506
172,0,7554
173,0,7596
174,0,7627
175,0,7684
176,0,7741
177,0,7776
178,0,7773
179,0,7770
180,0,7765
181,1,7760
182,1,7736
183,1,7715
184,1,7725
185,1,7713
186,1,7693
187,0,7704
188,0,7722
189,0,7750
190,0,7785
191,0,7818
192,1,7840
193,1,7868
194,1,7886
195,1,7946
196,1,8003
197,1,8081
198,1,8138
199,1,8195
200,0,8260
201,0,8350
202,0,8389
203,0,8457
204,0,8526
205,0,8579
206,0,8616
207,0,8614
208,0,8620
209,0,8627
210,0,8619
211,0,8625
212,0,8635
213,0,8639
214,0,8623
215,0,8612
216,0,8607
217,0,8601
218,0,8588
219,0,8596
220,0,8591
221,0,8579
222,0,8565
223,0,8546
224,0,8538
225,0,8527
226,0,8494
227,0,8483
228,0,8479
229,0,8462
230,0,8458
231,0,8458
232,0,8468
233,0,8504
234,0,8531
235,1,8557
236,1,8592
237,1,8631
238,0,8666
239,0,8714
240,0,8734
241,0,8749
242,0,8742
243,0,8759
244,0,8789
245,0,8824
246,0,8842
247,0,8860
248,0,8831
249,0,8831
250,0,8825
251,0,8818
252,0,8821
253,0,8872
254,0,8937
255,0,9034
256,0,9134
257,0,9248
258,0,9363
259,0,9503
260,0,9609
261,0,9683
262,0,9719
263,0,9737
264,0,9750
265,0,9755
266,0,9761
267,0,9766
268,0,9782
269,0,9850
270,0,9851
271,0,9879
272,1,9924
273,1,9987
274,2,10039
275,3,10051
276,3,9950
277,4,9859
278,2,9819
279,4,9787
280,5,9809
281,4,9864
282,4,9929
283,4,10037
284,4,10133
285,2,10245
286,2,10390
287,2,10611
288,2,10830
289,3,11108
290,3,11364
291,5,11556
292,2,11781
293,1,11983
294,1,12109
295,1,12222
296,1,12326
297,1,12393
298,1,12521
299,0,12698
300,2,12660
301,2,12708
302,4,12697
303,5,12738
304,6,12748
305,4,12807
306,7,12824
307,4,12832
308,3,12841
309,3,13123
310,2,13501
311,1,13872
312,2,14219
313,5,14536
314,6,14661
315,7,13974
316,9,13769
317,9,13766
318,13,13953
319,14,14160
320,12,14589
321,13,15102
322,9,15759
323,6,16573
324,4,17432
325,6,18049
326,6,18707
327,5,19337
328,3,20095
329,3,20971
330,4,21531
331,4,21873
332,5,22302
333,3,22729
334,3,23325
335,3,23932
336,3,24301
337,3,25095
338,5,25819
339,3,26486
340,3,27225
341,3,27599
342,1,28007
343,0,28539
