step,stockout_skus_step,total_on_hand
90,0,2065
91,0,2057
92,0,2045
93,0,2038
94,0,2024
95,0,2009
96,1,1989
97,0,2415
98,0,2852
99,0,3301
100,0,3756
101,0,4206
102,0,4690
103,0,5181
104,0,5220
105,0,5257
106,0,5305
107,0,5358
108,0,5441
109,0,5513
110,0,5587
111,0,5626
112,0,5660
113,0,5695
114,0,5720
115,0,5733
116,0,5733
117,0,5738
118,0,5753
119,0,5771
120,0,5821
121,0,5872
122,0,5889
123,0,6015
124,0,6164
125,0,6315
126,0,6453
127,0,6573
128,0,6678
129,0,6803
130,0,6814
131,0,6831
132,0,6855
133,0,6877
134,0,6911
135,0,6946
136,0,6962
137,0,6984
138,0,6979
139,0,6984
140,0,6984
141,0,6986
142,0,6988
143,0,6966
144,0,6956
145,0,6959
146,0,6973
147,0,6994
148,0,7031
149,0,7059
150,0,7089
151,0,7120
152,0,7160
153,0,7191
154,0,7230
155,0,7261
156,0,7275
157,0,7309
158,0,7353
159,0,7396
160,0,7429
161,0,7450
162,0,7481
163,0,7501
164,0,7517
165,1,7526
166,1,7534
167,1,7531
168,1,7539
169,1,7548
170,0,7560
171,0,7549
172,0,7549
173,0,7562
174,0,7578
175,0,7599
176,0,7635
177,0,7665
178,0,7682
179,0,7699
180,1,7679
181,0,7667
182,0,7641
183,0,7619
184,0,7628
185,0,7616
186,0,7588
187,0,7587
188,0,7584
189,0,7590
190,0,7610
191,0,7630
192,1,7639
193,1,7670
194,0,7717
195,0,7788
196,1,7872
197,1,7972
198,1,8043
199,1,8114
200,0,8178
201,0,8257
202,0,8310
203,0,8371
204,0,8441
205,0,8502
206,0,8548
207,0,8549
208,0,8557
209,0,8559
210,0,8531
211,0,8520
212,0,8520
213,0,8514
214,0,8496
215,0,8483
216,0,8482
217,0,8485
218,0,8488
219,0,8495
220,0,8488
221,0,8476
222,0,8462
223,0,8440
224,0,8436
225,0,8437
226,0,8433
227,0,8465
228,0,8514
229,0,8553
230,0,8599
231,0,8648
232,0,8701
233,0,8791
234,1,8837
235,1,8873
236,1,8916
237,0,8971
238,0,9010
239,0,9074
240,0,9079
241,0,9102
242,0,9094
243,1,9131
244,0,9172
245,0,9217
246,0,9240
247,0,9287
248,0,9288
249,0,9337
250,0,9409
251,0,9466
252,0,9524
253,0,9613
254,0,9681
255,1,9774
256,1,9887
257,0,9978
258,0,10079
259,0,10199
260,0,10278
261,0,10334
262,0,10348
263,0,10345
264,0,10322
265,0,10309
266,0,10304
267,0,10316
268,0,10341
269,0,10389
270,2,10390
271,1,10404
272,1,10415
273,1,10435
274,2,10441
275,2,10413
276,3,10302
277,5,10210
278,4,10153
279,5,10106
280,5,10140
281,4,10214
282,4,10371
283,4,10523
284,3,10719
285,2,10944
286,2,11340
287,2,11785
288,2,12237
289,3,12513
290,3,12951
291,4,13333
292,2,13710
293,2,13942
294,1,14149
295,0,14359
296,1,14628
297,1,15077
298,0,15559
299,0,16122
300,0,16415
301,1,16705
302,4,17061
303,5,17438
304,6,17642
305,6,17841
306,7,18016
307,4,18180
308,5,18439
309,3,19092
310,2,19696
311,2,20258
312,3,20900
313,3,21524
314,5,22068
315,5,21743
316,6,21508
317,6,21598
318,7,21802
319,8,22189
320,7,22651
321,7,23233
322,5,24292
323,3,26371
324,4,28272
325,6,30205
326,5,32031
327,6,33946
328,4,36242
329,2,38346
330,3,39291
331,3,40294
332,1,41833
333,1,43350
334,3,44785
335,3,46145
336,2,47094
337,2,48459
338,1,49824
339,1,50240
340,1,50646
341,1,50972
342,0,51354
343,0,51781
344,0,51947
345,0,52105
346,0,52177
347,0,52376
348,0,52468
349,1,52512
350,1,52644
351,1,52989
352,1,53373
353,1,53611
354,0,53711
355,0,53890
356,0,53937
357,0,54023
358,2,53844
359,2,53984
360,2,53935
361,2,53981
362,2,54169
363,1,54670
364,0,55156
365,0,55740
366,0,56452
367,0,57163
368,0,57895
369,1,58492
370,1,58736
371,1,58981
372,2,59127
373,2,59141
374,2,59126
375,1,59122
376,1,59163
377,0,59165
378,0,59170
379,0,59212
380,0,59306
381,0,59386
382,0,59413
383,0,59395
384,0,59388
385,0,59375
386,0,59375
387,0,59388
388,0,59370
389,0,59360
390,0,59335
391,0,59314
392,0,59304
393,0,59289
394,0,59266
395,0,59233
396,0,59178
397,0,59137
398,0,59076
399,0,59031
400,0,58983
401,0,58941
402,0,58887
403,0,58816
404,1,58752
405,1,58692
406,1,58648
407,1,58614
408,1,58558
409,0,58491
410,0,58441
411,0,58399
412,0,58370
413,0,58318
414,0,58301
415,0,58286
416,0,58243
417,0,58235
418,0,58239
419,0,58261
420,0,58295
421,0,58322
422,0,58356
423,0,58371
424,0,58319
425,0,58282
426,0,58231
427,1,58179
428,1,58162
429,1,58223
430,1,58255
431,1,58288
432,1,58253
433,1,58222
434,0,58223
435,0,58228
436,0,58234
437,0,58209
438,0,58177
439,0,58153
440,0,58137
441,0,58149
442,0,58148
443,0,58159
444,0,58133
445,0,58138
446,0,58160
447,0,58163
448,0,58143
449,0,58131
450,0,58106
451,0,58062
452,0,58046
453,0,58011
454,0,57980
455,0,57944
456,0,57931
457,0,57903
458,0,57853
459,0,57779
460,1,57742
461,1,57694
462,1,57681
463,1,57683
464,1,57670
465,0,57661
466,0,57654
467,0,57640
468,0,57608
469,0,57569
470,0,57559
471,0,57566
472,0,57497
473,0,57417
474,1,57329
475,1,57268
476,0,57296
477,1,57349
478,1,57439
479,1,57496
480,1,57559
481,1,57617
482,1,57708
483,1,57708
484,1,57722
485,1,57719
486,1,57675
487,0,57632
488,0,57579
489,0,57561
490,0,57549
491,0,57542
492,0,57534
493,0,57522
494,0,57521
495,0,57539
496,0,57549
497,0,57552
498,0,57556
499,0,57559
500,0,57569
501,0,57570
502,0,57552
503,0,57540
504,0,57519
505,0,57501
506,0,57477
507,0,57449
508,0,57423
509,0,57402
510,0,57362
511,0,57335
512,0,57320
513,0,57324
514,0,57310
515,0,57312
516,0,57315
517,0,57336
518,0,57354
519,0,57356
520,0,57372
521,0,57359
522,1,57323
523,1,57281
524,0,57242
525,0,57227
526,0,57231
527,0,57224
528,0,57217
529,0,57208
530,0,57196
531,0,57185
532,0,57163
533,0,57146
534,0,57129
535,0,57093
536,0,57069
537,0,57045
538,0,57013
539,0,56999
540,0,57002
541,0,56995
542,0,56990
543,0,56977
544,0,56963
545,0,56943
546,0,56929
547,0,56918
548,0,56903
549,0,56882
550,0,56868
551,0,56854
552,0,56845
553,0,56822
554,0,56800
555,0,56780
556,0,56751
557,0,56707
558,0,56679
559,0,56655
560,0,56635
561,1,56601
562,0,56625
563,0,56625
564,0,56616
565,0,56607
566,0,56604
567,0,56619
568,0,56646
569,0,56632
570,0,56600
571,0,56578
572,0,56574
573,0,56587
574,1,56610
575,1,56598
576,1,56601
577,0,56591
578,0,56711
579,0,56854
580,0,56957
581,0,57082
582,0,57221
583,0,57359
584,0,57495
585,0,57483
586,0,57463
587,0,57461
588,0,57469
589,0,57476
590,0,57486
591,0,57500
592,0,57516
593,0,57556
