step,stockout_skus_step,total_on_hand
90,0,2091
91,0,2083
92,0,2071
93,0,2064
94,0,2050
95,0,2035
96,1,2015
97,0,2242
98,0,2488
99,0,2751
100,0,3027
101,0,3302
102,0,3601
103,0,3913
104,0,4003
105,0,4064
106,0,4139
107,0,4217
108,0,4305
109,0,4390
110,0,4459
111,0,4531
112,0,4635
113,0,4704
114,0,4752
115,0,4781
116,0,4797
117,0,4817
118,0,4835
119,0,4829
120,0,4848
121,0,4875
122,0,4902
123,0,5037
124,0,5182
125,0,5320
126,0,5472
127,0,5621
128,0,5747
129,0,5882
130,0,5907
131,0,5961
132,0,6030
133,0,6077
134,0,6123
135,0,6178
136,0,6215
137,0,6252
138,0,6263
139,0,6276
140,0,6284
141,0,6308
142,0,6318
143,0,6304
144,0,6303
145,0,6320
146,0,6343
147,0,6386
148,0,6429
149,0,6459
150,0,6484
151,0,6509
152,0,6511
153,0,6509
154,0,6508
155,0,6508
156,0,6501
157,0,6525
158,0,6572
159,0,6634
160,0,6686
161,0,6709
162,0,6741
163,0,6779
164,1,6812
165,1,6828
166,1,6838
167,2,6845
168,2,6871
169,0,6922
170,0,6972
171,0,7012
172,0,7058
173,0,7098
174,0,7127
175,0,7160
176,0,7177
177,0,7167
178,0,7149
179,0,7138
180,1,7124
181,0,7126
182,0,7124
183,0,7134
184,0,7167
185,0,7179
186,0,7167
187,0,7174
188,0,7179
189,0,7177
190,1,7184
191,1,7202
192,1,7211
193,0,7240
194,0,7283
195,1,7349
196,1,7428
197,1,7519
198,1,7566
199,1,7612
200,0,7659
201,0,7724
202,0,7761
203,0,7809
204,0,7879
205,0,7947
206,0,8006
207,0,8022
208,0,8048
209,0,8076
210,0,8079
211,0,8080
212,0,8079
213,0,8081
214,0,8072
215,0,8069
216,0,8072
217,0,8079
218,0,8087
219,0,8109
220,0,8109
221,0,8111
222,0,8113
223,0,8110
224,0,8120
225,0,8140
226,0,8136
227,0,8144
228,0,8159
229,0,8161
230,0,8170
231,0,8183
232,0,8192
233,0,8227
234,1,8237
235,1,8238
236,1,8244
237,0,8275
238,0,8297
239,0,8331
240,0,8337
241,0,8358
242,0,8355
243,0,8383
244,0,8410
245,0,8456
246,0,8492
247,0,8536
248,0,8536
249,0,8575
250,0,8615
251,0,8656
252,0,8692
253,0,8784
254,0,8881
255,0,9004
256,0,9137
257,0,9267
258,0,9398
259,0,9551
260,0,9660
261,0,9749
262,0,9803
263,0,9788
264,0,9774
265,0,9751
266,0,9743
267,0,9730
268,1,9731
269,0,9754
270,0,9727
271,0,9715
272,0,9715
273,0,9721
274,2,9733
275,5,9702
276,5,9610
277,7,9543
278,5,9527
279,6,9525
280,7,9587
281,5,9678
282,5,9844
283,7,9977
284,5,10157
285,3,10345
286,3,10728
287,3,11163
288,2,11580
289,3,12084
290,3,12753
291,4,13344
292,3,13893
293,4,14400
294,3,14880
295,2,15279
296,1,15530
297,1,15707
298,0,16022
299,0,16430
300,2,16610
301,2,16860
302,5,17083
303,5,17373
304,5,17655
305,3,17833
306,5,17918
307,5,17933
308,6,17999
309,5,18371
310,2,18899
311,2,19311
312,2,19671
313,3,20024
314,5,20389
315,5,20605
316,5,21082
317,5,21582
318,6,22152
319,8,22722
320,8,23485
321,7,24277
322,6,24556
323,5,25877
324,5,27297
325,4,28533
326,2,29925
327,4,31162
328,3,32514
329,2,33986
330,3,34460
331,3,34718
332,1,35656
333,1,36583
334,1,37625
335,1,38823
336,0,39878
337,0,41073
338,0,42233
339,1,42707
340,1,43158
341,0,43782
342,0,44372
343,0,45009
344,0,45419
345,0,45987
346,0,46286
347,0,46480
348,0,46733
349,0,46978
350,0,46965
351,0,47263
352,0,47627
353,0,48105
354,0,48377
355,0,48718
356,0,48997
357,0,49313
358,1,49568
359,1,50081
360,1,50401
361,1,50797
362,1,51340
363,0,52185
364,0,53270
365,0,54338
366,0,55306
367,0,56279
368,1,57127
369,1,57962
370,1,58477
371,1,58705
372,2,58755
373,2,58812
374,1,58843
375,1,58966
376,1,59013
377,1,59064
378,1,59128
379,1,59228
380,1,59340
381,0,59451
382,0,59470
383,0,59505
384,0,59546
385,0,59582
386,0,59631
387,0,59677
388,0,59696
389,0,59724
390,0,59735
391,0,59753
392,0,59773
393,0,59799
394,0,59826
395,0,59791
396,0,59725
397,0,59677
398,1,59608
399,1,59566
400,1,59530
401,1,59500
402,1,59460
403,1,59405
404,2,59357
405,1,59312
406,1,59282
407,1,59261
408,1,59210
409,0,59149
410,0,59105
411,0,59068
412,0,59039
413,0,58987
414,0,58970
415,0,58955
416,0,58890
417,0,58853
418,0,58827
419,0,58826
420,0,58837
421,0,58849
422,0,58869
423,0,58887
424,0,58846
425,0,58820
426,0,58770
427,1,58721
428,1,58687
429,1,58640
430,1,58572
431,1,58494
432,1,58447
433,1,58391
434,0,58365
435,0,58353
436,0,58341
437,0,58296
438,0,58256
439,0,58215
440,0,58185
441,0,58172
442,0,58144
443,0,58117
444,0,58040
445,0,57986
446,0,57947
447,0,57920
448,0,57887
449,0,57862
450,0,57835
451,0,57798
452,0,57794
453,0,57774
454,0,57749
455,0,57719
456,0,57710
457,0,57686
458,0,57655
459,0,57598
460,1,57551
461,1,57493
462,1,57470
463,1,57462
464,1,57439
465,0,57402
466,0,57366
467,0,57352
468,0,57320
469,0,57281
470,0,57271
471,0,57278
472,0,57209
473,0,57129
474,1,57030
475,0,56981
476,0,57009
477,1,57061
478,1,57133
479,1,57160
480,2,57213
481,2,57258
482,2,57308
483,2,57291
484,2,57296
485,1,57332
486,1,57370
487,0,57416
488,0,57459
489,0,57543
490,0,57607
491,0,57676
492,0,57681
493,0,57660
494,0,57624
495,0,57608
496,0,57588
497,0,57561
498,0,57535
499,0,57507
500,0,57485
501,0,57464
502,0,57446
503,0,57424
504,0,57393
505,0,57365
506,0,57342
507,0,57315
508,0,57289
509,0,57283
510,0,57270
511,0,57273
512,0,57268
513,0,57269
514,0,57237
515,0,57220
516,0,57186
517,0,57172
518,0,57155
519,0,57147
520,0,57151
521,0,57141
522,1,57138
523,1,57130
524,1,57120
525,0,57139
526,0,57157
527,0,57180
528,0,57213
529,0,57245
530,0,57275
531,0,57302
532,0,57293
533,0,57291
534,0,57274
535,0,57249
536,0,57228
537,0,57207
538,0,57178
539,0,57164
540,0,57157
541,0,57140
542,0,57117
543,0,57094
544,0,57070
545,0,57048
546,0,57021
547,0,57000
548,0,56975
549,0,56944
550,0,56920
551,0,56895
552,0,56867
553,0,56837
554,0,56815
555,0,56795
556,0,56766
557,0,56722
558,0,56687
559,0,56655
560,0,56627
561,1,56585
562,0,56592
563,0,56574
564,0,56547
565,0,56529
566,0,56528
567,0,56532
568,0,56553
569,0,56541
570,0,56505
571,0,56486
572,0,56483
573,0,56467
574,1,56487
575,1,56473
576,1,56483
577,0,56509
578,0,56544
579,0,56691
580,0,56827
581,0,56966
582,0,57118
583,0,57261
584,0,57376
585,0,57491
586,0,57487
587,0,57485
588,0,57494
589,0,57502
590,0,57526
591,0,57554
592,0,57576
593,0,57616
