step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2267
101,0,2481
103,0,2721
105,0,2967
107,0,3018
109,0,3077
111,0,3141
113,0,3227
115,0,3282
117,0,3315
119,0,3330
121,0,3382
123,0,3428
125,0,3501
127,0,3565
129,0,3593
131,0,3629
133,0,3658
135,0,3683
137,0,3699
139,0,3704
141,0,3713
143,0,3698
145,0,3763
147,0,3837
149,0,3910
151,0,3978
153,0,4009
155,0,4045
157,0,4091
159,0,4171
161,0,4217
163,0,4252
165,0,4305
167,0,4344
169,0,4399
171,0,4465
173,0,4502
175,0,4547
177,0,4603
179,0,4641
181,0,4659
183,0,4649
185,0,4648
187,0,4641
189,0,4652
191,0,4670
193,0,4644
195,0,4702
197,0,4815
199,0,4909
201,0,5064
203,0,5147
205,0,5180
207,0,5218
209,0,5224
211,0,5232
213,0,5215
215,0,5188
217,0,5183
219,0,5190
221,0,5211
223,0,5214
225,0,5207
227,0,5224
229,0,5228
231,0,5246
233,0,5266
235,0,5265
237,0,5270
239,0,5322
241,0,5390
243,0,5433
245,0,5496
247,0,5526
249,0,5528
251,0,5556
253,0,5610
255,0,5630
257,0,5703
259,0,5781
261,0,5835
263,0,5885
265,0,5894
267,0,5932
269,0,5968
271,0,6021
273,0,6048
275,0,6069
277,0,6076
279,1,6091
281,1,6130
283,1,6161
285,0,6226
287,0,6335
289,0,6435
291,0,6536
293,0,6608
295,0,6661
297,0,6698
299,0,6743
301,0,6762
303,0,6797
305,0,6806
307,0,6778
309,0,6778
311,0,6756
313,0,6720
315,1,6498
317,1,6462
319,1,6414
321,0,6461
323,0,6601
325,0,6710
327,0,6904
329,0,7083
331,0,7193
333,0,7290
335,0,7301
337,0,7356
339,0,7397
341,0,7417
343,0,7433
345,0,7438
347,0,7398
349,0,7382
351,0,7380
353,0,7389
355,0,7398
357,0,7369
359,0,7360
361,1,7327
363,2,7279
365,2,7302
367,3,7308
369,0,7382
371,0,7505
373,0,7571
375,0,7653
377,0,7643
379,0,7684
381,0,7679
383,0,7654
385,0,7685
387,0,7725
389,0,7726
391,0,7756
393,0,7743
395,0,7740
397,0,7751
399,0,7778
401,0,7819
403,0,7857
405,0,7901
407,1,7935
409,1,7934
411,0,7967
413,0,8013
415,0,8077
417,0,8096
419,0,8100
421,0,8071
423,0,8058
425,0,8037
427,1,7995
429,1,7967
431,1,7891
433,1,7849
435,0,8020
437,0,8185
439,0,8365
441,0,8572
443,0,8595
445,0,8554
447,0,8536
449,0,8520
451,0,8497
453,0,8475
455,0,8464
457,0,8474
459,0,8420
461,0,8373
463,0,8384
465,0,8339
467,0,8368
469,0,8442
471,0,8552
473,0,8642
475,0,8676
477,1,8716
479,1,8743
481,1,8730
483,0,8829
485,0,8886
487,0,8954
489,0,9065
491,0,9097
493,0,9114
495,0,9104
497,0,9096
499,0,9099
501,0,9115
503,0,9130
505,0,9116
507,0,9078
509,0,9045
511,0,9018
513,0,8999
515,0,8959
517,0,8940
519,0,8925
521,0,8889
523,0,8855
525,0,8845
527,1,8826
529,0,8839
531,0,8874
533,0,8905
535,0,8926
537,0,8894
539,0,8872
541,0,8847
543,0,8824
545,0,8794
547,0,8765
549,1,8739
551,1,8719
553,1,8725
555,0,8759
557,0,8780
559,0,8813
561,0,8814
563,0,8825
565,0,8855
567,0,8894
569,0,8942
571,0,8962
573,0,8926
575,0,8898
577,0,8877
579,0,8863
581,0,8849
583,0,8839
585,0,8812
587,0,8811
589,0,8823
591,0,8840
593,0,8864
595,0,8879
597,0,8879
599,0,8879
601,0,8879
603,0,8879
605,0,8879
607,0,8879
609,0,8879
611,0,8879
613,0,8879
615,0,8879
617,0,8879
619,0,8879
621,0,8879
623,0,8879
625,0,8879
627,0,8879
629,0,8879
631,0,8879
633,0,8879
635,0,8879
637,0,8879
639,0,8879
641,0,8879
643,0,8879
645,0,8879
647,0,8879
649,0,8879
651,0,8879
653,0,8879
655,0,8879
657,0,8879
659,0,8879
661,0,8879
663,0,8879
665,0,8879
667,0,8879
669,0,8879
671,0,8879
673,0,8879
675,0,8879
677,0,8879
679,0,8879
681,0,8879
683,0,8879
685,0,8879
687,0,8879
689,0,8879
691,0,8879
693,0,8879
695,0,8879
697,0,8879
699,0,8879
701,0,8879
703,0,8879
705,0,8879
707,0,8879
709,0,8879
711,0,8879
713,0,8879
715,0,8879
717,0,8879
719,0,8879
721,0,8879
723,0,8879
725,0,8879
727,0,8879
729,0,8879
731,0,8879
733,0,8879
735,0,8879
737,0,8879
739,0,8879
741,0,8879
743,0,8879
745,0,8879
747,0,8879
749,0,8879
751,0,8879
753,0,8879
755,0,8879
757,0,8879
759,0,8879
761,0,8879
763,0,8879
765,0,8879
767,0,8879
769,0,8879
771,0,8879
773,0,8879
775,0,8879
777,0,8879
779,0,8879
781,0,8879
783,0,8879
785,0,8879
787,0,8879
789,0,8879
791,0,8879
793,0,8879
795,0,8879
797,0,8879
799,0,8879
801,0,8879
803,0,8879
805,0,8879
807,0,8879
809,0,8879
811,0,8879
813,0,8879
815,0,8879
817,0,8879
819,0,8879
821,0,8879
823,0,8879
825,0,8879
827,0,8879
829,0,8879
831,0,8879
833,0,8879
835,0,8879
837,0,8879
839,0,8879
841,0,8879
843,0,8879
845,0,8879
847,0,8879
849,0,8879
851,0,8879
853,0,8879
855,0,8879
857,0,8879
859,0,8879
861,0,8879
863,0,8879
865,0,8879
867,0,8879
869,0,8879
871,0,8879
873,0,8879
875,0,8879
877,0,8879
879,0,8879
881,0,8879
883,0,8879
885,0,8879
887,0,8879
889,0,8879
891,0,8879
893,0,8879
895,0,8879
897,0,8879
899,0,8879
901,0,8879
903,0,8879
905,0,8879
907,0,8879
909,0,8879
911,0,8879
913,0,8879
915,0,8879
917,0,8879
919,0,8879
921,0,8879
923,0,8879
925,0,8879
927,0,8879
929,0,8879
931,0,8879
933,0,8879
935,0,8879
937,0,8879
939,0,8879
941,0,8879
943,0,8879
945,0,8879
947,0,8879
949,0,8879
951,0,8879
953,0,8879
955,0,8879
957,0,8879
959,0,8879
961,0,8879
963,0,8879
965,0,8879
967,0,8879
969,0,8879
971,0,8879
973,0,8879
975,0,8879
977,0,8879
979,0,8879
981,0,8879
983,0,8879
985,0,8879
987,0,8879
989,0,8879
991,0,8879
993,0,8879
995,0,8879
997,0,8879
999,0,8879
1001,0,8879
1003,0,8879
1005,0,8879
1007,0,8879
1009,0,8879
1011,0,8879
1013,0,8879
1015,0,8879
1017,0,8879
1019,0,8879
1021,0,8879
1023,0,8879
1025,0,8879
1027,0,8879
1029,0,8879
1031,0,8879
1033,0,8879
1035,0,8879
1037,0,8879
1039,0,8879
1041,0,8879
1043,0,8879
1045,0,8879
1047,0,8879
1049,0,8879
1051,0,8879
1053,0,8879
1055,0,8879
1057,0,8879
1059,0,8879
1061,0,8879
1063,0,8879
1065,0,8879
1067,0,8879
1069,0,8879
1071,0,8879
1073,0,8879
1075,0,8879
1077,0,8879
1079,0,8879
1081,0,8879
1083,0,8879
1085,0,8879
1087,0,8879
1089,0,8879
1091,0,8879
1093,0,8879
1095,0,8879
1097,0,8879
