step,stockout_skus_step,total_on_hand
90,0,2087
91,0,2079
92,0,2067
93,0,2060
94,0,2046
95,0,2031
96,1,2011
97,0,2400
98,0,2799
99,0,3214
100,0,3642
101,0,4064
102,0,4538
103,0,5031
104,0,5098
105,0,5163
106,0,5240
107,0,5310
108,0,5408
109,0,5465
110,0,5505
111,0,5548
112,0,5602
113,0,5648
114,0,5690
115,0,5711
116,0,5719
117,0,5732
118,0,5754
119,0,5779
120,0,5807
121,0,5843
122,0,5861
123,0,5980
124,0,6116
125,0,6267
126,0,6404
127,0,6546
128,0,6659
129,0,6783
130,0,6798
131,0,6813
132,0,6825
133,0,6841
134,0,6856
135,0,6865
136,0,6865
137,0,6886
138,0,6896
139,0,6908
140,0,6908
141,0,6924
142,0,6947
143,0,6960
144,0,6966
145,0,6978
146,0,6996
147,0,7028
148,0,7066
149,0,7082
150,0,7074
151,0,7097
152,0,7125
153,0,7166
154,0,7200
155,0,7222
156,0,7238
157,0,7286
158,0,7322
159,0,7374
160,0,7408
161,0,7430
162,0,7461
163,0,7505
164,1,7533
165,1,7557
166,1,7575
167,1,7582
168,1,7613
169,0,7655
170,0,7681
171,0,7698
172,0,7713
173,0,7720
174,0,7740
175,0,7765
176,0,7789
177,0,7814
178,0,7835
179,0,7856
180,0,7874
181,1,7861
182,1,7835
183,1,7821
184,1,7836
185,0,7836
186,0,7820
187,0,7823
188,0,7832
189,0,7843
190,0,7861
191,0,7878
192,0,7875
193,0,7887
194,0,7914
195,1,7962
196,1,8015
197,1,8090
198,1,8138
199,1,8196
200,0,8261
201,0,8359
202,0,8434
203,0,8517
204,0,8601
205,0,8676
206,0,8728
207,0,8727
208,0,8725
209,0,8724
210,0,8696
211,0,8685
212,0,8691
213,0,8698
214,0,8687
215,0,8681
216,0,8680
217,0,8683
218,0,8686
219,0,8691
220,0,8683
221,0,8680
222,0,8675
223,0,8672
224,0,8694
225,0,8742
226,0,8776
227,0,8824
228,0,8881
229,0,8928
230,0,8974
231,0,9015
232,0,9033
233,0,9075
234,1,9092
235,1,9109
236,1,9131
237,0,9178
238,0,9215
239,0,9276
240,0,9295
241,0,9328
242,0,9338
243,0,9380
244,0,9412
245,0,9440
246,0,9442
247,1,9455
248,1,9424
249,0,9437
250,0,9453
251,0,9477
252,0,9511
253,0,9586
254,0,9678
255,0,9781
256,0,9854
257,0,9933
258,0,10012
259,0,10107
260,0,10161
261,0,10227
262,0,10277
263,0,10302
264,0,10319
265,0,10327
266,0,10343
267,1,10369
268,1,10399
269,0,10445
270,0,10507
271,0,10585
272,0,10674
273,0,10768
274,0,10868
275,0,10915
276,0,10904
277,0,10892
278,0,10884
279,0,10868
280,0,10854
281,0,10833
282,0,10810
283,0,10808
284,0,10844
285,0,10868
286,0,10886
287,0,10939
288,0,11017
289,0,11047
290,0,11070
291,0,11025
292,0,11012
293,0,11037
294,0,11043
295,0,11053
296,0,11083
297,0,11108
298,0,11146
299,0,11192
300,0,11199
301,0,11214
302,0,11240
303,0,11267
304,0,11296
305,0,11318
306,0,11336
307,0,11321
308,0,11340
309,0,11381
310,0,11457
311,0,11520
312,0,11589
313,0,11638
314,0,11695
315,0,11545
316,0,11510
317,0,11509
318,0,11484
