step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2468
101,0,2878
103,0,3306
105,0,3751
107,0,3776
109,0,3832
111,0,3882
113,0,3937
115,0,3985
117,0,3983
119,0,3971
121,0,3981
123,0,3981
125,0,4004
127,0,4037
129,0,4051
131,0,4066
133,0,4077
135,0,4093
137,0,4100
139,0,4114
141,0,4132
143,0,4126
145,0,4184
147,0,4235
149,0,4285
151,0,4340
153,0,4359
155,0,4378
157,0,4400
159,0,4454
161,0,4478
163,0,4511
165,0,4536
167,0,4538
169,0,4569
171,0,4590
173,0,4612
175,0,4639
177,0,4667
179,0,4752
181,0,4826
183,0,4872
185,0,4914
187,0,4898
189,0,4909
191,0,4934
193,0,4915
195,0,4976
197,0,5068
199,0,5141
201,0,5273
203,0,5342
205,0,5379
207,0,5417
209,0,5420
211,0,5425
213,0,5414
215,0,5412
217,0,5425
219,0,5480
221,0,5523
223,0,5557
225,0,5578
227,0,5618
229,0,5652
231,0,5667
233,0,5706
235,0,5688
237,0,5679
239,0,5710
241,0,5741
243,0,5757
245,0,5790
247,0,5790
249,0,5778
251,0,5791
253,0,5833
255,0,5848
257,0,5925
259,0,6005
261,0,6075
263,0,6141
265,0,6162
267,0,6209
269,0,6238
271,0,6314
273,0,6359
275,0,6391
277,0,6405
279,1,6385
281,1,6370
283,1,6371
285,0,6370
287,0,6391
289,0,6412
291,0,6430
293,0,6462
295,0,6499
297,0,6510
299,0,6548
301,0,6561
303,0,6580
305,0,6632
307,0,6625
309,0,6660
311,0,6739
313,0,6759
315,0,6560
317,0,6566
319,0,6530
321,0,6552
323,0,6666
325,0,6767
327,0,6923
329,0,7086
331,0,7174
333,0,7267
335,0,7295
337,0,7370
339,0,7521
341,0,7648
343,0,7812
345,0,7986
347,0,8027
349,0,8058
351,0,8085
353,0,8108
355,0,8105
357,0,8077
359,0,8059
361,0,8017
363,1,7975
365,2,7985
367,2,7999
369,0,8045
371,0,8116
373,0,8172
375,0,8225
377,0,8229
379,0,8263
381,0,8251
383,0,8218
385,0,8227
387,0,8237
389,0,8214
391,0,8236
393,1,8229
395,1,8228
397,0,8269
399,0,8296
401,0,8343
403,0,8374
405,0,8386
407,1,8387
409,1,8348
411,0,8366
413,0,8397
415,0,8467
417,0,8474
419,0,8447
421,0,8407
423,0,8382
425,0,8361
427,1,8329
429,1,8336
431,1,8296
433,1,8276
435,0,8474
437,0,8636
439,0,8834
441,0,9089
443,0,9159
445,0,9162
447,0,9163
449,0,9176
451,0,9149
453,0,9120
455,0,9099
457,0,9085
459,0,9059
461,0,9015
463,0,9039
465,0,9008
467,0,9006
469,0,9007
471,0,9026
473,0,9013
475,1,9002
477,1,9077
479,1,9130
481,0,9150
483,0,9423
485,0,9643
487,0,9851
489,0,10120
491,0,10167
493,0,10221
495,0,10287
497,0,10340
499,0,10408
501,0,10449
503,0,10489
505,0,10493
507,0,10489
509,0,10490
511,0,10505
513,0,10528
515,0,10496
517,0,10487
519,0,10484
521,0,10461
523,0,10447
525,0,10446
527,1,10455
529,0,10484
531,0,10515
533,0,10568
535,0,10578
537,0,10557
539,0,10566
541,0,10573
543,0,10567
545,0,10554
547,0,10543
549,0,10522
551,0,10501
553,0,10486
555,0,10488
557,0,10468
559,0,10448
561,0,10409
563,0,10436
565,0,10504
567,0,10586
569,0,10658
571,0,10655
573,0,10620
575,0,10605
577,0,10616
579,0,10644
581,0,10673
583,0,10703
585,0,10713
587,0,10728
589,0,10744
591,0,10760
593,0,10759
595,0,10759
597,0,10759
599,0,10759
601,0,10759
603,0,10759
605,0,10759
607,0,10759
609,0,10759
611,0,10759
613,0,10759
615,0,10759
617,0,10759
619,0,10759
621,0,10759
623,0,10773
625,0,10787
627,0,10801
629,0,10815
631,0,10815
633,0,10815
635,0,10815
637,0,10815
639,0,10815
641,0,10815
643,0,10815
645,0,10815
647,0,10815
649,0,10815
651,0,10815
653,0,10815
655,0,10815
657,0,10815
659,0,10815
661,0,10815
663,0,10815
665,0,10815
667,0,10815
669,0,10815
671,0,10815
673,0,10815
675,0,10815
677,0,10815
679,0,10815
681,0,10815
683,0,10815
685,0,10815
687,0,10815
689,0,10815
691,0,10815
693,0,10815
695,0,10815
697,0,10815
699,0,10815
701,0,10815
703,0,10815
705,0,10815
707,0,10815
709,0,10815
711,0,10815
713,0,10815
715,0,10815
717,0,10815
719,0,10815
721,0,10815
723,0,10815
725,0,10815
727,0,10815
729,0,10815
731,0,10815
733,0,10815
735,0,10815
737,0,10815
739,0,10815
741,0,10815
743,0,10815
745,0,10815
747,0,10815
749,0,10815
751,0,10815
753,0,10815
755,0,10815
757,0,10815
759,0,10815
761,0,10815
763,0,10815
765,0,10815
767,0,10815
769,0,10815
771,0,10815
773,0,10815
775,0,10815
777,0,10815
779,0,10815
781,0,10815
783,0,10815
785,0,10815
787,0,10815
789,0,10815
791,0,10815
793,0,10815
795,0,10815
797,0,10815
799,0,10815
801,0,10815
803,0,10815
805,0,10815
807,0,10815
809,0,10815
811,0,10815
813,0,10815
815,0,10815
817,0,10815
819,0,10815
821,0,10815
823,0,10815
825,0,10815
827,0,10815
829,0,10815
831,0,10815
833,0,10815
835,0,10815
837,0,10815
839,0,10815
841,0,10815
843,0,10815
845,0,10815
847,0,10815
849,0,10815
851,0,10815
853,0,10815
855,0,10815
857,0,10815
859,0,10815
861,0,10815
863,0,10815
865,0,10815
867,0,10815
869,0,10815
871,0,10815
873,0,10815
875,0,10815
877,0,10815
879,0,10815
881,0,10815
883,0,10815
885,0,10815
887,0,10815
889,0,10815
891,0,10815
893,0,10815
895,0,10815
897,0,10815
899,0,10815
901,0,10815
903,0,10815
905,0,10815
907,0,10815
909,0,10815
911,0,10815
913,0,10815
915,0,10815
917,0,10815
919,0,10815
921,0,10815
923,0,10815
925,0,10815
927,0,10815
929,0,10815
931,0,10815
933,0,10815
935,0,10815
937,0,10815
939,0,10815
941,0,10815
943,0,10815
945,0,10815
947,0,10815
949,0,10815
951,0,10815
953,0,10815
955,0,10815
957,0,10815
959,0,10815
961,0,10815
963,0,10815
965,0,10815
967,0,10815
969,0,10815
971,0,10815
973,0,10815
975,0,10815
977,0,10815
979,0,10815
981,0,10815
983,0,10815
985,0,10815
987,0,10815
989,0,10815
991,0,10815
993,0,10815
995,0,10815
997,0,10815
999,0,10815
1001,0,10815
1003,0,10815
1005,0,10815
1007,0,10815
1009,0,10815
1011,0,10815
1013,0,10815
1015,0,10815
1017,0,10815
1019,0,10815
1021,0,10815
1023,0,10815
1025,0,10815
1027,0,10815
1029,0,10815
1031,0,10815
1033,0,10815
1035,0,10815
1037,0,10815
1039,0,10815
1041,0,10815
1043,0,10815
1045,0,10815
1047,0,10815
1049,0,10815
1051,0,10815
1053,0,10815
1055,0,10815
1057,0,10815
1059,0,10815
1061,0,10815
1063,0,10815
1065,0,10815
1067,0,10815
1069,0,10815
1071,0,10815
1073,0,10815
1075,0,10815
1077,0,10815
1079,0,10815
1081,0,10815
1083,0,10815
1085,0,10815
1087,0,10815
1089,0,10815
1091,0,10815
1093,0,10815
1095,0,10815
1097,0,10815
