step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2468
101,0,2878
103,0,3306
105,0,3751
107,0,3776
109,0,3832
111,0,3882
113,0,3937
115,0,3985
117,0,3983
119,0,3971
121,0,3981
123,0,3981
125,0,4004
127,0,4037
129,0,4051
131,0,4066
133,0,4077
135,0,4093
137,0,4100
139,0,4114
141,0,4132
143,0,4126
145,0,4184
147,0,4235
149,0,4285
151,0,4340
153,0,4359
155,0,4378
157,0,4400
159,0,4454
161,0,4478
163,0,4511
165,0,4536
167,0,4538
169,0,4569
171,0,4590
173,0,4612
175,0,4639
177,0,4667
179,0,4752
181,0,4826
183,0,4872
185,0,4914
187,0,4898
189,0,4909
191,0,4934
193,0,4915
195,0,4976
197,0,5068
199,0,5141
201,0,5273
203,0,5342
205,0,5379
207,0,5417
209,0,5420
211,0,5425
213,0,5414
215,0,5412
217,0,5425
219,0,5480
221,0,5523
223,0,5557
225,0,5578
227,0,5618
229,0,5652
231,0,5667
233,0,5706
235,0,5688
237,0,5679
239,0,5710
241,0,5741
243,0,5757
245,0,5790
247,0,5790
249,0,5778
251,0,5791
253,0,5833
255,0,5848
257,0,5925
259,0,6005
261,0,6075
263,0,6141
265,0,6162
267,0,6209
269,0,6238
271,0,6254
273,1,6263
275,0,6229
277,2,6150
279,2,6175
281,3,6251
283,4,6355
285,1,6543
287,3,6705
289,3,6829
291,3,6974
293,1,7098
295,0,7204
297,0,7376
299,1,7708
301,1,7861
303,2,8032
305,1,8098
307,5,7914
309,6,7930
311,4,8038
313,6,8132
315,12,7672
317,17,8073
319,14,8734
321,14,9748
323,7,11138
325,4,12667
327,5,13675
329,3,14887
331,2,15579
333,1,16457
335,1,17790
337,1,19182
339,3,22844
341,2,26071
343,1,29127
345,0,32101
347,0,32363
349,0,32431
351,0,32544
353,0,32691
355,0,33297
357,0,33922
359,0,34798
361,1,35590
363,1,36066
365,0,36302
367,0,36564
369,0,36825
371,0,37122
373,0,37262
375,0,37258
377,0,37247
379,0,37245
381,0,37212
383,0,37150
385,0,37115
387,0,37102
389,0,37055
391,0,37041
393,0,37006
395,0,36978
397,0,36962
399,0,36939
401,0,36932
403,0,36907
405,0,36873
407,1,36861
409,1,36793
411,0,36790
413,0,36804
415,0,36848
417,0,36846
419,0,36810
421,0,36770
423,0,36786
425,0,36856
427,1,36915
429,1,36980
431,1,36959
433,1,36905
435,0,37053
437,0,37168
439,0,37296
441,0,37457
443,0,37445
445,0,37409
447,0,37394
449,0,37390
451,0,37346
453,0,37300
455,0,37261
457,0,37237
459,0,37191
461,0,37137
463,0,37131
465,0,37069
467,0,37040
469,0,37012
471,0,37031
473,0,37009
475,0,36983
477,0,37027
479,0,37047
481,0,37040
483,0,37126
485,0,37163
487,0,37179
489,0,37240
491,0,37235
493,0,37231
495,0,37245
497,0,37244
499,0,37231
501,0,37210
503,0,37188
505,0,37160
507,0,37140
509,0,37125
511,0,37116
513,0,37115
515,0,37075
517,0,37056
519,0,37041
521,0,37005
523,0,36978
525,0,36964
527,1,36951
529,0,36943
531,0,36935
533,0,36949
535,0,36936
537,0,36904
539,0,36901
541,0,36895
543,0,36889
545,0,36876
547,0,36865
549,0,36844
551,0,36811
553,0,36785
555,0,36769
557,0,36729
559,0,36701
561,0,36655
563,0,36657
565,0,36663
567,0,36695
569,0,36725
571,0,36706
573,0,36690
575,0,36675
577,0,36686
579,0,36702
581,0,36718
583,0,36727
585,0,36720
587,0,36732
589,0,36747
591,0,36770
593,0,36775
595,0,36775
597,0,36775
599,0,36775
601,0,36775
603,0,36775
605,0,36775
607,0,36775
609,0,36775
611,0,36775
613,0,36775
615,0,36775
617,0,36775
619,0,36775
621,0,36775
623,0,36789
625,0,36803
627,0,36817
629,0,36831
631,0,36831
633,0,36831
635,0,36831
637,0,36831
639,0,36831
641,0,36831
643,0,36831
645,0,36831
647,0,36831
649,0,36831
651,0,36831
653,0,36831
655,0,36831
657,0,36831
659,0,36831
661,0,36831
663,0,36831
665,0,36831
667,0,36831
669,0,36831
671,0,36831
673,0,36831
675,0,36831
677,0,36831
679,0,36831
681,0,36831
683,0,36831
685,0,36831
687,0,36831
689,0,36831
691,0,36831
693,0,36831
695,0,36831
697,0,36831
699,0,36831
701,0,36831
703,0,36831
705,0,36831
707,0,36831
709,0,36831
711,0,36831
713,0,36831
715,0,36831
717,0,36831
719,0,36831
721,0,36831
723,0,36831
725,0,36831
727,0,36831
729,0,36831
731,0,36831
733,0,36831
735,0,36831
737,0,36831
739,0,36831
741,0,36831
743,0,36831
745,0,36831
747,0,36831
749,0,36831
751,0,36831
753,0,36831
755,0,36831
757,0,36831
759,0,36831
761,0,36831
763,0,36831
765,0,36831
767,0,36831
769,0,36831
771,0,36831
773,0,36831
775,0,36831
777,0,36831
779,0,36831
781,0,36831
783,0,36831
785,0,36831
787,0,36831
789,0,36831
791,0,36831
793,0,36831
795,0,36831
797,0,36831
799,0,36831
801,0,36831
803,0,36831
805,0,36831
807,0,36831
809,0,36831
811,0,36831
813,0,36831
815,0,36831
817,0,36831
819,0,36831
821,0,36831
823,0,36831
825,0,36831
827,0,36831
829,0,36831
831,0,36831
833,0,36831
835,0,36831
837,0,36831
839,0,36831
841,0,36831
843,0,36831
845,0,36831
847,0,36831
849,0,36831
851,0,36831
853,0,36831
855,0,36831
857,0,36831
859,0,36831
861,0,36831
863,0,36831
865,0,36831
867,0,36831
869,0,36831
871,0,36831
873,0,36831
875,0,36831
877,0,36831
879,0,36831
881,0,36831
883,0,36831
885,0,36831
887,0,36831
889,0,36831
891,0,36831
893,0,36831
895,0,36831
897,0,36831
899,0,36831
901,0,36831
903,0,36831
905,0,36831
907,0,36831
909,0,36831
911,0,36831
913,0,36831
915,0,36831
917,0,36831
919,0,36831
921,0,36831
923,0,36831
925,0,36831
927,0,36831
929,0,36831
931,0,36831
933,0,36831
935,0,36831
937,0,36831
939,0,36831
941,0,36831
943,0,36831
945,0,36831
947,0,36831
949,0,36831
951,0,36831
953,0,36831
955,0,36831
957,0,36831
959,0,36831
961,0,36831
963,0,36831
965,0,36831
967,0,36831
969,0,36831
971,0,36831
973,0,36831
975,0,36831
977,0,36831
979,0,36831
981,0,36831
983,0,36831
985,0,36831
987,0,36831
989,0,36831
991,0,36831
993,0,36831
995,0,36831
997,0,36831
999,0,36831
1001,0,36831
1003,0,36831
1005,0,36831
1007,0,36831
1009,0,36831
1011,0,36831
1013,0,36831
1015,0,36831
1017,0,36831
1019,0,36831
1021,0,36831
1023,0,36831
1025,0,36831
1027,0,36831
1029,0,36831
1031,0,36831
1033,0,36831
1035,0,36831
1037,0,36831
1039,0,36831
1041,0,36831
1043,0,36831
1045,0,36831
1047,0,36831
1049,0,36831
1051,0,36831
1053,0,36831
1055,0,36831
1057,0,36831
1059,0,36831
1061,0,36831
1063,0,36831
1065,0,36831
1067,0,36831
1069,0,36831
1071,0,36831
1073,0,36831
1075,0,36831
1077,0,36831
1079,0,36831
1081,0,36831
1083,0,36831
1085,0,36831
1087,0,36831
1089,0,36831
1091,0,36831
1093,0,36831
1095,0,36831
1097,0,36831
