step,stockout_skus_step,total_on_hand
90,0,2091
91,0,2083
92,0,2071
93,0,2064
94,0,2050
95,0,2035
96,1,2014
97,0,2395
98,0,2794
99,0,3210
100,0,3639
101,0,4061
102,0,4517
103,0,4990
104,0,5081
105,0,5148
106,0,5214
107,0,5279
108,0,5370
109,0,5443
110,0,5518
111,0,5559
112,0,5595
113,0,5646
114,0,5687
115,0,5714
116,0,5742
117,0,5766
118,0,5813
119,0,5857
120,1,5906
121,1,5963
122,1,5997
123,0,6118
124,0,6249
125,0,6374
126,0,6492
127,0,6608
128,0,6708
129,0,6827
130,0,6828
131,0,6845
132,0,6860
133,0,6873
134,0,6898
135,0,6916
136,0,6909
137,0,6923
138,0,6918
139,0,6923
140,0,6930
141,0,6939
142,0,6948
143,0,6940
144,0,6938
145,0,6956
146,0,6971
147,0,6998
148,0,7041
149,0,7063
150,0,7093
151,0,7130
152,0,7156
153,0,7196
154,0,7230
155,0,7252
156,0,7267
157,0,7287
158,0,7293
159,0,7314
160,0,7317
161,0,7307
162,0,7306
163,0,7310
164,1,7327
165,1,7354
166,1,7375
167,1,7393
168,1,7428
169,0,7474
170,0,7515
171,0,7540
172,0,7554
173,0,7581
174,0,7604
175,0,7632
176,0,7666
177,0,7702
178,0,7734
179,0,7766
180,0,7762
181,1,7758
182,1,7734
183,1,7706
184,1,7709
185,0,7697
186,0,7676
187,0,7674
188,0,7678
189,0,7692
190,0,7727
191,0,7770
192,1,7796
193,1,7841
194,0,7911
195,1,8008
196,1,8117
197,1,8231
198,1,8315
199,1,8400
200,0,8455
201,0,8525
202,0,8557
203,0,8606
204,0,8663
205,0,8703
206,0,8732
207,0,8716
208,0,8707
209,0,8706
210,0,8678
211,0,8667
212,0,8666
213,0,8658
214,0,8645
215,0,8637
216,0,8627
217,0,8628
218,0,8628
219,0,8640
220,0,8639
221,0,8633
222,0,8627
223,0,8616
224,0,8618
225,0,8620
226,0,8603
227,0,8615
228,0,8634
229,0,8640
230,0,8666
231,0,8680
232,0,8705
233,0,8760
234,1,8777
235,1,8794
236,1,8832
237,0,8880
238,0,8921
239,0,8974
240,0,8991
241,0,9026
242,0,9037
243,0,9060
244,0,9079
245,0,9117
246,0,9145
247,0,9206
248,0,9229
249,0,9287
250,0,9336
251,0,9379
252,0,9419
253,0,9512
254,0,9582
255,0,9674
256,0,9747
257,0,9841
258,0,9953
259,0,10082
260,0,10175
261,0,10301
262,0,10381
263,0,10437
264,0,10485
265,0,10515
266,0,10560
267,0,10594
268,1,10599
269,0,10627
270,0,10671
271,0,10717
272,0,10766
273,0,10811
274,0,10855
275,0,10879
276,0,10851
277,0,10826
278,0,10816
279,0,10805
280,0,10805
281,0,10800
282,0,10798
283,0,10792
284,0,10818
285,0,10838
286,0,10880
287,0,10957
288,1,11053
289,0,11106
290,0,11183
291,0,11211
292,0,11258
293,0,11308
294,0,11330
295,0,11364
296,0,11388
297,0,11379
298,0,11368
299,0,11367
300,0,11334
301,0,11313
302,0,11284
303,0,11282
304,0,11290
305,0,11317
306,0,11329
307,0,11332
308,0,11355
309,0,11404
310,0,11460
311,0,11472
312,0,11477
313,0,11462
314,0,11426
315,0,11168
316,0,11039
317,0,10943
318,0,10844
319,1,10758
320,3,10687
321,1,10680
322,0,10746
323,0,10958
324,1,11168
325,1,11403
326,1,11665
327,1,11924
328,1,12162
329,1,12308
330,1,12342
331,1,12363
332,1,12361
333,1,12372
334,2,12371
335,1,12411
336,1,12456
337,1,12523
338,1,12600
339,0,12661
340,0,12728
341,0,12862
342,0,12983
343,0,13091
344,0,13199
345,0,13310
346,0,13429
347,0,13509
348,0,13471
349,0,13441
350,0,13426
351,0,13410
352,0,13403
353,0,13413
354,0,13387
355,0,13380
356,0,13343
357,0,13311
358,0,13296
359,0,13297
360,0,13263
361,0,13233
362,0,13195
363,2,13160
364,2,13158
365,2,13157
366,2,13151
367,1,13177
368,1,13198
369,1,13241
370,2,13305
371,2,13376
372,4,13440
373,4,13520
374,3,13553
375,1,13641
376,0,13816
377,0,14006
378,0,14212
379,0,14447
380,0,14675
381,0,14877
382,0,14979
383,0,15017
384,0,15070
385,0,15134
386,0,15204
387,0,15266
388,0,15285
389,0,15307
390,0,15317
391,0,15355
392,0,15408
393,0,15451
394,0,15478
395,0,15534
396,0,15562
397,1,15595
398,2,15585
399,1,15600
400,0,15623
401,0,15674
402,0,15682
403,0,15675
404,1,15695
405,1,15716
406,1,15745
407,1,15743
408,1,15727
409,0,15692
410,0,15676
411,0,15670
412,0,15685
413,0,15679
414,0,15690
415,0,15683
416,0,15650
417,0,15651
418,0,15664
419,0,15705
420,0,15748
421,0,15784
422,0,15827
423,0,15871
424,0,15861
425,0,15867
426,0,15848
427,1,15842
428,1,15859
429,1,15863
430,1,15832
431,1,15791
432,1,15784
433,1,15781
434,0,15798
435,0,15830
436,0,15864
437,0,15849
438,0,15827
439,0,15814
440,0,15795
441,0,15790
442,0,15770
443,0,15752
444,0,15705
445,0,15710
446,0,15719
447,0,15733
448,0,15744
449,0,15763
450,0,15786
451,0,15776
452,0,15764
453,0,15733
454,0,15706
455,0,15659
456,0,15635
457,0,15596
458,0,15547
459,0,15486
460,1,15444
461,1,15413
462,1,15426
463,1,15454
464,1,15469
465,0,15497
466,0,15543
467,0,15615
468,0,15648
469,1,15672
470,2,15725
471,1,15807
472,1,15802
473,1,15753
474,2,15679
475,1,15655
476,0,15726
477,1,15821
478,1,15927
479,1,15985
480,1,16046
481,1,16130
482,1,16240
483,1,16260
484,1,16295
485,1,16332
486,2,16347
487,0,16381
488,0,16489
489,0,16650
490,0,16797
491,0,16948
492,0,17090
493,0,17111
494,0,17114
495,0,17119
496,0,17129
497,0,17134
498,0,17150
499,0,17164
500,0,17185
501,0,17208
502,0,17223
503,0,17231
504,0,17210
505,0,17192
506,0,17177
507,0,17175
508,0,17176
509,0,17190
510,0,17197
511,0,17220
512,0,17261
513,0,17310
514,0,17303
515,0,17311
516,0,17313
517,0,17312
518,0,17308
519,0,17286
520,0,17257
521,0,17213
522,1,17184
523,1,17163
524,1,17138
525,1,17138
526,1,17140
527,0,17143
528,0,17159
529,0,17165
530,0,17173
531,0,17190
532,0,17215
533,0,17254
534,0,17279
535,0,17260
536,0,17247
537,0,17215
538,0,17175
539,0,17164
540,0,17160
541,0,17146
542,0,17142
543,0,17139
544,0,17136
545,0,17143
546,0,17132
547,0,17128
548,0,17121
549,0,17099
550,0,17084
551,0,17068
552,0,17040
553,0,17010
554,0,16988
555,0,16968
556,0,16939
557,0,16914
558,0,16899
559,0,16887
560,0,16886
561,1,16870
562,0,16911
563,0,16951
564,0,16959
565,0,16967
566,0,16996
567,0,17054
568,0,17123
569,0,17155
570,0,17139
571,0,17129
572,0,17149
573,1,17171
574,1,17184
575,1,17166
576,0,17174
577,0,17171
578,0,17319
579,0,17476
580,0,17627
581,0,17799
582,0,17985
583,0,18140
584,0,18308
585,0,18319
586,0,18330
587,0,18339
588,0,18359
589,0,18378
590,0,18420
591,0,18466
592,0,18504
593,0,18553
