step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2468
101,0,2878
103,0,3306
105,0,3751
107,0,3776
109,0,3832
111,0,3882
113,0,3937
115,0,3985
117,0,3983
119,0,3971
121,0,3981
123,0,3981
125,0,4004
127,0,4037
129,0,4051
131,0,4066
133,0,4077
135,0,4093
137,0,4100
139,0,4114
141,0,4132
143,0,4126
145,0,4184
147,0,4235
149,0,4285
151,0,4340
153,0,4359
155,0,4378
157,0,4400
159,0,4454
161,0,4478
163,0,4511
165,0,4536
167,0,4538
169,0,4569
171,0,4590
173,0,4612
175,0,4639
177,0,4667
179,0,4752
181,0,4826
183,0,4872
185,0,4914
187,0,4898
189,0,4909
191,0,4934
193,0,4915
195,0,4976
197,0,5068
199,0,5141
201,0,5273
203,0,5342
205,0,5379
207,0,5417
209,0,5420
211,0,5425
213,0,5414
215,0,5412
217,0,5425
219,0,5480
221,0,5523
223,0,5557
225,0,5578
227,0,5618
229,0,5652
231,0,5667
233,0,5706
235,0,5688
237,0,5679
239,0,5710
241,0,5741
243,0,5757
245,0,5790
247,0,5790
249,0,5778
251,0,5791
253,0,5833
255,0,5848
257,0,5925
259,0,6005
261,0,6075
263,0,6141
265,0,6162
267,0,6209
269,0,6238
271,0,6314
273,0,6359
275,0,6391
277,0,6405
279,1,6385
281,1,6381
283,1,6391
285,0,6401
287,0,6433
289,0,6469
291,0,6492
293,0,6522
295,0,6555
297,0,6572
299,0,6595
301,0,6609
303,0,6626
305,0,6639
307,0,6630
309,0,6645
311,0,6648
313,0,6622
315,0,6374
317,0,6350
319,0,6320
321,0,6361
323,0,6489
325,0,6597
327,1,6750
329,1,6902
331,0,6983
333,0,7028
335,0,7045
337,0,7110
339,0,7228
341,0,7350
343,0,7478
345,0,7615
347,0,7622
349,0,7627
351,0,7647
353,0,7662
355,0,7670
357,0,7675
359,0,7705
361,0,7711
363,1,7726
365,2,7769
367,3,7803
369,0,7881
371,0,8013
373,0,8110
375,0,8206
377,0,8239
379,0,8252
381,0,8219
383,0,8164
385,0,8151
387,0,8161
389,0,8149
391,0,8188
393,1,8200
395,1,8222
397,0,8276
399,0,8284
401,0,8325
403,0,8350
405,0,8355
407,1,8374
409,1,8320
411,0,8323
413,0,8337
415,0,8390
417,0,8397
419,0,8404
421,0,8399
423,0,8416
425,0,8436
427,1,8415
429,1,8434
431,1,8405
433,1,8397
435,0,8580
437,0,8695
439,0,8823
441,0,8992
443,0,8997
445,0,8987
447,0,8998
449,0,9021
451,0,8994
453,0,8965
455,0,8944
457,0,8971
459,0,8989
461,0,8989
463,0,9069
465,0,9049
467,0,9058
469,0,9096
471,0,9152
473,0,9178
475,1,9215
477,1,9293
479,1,9336
481,0,9351
483,0,9427
485,0,9473
487,0,9496
489,0,9561
491,0,9599
493,0,9626
495,0,9688
497,0,9718
499,0,9741
501,0,9736
503,0,9714
505,0,9686
507,0,9666
509,0,9651
511,0,9650
513,0,9657
515,0,9625
517,0,9657
519,0,9689
521,0,9700
523,0,9728
525,0,9743
527,1,9759
529,0,9796
531,0,9832
533,0,9862
535,0,9865
537,0,9842
539,0,9830
541,0,9816
543,0,9812
545,0,9789
547,0,9767
549,1,9752
551,1,9736
553,0,9731
555,0,9743
557,0,9716
559,0,9701
561,0,9688
563,0,9725
565,0,9805
567,0,9899
569,0,9964
571,0,9962
573,0,9927
575,0,9924
577,0,9947
579,0,9975
581,0,10004
583,0,10047
585,0,10070
587,0,10098
589,0,10141
591,0,10171
593,0,10184
595,0,10198
597,0,10198
599,0,10198
601,0,10198
603,0,10198
605,0,10198
607,0,10198
609,0,10198
611,0,10198
613,0,10198
615,0,10198
617,0,10198
619,0,10198
621,0,10198
623,0,10212
625,0,10226
627,0,10240
629,0,10254
631,0,10254
633,0,10254
635,0,10254
637,0,10254
639,0,10254
641,0,10254
643,0,10254
645,0,10254
647,0,10254
649,0,10254
651,0,10254
653,0,10254
655,0,10254
657,0,10254
659,0,10254
661,0,10254
663,0,10254
665,0,10254
667,0,10254
669,0,10254
671,0,10254
673,0,10254
675,0,10254
677,0,10254
679,0,10254
681,0,10254
683,0,10254
685,0,10254
687,0,10254
689,0,10254
691,0,10254
693,0,10254
695,0,10254
697,0,10254
699,0,10254
701,0,10254
703,0,10254
705,0,10254
707,0,10254
709,0,10254
711,0,10254
713,0,10254
715,0,10254
717,0,10254
719,0,10254
721,0,10254
723,0,10254
725,0,10254
727,0,10254
729,0,10254
731,0,10254
733,0,10254
735,0,10254
737,0,10254
739,0,10254
741,0,10254
743,0,10254
745,0,10254
747,0,10254
749,0,10254
751,0,10254
753,0,10254
755,0,10254
757,0,10254
759,0,10254
761,0,10254
763,0,10254
765,0,10254
767,0,10254
769,0,10254
771,0,10254
773,0,10254
775,0,10254
777,0,10254
779,0,10254
781,0,10254
783,0,10254
785,0,10254
787,0,10254
789,0,10254
791,0,10254
793,0,10254
795,0,10254
797,0,10254
799,0,10254
801,0,10254
803,0,10254
805,0,10254
807,0,10254
809,0,10254
811,0,10254
813,0,10254
815,0,10254
817,0,10254
819,0,10254
821,0,10254
823,0,10254
825,0,10254
827,0,10254
829,0,10254
831,0,10254
833,0,10254
835,0,10254
837,0,10254
839,0,10254
841,0,10254
843,0,10254
845,0,10254
847,0,10254
849,0,10254
851,0,10254
853,0,10254
855,0,10254
857,0,10254
859,0,10254
861,0,10254
863,0,10254
865,0,10254
867,0,10254
869,0,10254
871,0,10254
873,0,10254
875,0,10254
877,0,10254
879,0,10254
881,0,10254
883,0,10254
885,0,10254
887,0,10254
889,0,10254
891,0,10254
893,0,10254
895,0,10254
897,0,10254
899,0,10254
901,0,10254
903,0,10254
905,0,10254
907,0,10254
909,0,10254
911,0,10254
913,0,10254
915,0,10254
917,0,10254
919,0,10254
921,0,10254
923,0,10254
925,0,10254
927,0,10254
929,0,10254
931,0,10254
933,0,10254
935,0,10254
937,0,10254
939,0,10254
941,0,10254
943,0,10254
945,0,10254
947,0,10254
949,0,10254
951,0,10254
953,0,10254
955,0,10254
957,0,10254
959,0,10254
961,0,10254
963,0,10254
965,0,10254
967,0,10254
969,0,10254
971,0,10254
973,0,10254
975,0,10254
977,0,10254
979,0,10254
981,0,10254
983,0,10254
985,0,10254
987,0,10254
989,0,10254
991,0,10254
993,0,10254
995,0,10254
997,0,10254
999,0,10254
1001,0,10254
1003,0,10254
1005,0,10254
1007,0,10254
1009,0,10254
1011,0,10254
1013,0,10254
1015,0,10254
1017,0,10254
1019,0,10254
1021,0,10254
1023,0,10254
1025,0,10254
1027,0,10254
1029,0,10254
1031,0,10254
1033,0,10254
1035,0,10254
1037,0,10254
1039,0,10254
1041,0,10254
1043,0,10254
1045,0,10254
1047,0,10254
1049,0,10254
1051,0,10254
1053,0,10254
1055,0,10254
1057,0,10254
1059,0,10254
1061,0,10254
1063,0,10254
1065,0,10254
1067,0,10254
1069,0,10254
1071,0,10254
1073,0,10254
1075,0,10254
1077,0,10254
1079,0,10254
1081,0,10254
1083,0,10254
1085,0,10254
1087,0,10254
1089,0,10254
1091,0,10254
1093,0,10254
1095,0,10254
1097,0,10254
