step,stockout_skus_step,total_on_hand
90,0,2093
91,0,2085
92,0,2073
93,0,2066
94,0,2052
95,0,2037
96,1,2016
97,0,2435
98,0,2858
99,0,3307
100,0,3762
101,0,4218
102,0,4702
103,0,5213
104,0,5276
105,0,5331
106,0,5385
107,0,5445
108,0,5514
109,0,5573
110,0,5603
111,0,5641
112,0,5689
113,0,5728
114,0,5757
115,0,5775
116,0,5780
117,0,5790
118,0,5796
119,0,5798
120,0,5795
121,0,5800
122,0,5794
123,0,5897
124,0,6015
125,0,6152
126,0,6282
127,0,6428
128,0,6553
129,0,6679
130,0,6678
131,0,6684
132,0,6696
133,0,6706
134,0,6721
135,0,6730
136,0,6723
137,0,6765
138,0,6789
139,0,6815
140,0,6837
141,0,6861
142,0,6892
143,0,6913
144,0,6910
145,0,6913
146,0,6920
147,0,6934
148,0,6963
149,0,6976
150,0,6975
151,0,6975
152,0,6985
153,0,6995
154,0,7013
155,0,7023
156,0,7014
157,0,7035
158,0,7072
159,0,7123
160,0,7164
161,0,7186
162,0,7224
163,0,7267
164,0,7291
165,1,7301
166,1,7303
167,1,7303
168,1,7327
169,1,7343
170,0,7363
171,0,7387
172,0,7422
173,0,7449
174,0,7491
175,0,7532
176,0,7574
177,0,7609
178,0,7631
179,0,7660
180,0,7686
181,1,7679
182,1,7662
183,1,7657
184,1,7674
185,1,7669
186,1,7648
187,0,7658
188,0,7675
189,0,7702
190,0,7743
191,0,7784
192,0,7813
193,0,7848
194,0,7876
195,1,7931
196,1,8000
197,1,8074
198,1,8119
199,1,8166
200,0,8217
201,0,8293
202,0,8345
203,0,8397
204,0,8458
205,0,8510
206,0,8547
207,0,8546
208,0,8552
209,0,8560
210,0,8540
211,0,8537
212,0,8537
213,0,8531
214,0,8507
215,0,8488
216,0,8471
217,0,8465
218,0,8459
219,0,8475
220,0,8485
221,0,8500
222,0,8515
223,0,8524
224,0,8533
225,0,8553
226,0,8551
227,0,8561
228,0,8585
229,0,8596
230,0,8613
231,0,8634
232,0,8651
233,0,8702
234,0,8734
235,1,8763
236,1,8798
237,1,8837
238,0,8873
239,0,8933
240,0,8951
241,0,8978
242,0,8975
243,1,9012
244,0,9060
245,0,9112
246,0,9142
247,0,9182
248,0,9179
249,0,9216
250,0,9243
251,0,9254
252,0,9259
253,0,9294
254,0,9311
255,0,9345
256,0,9396
257,0,9458
258,0,9544
259,0,9695
260,0,9830
261,0,9953
262,0,10051
263,0,10132
264,0,10219
265,0,10283
266,0,10300
267,0,10304
268,0,10360
269,0,10449
270,0,10550
271,0,10657
272,0,10769
273,0,10895
274,0,11020
275,0,11079
276,0,11053
277,0,11034
278,0,11022
279,0,11009
