step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2468
101,0,2878
103,0,3306
105,0,3751
107,0,3776
109,0,3832
111,0,3882
113,0,3937
115,0,3985
117,0,3983
119,0,3971
121,0,3981
123,0,3981
125,0,4004
127,0,4037
129,0,4051
131,0,4066
133,0,4077
135,0,4093
137,0,4100
139,0,4114
141,0,4132
143,0,4126
145,0,4184
147,0,4235
149,0,4285
151,0,4340
153,0,4359
155,0,4378
157,0,4400
159,0,4454
161,0,4478
163,0,4511
165,0,4536
167,0,4538
169,0,4569
171,0,4590
173,0,4612
175,0,4639
177,0,4667
179,0,4752
181,0,4826
183,0,4872
185,0,4914
187,0,4898
189,0,4909
191,0,4934
193,0,4915
195,0,4976
197,0,5068
199,0,5141
201,0,5273
203,0,5342
205,0,5379
207,0,5417
209,0,5420
211,0,5425
213,0,5414
215,0,5412
217,0,5425
219,0,5480
221,0,5523
223,0,5557
225,0,5578
227,0,5618
229,0,5652
231,0,5667
233,0,5706
235,0,5688
237,0,5679
239,0,5710
241,0,5741
243,0,5757
245,0,5790
247,0,5790
249,0,5778
251,0,5791
253,0,5833
255,0,5848
257,0,5925
259,0,6005
261,0,6075
263,0,6141
265,0,6162
267,0,6209
269,0,6238
271,0,6314
273,0,6359
275,0,6391
277,0,6405
279,1,6385
281,1,6381
283,1,6391
285,0,6401
287,0,6377
289,0,6413
291,0,6436
293,0,6466
295,0,6511
297,0,6541
299,0,6576
301,0,6600
303,0,6610
305,0,6601
307,0,6583
309,0,6589
311,0,6600
313,0,6601
315,0,6371
317,0,6409
319,0,6433
321,0,6515
323,0,6714
325,0,6829
327,0,6989
329,0,7158
331,0,7202
333,0,7241
335,0,7245
337,0,7307
339,0,7456
341,0,7608
343,0,7780
345,0,7937
347,0,7944
349,0,7941
351,0,7951
353,0,7956
355,0,7943
357,0,7928
359,0,7924
361,0,7895
363,1,7886
365,2,7911
367,3,7928
369,0,7989
371,0,8102
373,0,8182
375,0,8275
377,0,8305
379,0,8318
381,0,8294
383,0,8249
385,0,8246
387,0,8266
389,0,8254
391,0,8295
393,1,8301
395,1,8317
397,0,8355
399,0,8366
401,0,8406
403,0,8430
405,0,8446
407,1,8447
409,1,8393
411,0,8396
413,0,8415
415,0,8473
417,0,8485
419,0,8497
421,0,8492
423,0,8509
425,0,8529
427,1,8508
429,1,8527
431,1,8498
433,1,8499
435,0,8691
437,0,8816
439,0,8954
441,0,9123
443,0,9128
445,0,9110
447,0,9113
449,0,9127
451,0,9091
453,0,9062
455,0,9041
457,0,9068
459,0,9101
461,0,9116
463,0,9200
465,0,9184
467,0,9182
469,0,9183
471,0,9202
473,0,9198
475,1,9228
477,1,9314
479,1,9379
481,0,9404
483,0,9491
485,0,9529
487,0,9544
489,0,9607
491,0,9655
493,0,9706
495,0,9792
497,0,9836
499,0,9856
501,0,9847
503,0,9825
505,0,9797
507,0,9777
509,0,9762
511,0,9761
513,0,9768
515,0,9760
517,0,9786
519,0,9818
521,0,9829
523,0,9825
525,0,9839
527,1,9854
529,0,9874
531,0,9884
533,0,9898
535,0,9885
537,0,9862
539,0,9850
541,0,9836
543,0,9842
545,0,9829
547,0,9818
549,0,9814
551,0,9798
553,0,9785
555,0,9794
557,0,9764
559,0,9746
561,0,9729
563,0,9757
565,0,9827
567,0,9911
569,0,9976
571,0,9974
573,0,9939
575,0,9936
577,0,9978
579,0,10025
581,0,10073
583,0,10135
585,0,10158
587,0,10186
589,0,10229
591,0,10259
593,0,10272
595,0,10286
597,0,10286
599,0,10286
601,0,10286
603,0,10286
605,0,10286
607,0,10286
609,0,10286
611,0,10286
613,0,10286
615,0,10286
617,0,10286
619,0,10286
621,0,10286
623,0,10300
625,0,10314
627,0,10328
629,0,10342
631,0,10342
633,0,10342
635,0,10342
637,0,10342
639,0,10342
641,0,10342
643,0,10342
645,0,10342
647,0,10342
649,0,10342
651,0,10342
653,0,10342
655,0,10342
657,0,10342
659,0,10342
661,0,10342
663,0,10342
665,0,10342
667,0,10342
669,0,10342
671,0,10342
673,0,10342
675,0,10342
677,0,10342
679,0,10342
681,0,10342
683,0,10342
685,0,10342
687,0,10342
689,0,10342
691,0,10342
693,0,10342
695,0,10342
697,0,10342
699,0,10342
701,0,10342
703,0,10342
705,0,10342
707,0,10342
709,0,10342
711,0,10342
713,0,10342
715,0,10342
717,0,10342
719,0,10342
721,0,10342
723,0,10342
725,0,10342
727,0,10342
729,0,10342
731,0,10342
733,0,10342
735,0,10342
737,0,10342
739,0,10342
741,0,10342
743,0,10342
745,0,10342
747,0,10342
749,0,10342
751,0,10342
753,0,10342
755,0,10342
757,0,10342
759,0,10342
761,0,10342
763,0,10342
765,0,10342
767,0,10342
769,0,10342
771,0,10342
773,0,10342
775,0,10342
777,0,10342
779,0,10342
781,0,10342
783,0,10342
785,0,10342
787,0,10342
789,0,10342
791,0,10342
793,0,10342
795,0,10342
797,0,10342
799,0,10342
801,0,10342
803,0,10342
805,0,10342
807,0,10342
809,0,10342
811,0,10342
813,0,10342
815,0,10342
817,0,10342
819,0,10342
821,0,10342
823,0,10342
825,0,10342
827,0,10342
829,0,10342
831,0,10342
833,0,10342
835,0,10342
837,0,10342
839,0,10342
841,0,10342
843,0,10342
845,0,10342
847,0,10342
849,0,10342
851,0,10342
853,0,10342
855,0,10342
857,0,10342
859,0,10342
861,0,10342
863,0,10342
865,0,10342
867,0,10342
869,0,10342
871,0,10342
873,0,10342
875,0,10342
877,0,10342
879,0,10342
881,0,10342
883,0,10342
885,0,10342
887,0,10342
889,0,10342
891,0,10342
893,0,10342
895,0,10342
897,0,10342
899,0,10342
901,0,10342
903,0,10342
905,0,10342
907,0,10342
909,0,10342
911,0,10342
913,0,10342
915,0,10342
917,0,10342
919,0,10342
921,0,10342
923,0,10342
925,0,10342
927,0,10342
929,0,10342
931,0,10342
933,0,10342
935,0,10342
937,0,10342
939,0,10342
941,0,10342
943,0,10342
945,0,10342
947,0,10342
949,0,10342
951,0,10342
953,0,10342
955,0,10342
957,0,10342
959,0,10342
961,0,10342
963,0,10342
965,0,10342
967,0,10342
969,0,10342
971,0,10342
973,0,10342
975,0,10342
977,0,10342
979,0,10342
981,0,10342
983,0,10342
985,0,10342
987,0,10342
989,0,10342
991,0,10342
993,0,10342
995,0,10342
997,0,10342
999,0,10342
1001,0,10342
1003,0,10342
1005,0,10342
1007,0,10342
1009,0,10342
1011,0,10342
1013,0,10342
1015,0,10342
1017,0,10342
1019,0,10342
1021,0,10342
1023,0,10342
1025,0,10342
1027,0,10342
1029,0,10342
1031,0,10342
1033,0,10342
1035,0,10342
1037,0,10342
1039,0,10342
1041,0,10342
1043,0,10342
1045,0,10342
1047,0,10342
1049,0,10342
1051,0,10342
1053,0,10342
1055,0,10342
1057,0,10342
1059,0,10342
1061,0,10342
1063,0,10342
1065,0,10342
1067,0,10342
1069,0,10342
1071,0,10342
1073,0,10342
1075,0,10342
1077,0,10342
1079,0,10342
1081,0,10342
1083,0,10342
1085,0,10342
1087,0,10342
1089,0,10342
1091,0,10342
1093,0,10342
1095,0,10342
1097,0,10342
