step,stockout_skus_step,total_on_hand
90,0,2088
91,0,2080
92,0,2068
93,0,2061
94,0,2047
95,0,2032
96,1,2011
97,0,2408
98,0,2817
99,0,3235
100,0,3676
101,0,4132
102,0,4616
103,0,5103
104,0,5184
105,0,5249
106,0,5325
107,0,5378
108,0,5420
109,0,5453
110,0,5509
111,0,5547
112,0,5580
113,0,5621
114,0,5652
115,0,5664
116,0,5663
117,0,5663
118,0,5672
119,0,5678
120,0,5701
121,0,5732
122,0,5761
123,0,5897
124,0,6043
125,0,6192
126,0,6337
127,0,6481
128,0,6602
129,0,6724
130,0,6735
131,0,6754
132,0,6788
133,0,6826
134,0,6863
135,0,6894
136,0,6916
137,0,6945
138,0,6948
139,0,6953
140,0,6953
141,0,6962
142,0,6971
143,0,6963
144,0,6953
145,0,6955
146,0,6969
147,0,6983
148,0,7012
149,0,7027
150,0,7042
151,0,7074
152,0,7102
153,0,7121
154,0,7141
155,0,7149
156,0,7152
157,0,7152
158,0,7158
159,0,7180
160,0,7199
161,0,7212
162,0,7242
163,0,7277
164,1,7318
165,1,7356
166,1,7388
167,1,7403
168,1,7426
169,0,7452
170,0,7480
171,0,7490
172,0,7497
173,0,7496
174,0,7487
175,0,7503
176,0,7525
177,0,7539
178,0,7549
179,0,7566
180,0,7580
181,1,7605
182,1,7586
183,1,7566
184,1,7574
185,0,7567
186,0,7543
187,0,7538
188,0,7539
189,0,7549
190,0,7573
191,0,7603
192,0,7627
193,0,7659
194,0,7706
195,0,7771
196,1,7840
197,1,7921
198,1,7969
199,1,8009
200,0,8059
201,0,8136
202,0,8194
203,0,8277
204,0,8375
205,0,8479
206,0,8557
207,0,8588
208,0,8638
209,0,8691
210,0,8724
211,0,8770
212,0,8796
213,0,8805
214,0,8787
215,0,8767
216,0,8749
217,0,8735
218,0,8721
219,0,8719
220,0,8712
221,0,8710
222,0,8706
223,0,8695
224,0,8695
225,0,8692
226,0,8677
227,0,8675
228,0,8696
229,0,8705
230,0,8719
231,0,8737
232,0,8765
233,0,8826
234,1,8868
235,1,8897
236,1,8931
237,0,8983
238,0,9027
239,0,9083
240,0,9109
241,0,9143
242,0,9146
243,0,9173
244,0,9189
245,0,9210
246,0,9221
247,0,9229
248,0,9200
249,0,9179
250,0,9180
251,0,9189
252,0,9209
253,0,9270
254,0,9330
255,0,9391
256,0,9481
257,0,9563
258,0,9674
259,0,9801
260,0,9909
261,0,10012
262,0,10090
263,0,10133
264,0,10155
265,0,10139
266,0,10138
267,0,10125
268,1,10144
269,0,10185
270,1,10188
271,1,10204
272,1,10236
273,0,10265
274,0,10294
275,1,10271
276,2,10162
277,3,10060
278,2,10021
279,3,9973
280,4,9965
281,3,9976
282,4,10067
283,3,10219
284,3,10435
285,3,10659
286,0,11089
287,1,11616
288,1,12144
289,1,12673
290,2,13245
291,3,13706
292,2,14179
293,2,14603
294,1,14920
295,1,15168
296,0,15346
297,1,15578
298,1,15870
299,0,16253
300,0,16512
301,0,16820
302,0,17185
303,0,17531
304,0,17797
305,0,18045
306,0,18246
307,0,18387
308,0,18447
309,0,18486
310,0,18558
311,0,18624
312,0,18674
313,0,18685
314,0,18683
315,0,18480
316,0,18403
317,0,18378
318,2,18346
319,1,18318
320,1,18403
321,1,18519
322,0,18889
323,1,19408
324,1,19914
325,1,20430
326,0,20995
327,0,21443
328,0,21902
329,0,22029
330,0,22072
331,0,22097
332,0,22114
333,0,22114
334,0,22096
335,0,22109
336,0,22161
337,0,22234
338,0,22309
339,0,22379
340,0,22437
341,0,22494
342,0,22563
343,0,22593
344,0,22622
345,0,22649
346,0,22639
347,0,22616
348,0,22578
349,0,22567
350,0,22565
351,0,22562
352,0,22568
353,0,22584
354,0,22573
355,0,22575
356,0,22537
357,0,22504
358,0,22497
359,0,22510
360,0,22494
361,1,22495
362,1,22482
363,2,22466
364,2,22439
365,1,22428
366,1,22410
367,0,22407
368,0,22366
369,0,22361
370,0,22362
371,0,22370
372,1,22358
373,1,22343
374,1,22285
375,1,22308
376,2,22397
377,2,22494
378,2,22590
379,1,22734
380,1,22878
381,0,23022
382,0,23031
383,0,23067
384,0,23117
385,0,23171
386,0,23190
387,0,23220
388,0,23209
389,0,23203
390,0,23179
391,0,23164
392,0,23153
393,0,23138
394,0,23132
395,0,23149
396,0,23148
397,1,23149
398,2,23121
399,1,23135
400,1,23149
401,0,23184
402,0,23163
403,0,23134
404,1,23125
405,1,23108
406,1,23087
407,1,23064
408,1,23010
409,0,22961
410,0,22921
411,0,22887
412,0,22874
413,0,22839
414,0,22840
415,0,22851
416,0,22819
417,0,22779
418,0,22748
419,0,22762
420,0,22788
421,0,22821
422,0,22872
423,0,22904
424,0,22928
425,0,22973
426,0,22962
427,1,22953
428,1,22944
429,1,22908
430,1,22844
431,1,22770
432,1,22727
433,1,22683
434,0,22669
435,0,22670
436,0,22658
437,0,22613
438,0,22573
439,0,22551
440,0,22542
441,0,22551
442,0,22545
443,0,22540
444,0,22487
445,0,22493
446,0,22516
447,0,22568
448,0,22616
449,0,22674
450,0,22763
451,0,22850
452,0,22928
453,0,22947
454,0,22960
455,0,22969
456,0,22983
457,0,22956
458,0,22906
459,0,22853
460,0,22807
461,1,22761
462,1,22755
463,1,22764
464,1,22755
465,0,22763
466,0,22763
467,0,22787
468,0,22781
469,0,22770
470,1,22788
471,0,22844
472,0,22808
473,0,22761
474,1,22715
475,1,22697
476,1,22777
477,1,22898
478,1,23026
479,0,23135
480,0,23254
481,0,23334
482,1,23455
483,1,23460
484,1,23502
485,1,23546
486,1,23520
487,1,23478
488,0,23608
489,0,23783
490,0,23951
491,0,24061
492,0,24069
493,0,24075
494,0,24093
495,0,24114
496,0,24111
497,0,24101
498,0,24085
499,0,24067
500,0,24057
501,0,24061
502,0,24057
503,0,24060
504,0,24054
505,0,24051
506,0,24042
507,0,24043
508,0,24031
509,0,24024
510,0,24016
511,0,24024
512,0,24032
513,0,24077
514,0,24079
515,0,24094
516,0,24123
517,0,24149
518,0,24163
519,0,24200
520,0,24208
521,0,24201
522,1,24200
523,1,24185
524,1,24172
525,1,24185
526,1,24194
527,0,24212
528,0,24229
529,0,24254
530,0,24262
531,0,24266
532,0,24265
533,0,24279
534,0,24285
535,0,24273
536,0,24265
537,0,24257
538,0,24241
539,0,24248
540,0,24272
541,0,24280
542,0,24291
543,0,24303
544,0,24314
545,0,24328
546,0,24325
547,0,24318
548,0,24294
549,0,24272
550,0,24257
551,0,24241
552,0,24221
553,0,24199
554,0,24185
555,0,24173
556,0,24162
557,0,24144
558,0,24135
559,0,24136
560,0,24141
561,1,24130
562,0,24168
563,0,24180
564,0,24171
565,0,24184
566,0,24207
567,0,24236
568,0,24275
569,0,24283
570,0,24251
571,0,24239
572,0,24225
573,0,24209
574,1,24212
575,1,24197
576,1,24195
577,0,24192
578,0,24322
579,0,24475
580,0,24610
581,0,24768
582,0,24940
583,0,25111
584,0,25284
585,0,25302
586,0,25314
587,0,25347
588,0,25385
589,0,25422
590,0,25494
591,0,25539
592,0,25592
593,0,25652
