step,stockout_skus_step,total_on_hand
91,0,2094
93,0,2087
95,0,2072
97,0,2061
99,0,2468
101,0,2878
103,0,3306
105,0,3751
107,0,3776
109,0,3832
111,0,3882
113,0,3937
115,0,3985
117,0,3983
119,0,3971
121,0,3981
123,0,3981
125,0,4004
127,0,4037
129,0,4051
131,0,4066
133,0,4077
135,0,4093
137,0,4100
139,0,4114
141,0,4132
143,0,4126
145,0,4184
147,0,4235
149,0,4285
151,0,4340
153,0,4359
155,0,4378
157,0,4400
159,0,4454
161,0,4478
163,0,4511
165,0,4536
167,0,4538
169,0,4569
171,0,4590
173,0,4612
175,0,4639
177,0,4667
179,0,4752
181,0,4826
183,0,4872
185,0,4914
187,0,4898
189,0,4909
191,0,4934
193,0,4915
195,0,4976
197,0,5068
199,0,5141
201,0,5273
203,0,5342
205,0,5379
207,0,5417
209,0,5420
211,0,5425
213,0,5414
215,0,5412
217,0,5425
219,0,5480
221,0,5523
223,0,5557
225,0,5578
227,0,5618
229,0,5652
231,0,5667
233,0,5706
235,0,5688
237,0,5679
239,0,5710
241,0,5741
243,0,5757
245,0,5790
247,0,5790
249,0,5778
251,0,5791
253,0,5833
255,0,5848
257,0,5925
259,0,6005
261,0,6075
263,0,6141
265,0,6162
267,0,6209
269,0,6238
271,0,6264
273,1,6260
275,0,6237
277,2,6156
279,2,6093
281,2,6094
283,3,6161
285,1,6348
287,1,6640
289,1,6900
291,1,7098
293,1,7216
295,0,7266
297,0,7260
299,0,7400
301,0,7581
303,0,7784
305,0,8039
307,0,8199
309,0,8343
311,0,8460
313,0,8519
315,0,8310
317,0,8359
319,0,8379
321,0,8476
323,0,8618
325,0,8700
327,0,8802
329,0,8881
331,0,8932
333,0,8994
335,0,9067
337,0,9210
339,0,9550
341,0,9822
343,0,10105
345,0,10386
347,0,10450
349,0,10478
351,0,10542
353,0,10583
355,0,10585
357,0,10566
359,0,10531
361,0,10471
363,1,10429
365,1,10423
367,1,10420
369,0,10467
371,0,10564
373,0,10662
375,0,10777
377,0,10846
379,0,10897
381,0,10905
383,0,10865
385,0,10837
387,0,10832
389,0,10793
391,0,10794
393,0,10784
395,0,10779
397,0,10792
399,0,10786
401,0,10804
403,0,10790
405,0,10767
407,1,10766
409,1,10689
411,0,10677
413,0,10717
415,0,10787
417,0,10823
419,0,10855
421,0,10872
423,0,10908
425,0,10962
427,1,10966
429,1,10973
431,1,10936
433,1,10915
435,0,11080
437,0,11196
439,0,11326
441,0,11513
443,0,11563
445,0,11580
447,0,11619
449,0,11658
451,0,11636
453,0,11622
455,0,11624
457,0,11627
459,0,11591
461,0,11537
463,0,11540
465,0,11488
467,0,11488
469,0,11489
471,0,11524
473,0,11518
475,1,11561
477,1,11687
479,1,11792
481,0,11879
483,0,11966
485,0,11992
487,0,12012
489,0,12067
491,0,12096
493,0,12114
495,0,12142
497,0,12139
499,0,12148
501,0,12149
503,0,12154
505,0,12153
507,0,12148
509,0,12148
511,0,12147
513,0,12168
515,0,12158
517,0,12171
519,0,12204
521,0,12202
523,0,12194
525,0,12200
527,1,12178
529,0,12161
531,0,12153
533,0,12167
535,0,12154
537,0,12131
539,0,12119
541,0,12105
543,0,12094
545,0,12064
547,0,12035
549,0,12013
551,0,11997
553,0,11984
555,0,11981
557,0,11937
559,0,11905
561,0,11874
563,0,11922
565,0,12008
567,0,12108
569,0,12191
571,0,12190
573,0,12174
575,0,12178
577,0,12208
579,0,12243
581,0,12259
583,0,12289
585,0,12301
587,0,12331
589,0,12377
591,0,12407
593,0,12420
595,0,12451
597,0,12469
599,0,12487
601,0,12505
603,0,12505
605,0,12505
607,0,12505
609,0,12505
611,0,12505
613,0,12505
615,0,12505
617,0,12505
619,0,12505
621,0,12505
623,0,12519
625,0,12533
627,0,12547
629,0,12561
631,0,12561
633,0,12561
635,0,12561
637,0,12561
639,0,12561
641,0,12561
643,0,12561
645,0,12561
647,0,12561
649,0,12561
651,0,12561
653,0,12561
655,0,12561
657,0,12561
659,0,12561
661,0,12561
663,0,12561
665,0,12561
667,0,12561
669,0,12561
671,0,12561
673,0,12561
675,0,12561
677,0,12561
679,0,12561
681,0,12561
683,0,12561
685,0,12561
687,0,12561
689,0,12561
691,0,12561
693,0,12561
695,0,12561
697,0,12561
699,0,12561
701,0,12561
703,0,12561
705,0,12561
707,0,12561
709,0,12561
711,0,12561
713,0,12561
715,0,12561
717,0,12561
719,0,12561
721,0,12561
723,0,12561
725,0,12561
727,0,12561
729,0,12561
731,0,12561
733,0,12561
735,0,12561
737,0,12561
739,0,12561
741,0,12561
743,0,12561
745,0,12561
747,0,12561
749,0,12561
751,0,12561
753,0,12561
755,0,12561
757,0,12561
759,0,12561
761,0,12561
763,0,12561
765,0,12561
767,0,12561
769,0,12561
771,0,12561
773,0,12561
775,0,12561
777,0,12561
779,0,12561
781,0,12561
783,0,12561
785,0,12561
787,0,12561
789,0,12561
791,0,12561
793,0,12561
795,0,12561
797,0,12561
799,0,12561
801,0,12561
803,0,12561
805,0,12561
807,0,12561
809,0,12561
811,0,12561
813,0,12561
815,0,12561
817,0,12561
819,0,12561
821,0,12561
823,0,12561
825,0,12561
827,0,12561
829,0,12561
831,0,12561
833,0,12561
835,0,12561
837,0,12561
839,0,12561
841,0,12561
843,0,12561
845,0,12561
847,0,12561
849,0,12561
851,0,12561
853,0,12561
855,0,12561
857,0,12561
859,0,12561
861,0,12561
863,0,12561
865,0,12561
867,0,12561
869,0,12561
871,0,12561
873,0,12561
875,0,12561
877,0,12561
879,0,12561
881,0,12561
883,0,12561
885,0,12561
887,0,12561
889,0,12561
891,0,12561
893,0,12561
895,0,12561
897,0,12561
899,0,12561
901,0,12561
903,0,12561
905,0,12561
907,0,12561
909,0,12561
911,0,12561
913,0,12561
915,0,12561
917,0,12561
919,0,12561
921,0,12561
923,0,12561
925,0,12561
927,0,12561
929,0,12561
931,0,12561
933,0,12561
935,0,12561
937,0,12561
939,0,12561
941,0,12561
943,0,12561
945,0,12561
947,0,12561
949,0,12561
951,0,12561
953,0,12561
955,0,12561
957,0,12561
959,0,12561
961,0,12561
963,0,12561
965,0,12561
967,0,12561
969,0,12561
971,0,12561
973,0,12561
975,0,12561
977,0,12561
979,0,12561
981,0,12561
983,0,12561
985,0,12561
987,0,12561
989,0,12561
991,0,12561
993,0,12561
995,0,12561
997,0,12561
999,0,12561
1001,0,12561
1003,0,12561
1005,0,12561
1007,0,12561
1009,0,12561
1011,0,12561
1013,0,12561
1015,0,12561
1017,0,12561
1019,0,12561
1021,0,12561
1023,0,12561
1025,0,12561
1027,0,12561
1029,0,12561
1031,0,12561
1033,0,12561
1035,0,12561
1037,0,12561
1039,0,12561
1041,0,12561
1043,0,12561
1045,0,12561
1047,0,12561
1049,0,12561
1051,0,12561
1053,0,12561
1055,0,12561
1057,0,12561
1059,0,12561
1061,0,12561
1063,0,12561
1065,0,12561
1067,0,12561
1069,0,12561
1071,0,12561
1073,0,12561
1075,0,12561
1077,0,12561
1079,0,12561
1081,0,12561
1083,0,12561
1085,0,12561
1087,0,12561
1089,0,12561
1091,0,12561
1093,0,12561
1095,0,12561
1097,0,12561
