step,stockout_skus_step,total_on_hand
90,0,621
91,0,613
92,3,601
93,4,595
94,6,584
95,7,571
96,10,556
97,0,1577
98,0,2610
99,0,3668
100,0,4733
101,0,5795
102,0,6882
103,0,7984
104,0,8015
105,0,8035
106,0,8049
107,0,8067
108,0,8103
109,0,8150
110,0,8199
111,0,8231
112,0,8284
113,0,8338
114,0,8381
115,0,8424
116,1,8503
117,1,8578
118,1,8667
119,1,8740
120,1,8824
121,1,8919
122,1,8979
123,0,9097
124,0,9233
125,0,9367
126,0,9506
127,0,9653
128,0,9773
129,0,9903
130,0,9915
131,0,9935
132,0,9963
133,0,9975
134,0,9993
135,0,10017
136,0,10025
137,1,10046
138,1,10043
139,1,10050
140,1,10052
141,1,10063
142,1,10064
143,0,10060
144,0,10050
145,0,10045
146,0,10037
147,0,10034
148,0,10039
149,0,10040
150,0,10020
151,1,10008
152,0,10023
153,0,10043
154,0,10075
155,1,10108
156,0,10144
157,0,10188
158,0,10241
159,0,10282
160,0,10324
161,0,10341
162,0,10368
163,0,10368
164,0,10366
165,0,10352
166,0,10335
167,0,10300
168,0,10285
169,0,10271
170,0,10253
171,0,10254
172,0,10261
173,0,10271
174,0,10279
175,0,10292
176,0,10320
177,0,10349
178,0,10336
179,0,10323
180,2,10300
181,1,10293
182,1,10272
183,1,10255
184,1,10288
185,0,10312
186,0,10332
187,1,10369
188,1,10399
189,2,10435
190,2,10485
191,1,10534
192,1,10568
193,1,10618
194,1,10687
195,1,10760
196,2,10841
197,2,10944
198,2,11022
199,2,11089
200,1,11174
201,1,11278
202,1,11365
203,0,11479
204,0,11603
205,0,11702
206,0,11787
207,0,11829
208,0,11902
209,1,11990
210,1,12053
211,1,12122
212,0,12198
213,0,12276
214,0,12308
215,0,12345
216,0,12375
217,0,12395
218,0,12414
219,0,12431
220,0,12419
221,1,12416
222,1,12425
223,1,12432
224,0,12460
225,0,12487
226,1,12503
227,1,12547
228,1,12587
229,1,12602
230,1,12622
231,2,12636
232,3,12657
233,2,12711
234,1,12749
235,2,12770
236,3,12810
237,2,12874
238,1,12941
239,1,13022
240,1,13062
241,0,13110
242,0,13119
243,0,13148
244,0,13167
245,0,13207
246,1,13234
247,2,13272
248,3,13262
249,1,13287
250,2,13314
251,2,13354
252,2,13390
253,1,13473
254,1,13555
255,0,13657
256,0,13755
257,0,13834
258,0,13908
259,0,13985
260,0,14015
261,0,14040
262,2,14032
263,2,13995
264,2,13969
265,2,13930
266,3,13912
267,3,13906
268,2,13921
269,1,13962
270,1,14016
271,0,14086
272,0,14160
273,0,14218
274,0,14309
275,0,14369
276,0,14370
277,1,14369
278,1,14369
