step,stockout_skus_step,total_on_hand
90,0,622
91,0,614
92,3,602
93,4,596
94,6,585
95,6,572
96,11,556
97,0,1574
98,0,2603
99,0,3658
100,0,4720
101,0,5779
102,0,6863
103,0,7963
104,0,7992
105,0,8012
106,0,8025
107,0,8042
108,0,8077
109,0,8123
110,0,8171
111,0,8203
112,0,8256
113,0,8310
114,0,8353
115,0,8396
116,1,8475
117,1,8550
118,1,8640
119,1,8714
120,1,8799
121,1,8896
122,1,8958
123,0,9078
124,0,9216
125,0,9351
126,0,9491
127,1,9639
128,1,9759
129,1,9889
130,0,9902
131,0,9923
132,0,9952
133,0,9965
134,0,9984
135,0,10010
136,0,10020
137,1,10042
138,1,10040
139,1,10048
140,1,10051
141,1,10063
142,1,10064
143,0,10060
144,0,10050
145,0,10045
146,0,10037
147,0,10034
148,0,10039
149,0,10040
150,0,10020
151,1,10008
152,0,10022
153,0,10041
154,0,10072
155,1,10104
156,0,10139
157,0,10182
158,0,10234
159,0,10275
160,0,10318
161,0,10336
162,0,10364
163,0,10365
164,0,10364
165,0,10351
166,0,10335
167,0,10300
168,0,10285
169,0,10271
170,0,10253
171,0,10260
172,0,10273
173,0,10289
174,0,10303
175,0,10322
176,0,10356
177,0,10391
178,0,10378
179,0,10365
180,2,10342
181,1,10335
182,1,10314
183,1,10297
184,1,10330
185,0,10354
186,0,10374
187,1,10412
188,1,10442
189,2,10478
190,2,10528
191,1,10577
192,1,10611
193,1,10662
194,1,10731
195,1,10804
196,1,10884
197,1,10987
198,1,11065
199,1,11133
200,0,11216
201,0,11319
202,0,11405
203,0,11518
204,0,11640
205,0,11728
206,0,11800
207,1,11835
208,0,11904
209,1,11985
210,1,12043
211,1,12107
212,0,12187
213,0,12279
214,0,12354
215,0,12392
216,0,12423
217,0,12443
218,0,12462
219,0,12479
220,0,12467
221,1,12464
222,1,12473
223,1,12480
224,0,12508
225,0,12535
226,1,12551
227,1,12595
228,1,12635
229,1,12650
230,1,12670
231,2,12684
232,3,12705
233,2,12759
234,1,12797
235,2,12818
236,3,12858
237,2,12922
238,1,12989
239,1,13070
240,1,13110
241,0,13158
242,0,13167
243,0,13188
244,0,13199
245,0,13231
246,1,13249
247,2,13276
248,3,13255
249,1,13269
250,2,13304
251,2,13353
252,2,13399
253,1,13492
254,1,13584
255,0,13697
256,0,13807
257,0,13886
258,0,13960
259,0,14037
260,0,14067
261,0,14092
262,2,14084
263,2,14047
264,2,14021
265,2,13982
266,3,13964
267,3,13958
268,2,13973
269,1,14014
270,1,14068
271,0,14138
272,0,14212
273,0,14270
274,0,14361
275,0,14421
276,0,14422
277,1,14421
278,1,14421
279,1,14420
280,2,14399
281,1,14339
282,1,14261
283,1,14175
284,1,14111
285,1,14020
286,1,13926
287,0,13922
288,0,13946
289,0,13892
290,0,13932
291,2,13900
292,1,13917
293,1,13958
294,2,13943
295,2,13956
296,2,14056
297,2,14098
298,1,14217
299,2,14380
300,2,14533
301,3,14722
302,5,15028
303,6,15263
304,7,15471
305,6,15650
306,5,15872
307,4,16020
308,5,16210
309,3,16489
310,2,16785
311,2,17087
312,2,17368
313,2,17553
314,4,17732
315,11,17372
316,8,17257
317,11,17334
318,12,17432
319,13,17608
320,15,17858
321,12,18961
322,6,20589
323,5,22479
324,2,24416
325,2,26513
326,1,28567
327,1,30499
328,1,31658
329,0,32341
330,1,32853
331,2,33127
332,2,33281
333,2,33451
334,1,33674
335,1,33902
336,0,34129
337,0,34356
338,0,34527
339,0,34678
340,0,34788
341,0,34837
342,0,34894
343,0,34934
344,0,34929
345,0,34927
346,0,34905
347,0,34870
348,0,34818
349,0,34773
350,0,34743
351,0,34724
352,0,34714
353,0,34714
354,0,34686
355,0,34668
356,0,34620
357,0,34577
358,0,34520
359,1,34478
360,1,34408
361,1,34379
362,1,34339
363,0,34315
364,0,34342
365,0,34395
366,0,34462
367,0,34527
368,1,34535
369,1,34578
370,0,34634
371,0,34673
372,0,34674
373,0,34659
374,0,34613
375,0,34584
376,1,34638
377,2,34684
378,2,34740
379,1,34845
380,2,34950
381,3,35035
382,3,35140
383,1,35150
384,0,35185
385,0,35216
386,0,35258
387,0,35311
388,1,35325
389,0,35331
390,0,35308
391,0,35284
392,0,35263
393,0,35242
394,0,35233
395,0,35204
396,0,35149
397,0,35090
398,0,35009
399,0,34956
400,0,34900
401,1,34855
402,0,34811
403,1,34753
404,1,34711
405,1,34663
406,1,34631
407,1,34609
408,1,34559
409,0,34491
410,1,34437
411,1,34391
412,0,34377
413,0,34341
414,0,34341
415,0,34346
416,0,34303
417,0,34313
418,0,34330
419,1,34350
420,1,34366
421,1,34342
422,0,34336
423,0,34326
424,0,34280
425,0,34249
426,0,34197
427,1,34153
428,1,34126
429,1,34072
430,1,33997
431,0,33924
432,0,33890
433,0,33853
434,0,33832
435,0,33827
436,0,33822
437,0,33785
438,0,33749
439,0,33704
440,0,33670
441,0,33658
442,0,33631
443,0,33605
444,0,33546
445,0,33499
446,0,33467
447,0,33440
448,0,33416
449,0,33402
450,0,33386
451,0,33342
452,0,33315
453,0,33282
454,0,33253
455,0,33220
456,0,33210
457,0,33186
458,1,33140
459,1,33084
460,1,33023
461,1,32947
462,1,32919
463,1,32906
464,1,32886
465,0,32890
466,0,32897
