step,stockout_skus_step,total_on_hand
90,0,2091
91,0,2083
92,0,2071
93,0,2064
94,0,2050
95,0,2035
96,1,2015
97,0,5884
98,0,9750
99,0,13619
100,0,17489
101,0,21453
102,0,25849
103,0,30239
104,0,30863
105,0,31613
106,0,32368
107,0,33127
108,0,33878
109,0,34204
110,0,34632
111,0,34941
112,0,35136
113,0,35332
114,0,35517
115,0,35599
116,0,35668
117,0,35650
118,0,35734
119,0,35814
120,0,35903
121,0,36093
122,0,36373
123,0,36645
124,1,36923
125,2,37110
126,0,38532
127,0,40062
128,0,41476
129,0,42890
130,0,44498
131,0,46414
132,0,48337
133,0,49025
134,0,49618
135,0,50205
136,0,50776
137,0,51161
138,0,51235
139,0,51319
140,0,51398
141,0,51586
142,0,51774
143,0,51845
144,0,51921
145,0,52402
146,0,52980
147,0,53763
148,0,54454
149,0,55129
150,0,55797
151,0,56473
152,0,56751
153,0,56934
154,1,57017
155,1,57101
156,0,57593
157,0,58179
158,0,58773
159,0,59382
160,0,59981
161,0,60466
162,0,60960
163,0,61137
164,0,61424
165,0,61698
166,0,61969
167,0,62334
168,0,62719
169,0,63105
170,0,63487
171,0,63665
172,0,63849
173,0,64025
174,0,64091
175,0,64161
176,0,64244
177,0,64327
178,0,64402
179,0,64577
180,1,64749
181,1,64930
182,1,65097
183,1,65369
184,1,65551
185,1,65711
186,0,66211
187,0,66724
188,0,67242
189,1,67769
190,1,68210
191,1,68750
192,1,69277
193,0,69447
194,0,69627
195,1,69915
196,1,70298
197,1,70692
198,1,70978
199,1,71253
200,1,71414
201,1,71595
202,1,71662
203,1,71637
204,1,71721
205,1,71893
206,1,72064
207,1,72330
208,1,72603
209,1,72877
210,2,73143
211,2,73327
212,2,73412
213,2,73483
214,2,73446
215,2,73414
216,0,74922
217,0,76432
218,0,77941
219,0,79461
220,0,81077
221,0,82796
222,0,84513
223,0,84684
224,0,84866
225,0,85045
226,0,85212
227,0,85280
228,0,85255
229,0,85217
230,0,85184
231,0,85155
232,0,85136
233,0,85109
234,1,85076
235,1,85043
236,1,85015
237,1,85098
238,1,85167
239,1,85248
240,1,85431
241,1,85605
242,2,85747
243,2,85914
244,2,86083
245,2,86264
246,0,87554
247,0,88843
248,0,90109
249,0,91387
250,0,92666
251,0,93945
252,0,95233
253,0,95511
254,0,95686
255,0,96054
256,0,96417
257,0,96777
258,0,97044
259,0,97326
260,1,97504
261,1,97676
262,1,97640
263,2,97601
264,2,97572
265,2,97533
266,2,97502
267,2,97482
268,4,97455
269,4,97415
270,4,97389
271,4,97364
272,4,97345
273,4,97326
274,4,97299
275,4,97270
276,0,98547
277,0,99822
278,0,101212
279,0,102601
280,0,104008
281,0,105410
282,0,106806
283,0,106973
284,0,107247
285,0,107508
286,0,107964
287,0,108436
288,0,108922
289,0,109382
290,0,109757
291,0,110005
292,0,110172
293,0,110143
294,0,110205
295,0,110278
296,0,110347
297,0,110407
298,0,110463
299,0,110533
300,0,110590
301,0,110558
302,0,110518
303,0,110489
304,0,110458
305,0,110429
306,0,110596
307,0,110744
308,0,110902
309,0,111066
310,0,111335
311,0,111586
312,0,111844
313,0,111882
314,0,112097
315,0,112100
316,0,112251
317,0,112355
318,0,112456
319,2,112561
320,3,112681
321,4,112640
322,4,112583
323,3,112648
324,3,112688
325,3,112718
326,3,112771
327,4,112906
328,4,113147
329,6,113400
330,6,113564
331,6,113720
332,6,113870
333,6,114015
334,6,114040
335,6,113994
336,0,115409
337,0,116944
338,0,118579
339,0,120198
340,0,121827
341,0,123547
342,0,125275
343,0,125548
344,0,125719
345,0,125805
346,0,125871
347,0,125924
348,0,125972
349,0,126027
350,0,126097
351,0,126166
352,0,126244
353,0,126332
354,0,126392
355,0,126362
356,1,126302
357,1,126248
358,1,126191
359,1,126149
360,1,126078
361,1,126011
362,1,125933
363,1,125858
364,1,125809
365,1,125761
366,0,125814
367,0,125963
368,0,126079
369,0,126223
370,0,126476
371,0,126736
372,1,126988
373,1,127137
374,1,127155
375,1,127199
376,1,127234
377,2,127269
378,2,127316
379,2,127395
380,2,127566
381,2,127715
382,2,127860
383,3,127996
384,4,128049
385,4,128093
386,4,128149
387,4,128110
388,4,128038
389,4,128171
390,4,128315
391,4,128466
392,4,128620
393,5,128768
394,5,128920
395,5,129072
396,0,130284
397,0,131503
398,1,132701
399,1,133926
400,0,135248
401,0,136576
402,0,137892
403,0,137913
404,1,137950
405,1,137983
406,1,138032
407,1,137991
408,1,137927
409,1,137832
410,1,137751
411,1,137673
412,1,137620
413,1,137546
414,1,137501
415,1,137459
416,1,137394
417,1,137322
418,1,137259
419,1,137209
420,1,137171
421,1,137225
422,1,137285
423,1,137339
424,1,137381
425,1,137437
426,0,137742
427,1,138048
428,1,138270
429,1,138479
430,1,138667
431,1,138845
432,1,139147
433,1,139182
434,1,139233
435,1,139298
436,1,139365
437,1,139397
438,1,139434
439,1,139379
440,1,139335
441,1,139313
442,1,139276
443,1,139240
444,1,139154
445,1,139193
446,1,139246
447,1,139304
448,1,139364
449,1,139432
450,1,139498
451,1,139554
452,1,139527
453,1,139481
454,1,139440
455,1,139393
456,0,139542
457,0,139676
458,0,139787
459,0,139886
460,1,139994
461,1,140091
462,1,140223
463,1,140197
464,1,140156
465,1,140083
466,1,140009
467,1,139953
468,1,139879
469,1,139798
470,1,139746
471,1,139711
472,1,139642
473,1,139562
474,1,139463
475,1,139388
476,1,139309
477,2,139251
478,2,139212
479,2,139128
480,3,139043
481,3,138933
482,3,138857
483,3,138792
484,3,138751
485,3,138710
486,0,139204
487,0,139791
488,0,140375
489,0,140993
490,0,141617
491,0,142245
492,0,142862
493,0,142910
494,0,142868
495,0,142846
496,0,142826
497,0,142799
498,0,142773
499,0,142745
500,0,142723
501,0,142702
502,0,142684
503,0,142662
504,0,142631
505,0,142603
506,0,142569
507,0,142531
508,0,142494
509,1,142461
510,1,142424
511,1,142397
512,1,142364
513,1,142346
514,1,142294
515,1,142256
516,0,142335
517,0,142429
518,0,142520
519,0,142618
520,0,142709
521,0,142785
522,1,142868
523,1,142826
524,1,142780
525,1,142758
526,1,142738
527,1,142707
528,1,142669
529,1,142626
530,1,142580
531,1,142545
532,1,142516
533,1,142500
534,1,142483
535,1,142448
536,1,142417
537,1,142385
538,1,142347
539,1,142325
540,1,142310
541,1,142287
542,1,142267
543,1,142246
544,1,142223
545,1,142193
546,0,142311
547,0,142435
548,0,142555
549,0,142669
550,0,142790
551,0,142910
552,0,143035
553,0,143005
554,0,142983
555,0,142963
556,0,142934
557,0,142890
558,0,142855
559,0,142823
560,0,142795
561,1,142753
562,1,142739
563,1,142705
564,1,142661
565,1,142624
566,1,142589
567,1,142559
568,1,142525
569,1,142483
570,1,142422
571,1,142379
572,1,142349
573,1,142307
574,2,142283
575,2,142249
576,0,142528
577,0,142792
578,0,143073
579,0,143350
580,0,143603
581,0,143876
582,0,144159
583,0,144131
584,0,144112
585,0,144085
586,0,144065
587,0,144055
588,0,144047
589,0,144038
590,0,144030
591,0,144025
592,0,144022
593,0,144021
