step,stockout_skus_step,total_on_hand
90,0,2104
91,0,2096
92,0,2084
93,0,2077
94,0,2063
95,0,2048
96,1,2027
97,0,6113
98,0,10196
99,0,14496
100,0,18797
101,0,23292
102,0,27795
103,0,32598
104,0,33418
105,0,34241
106,0,34978
107,0,35719
108,0,36247
109,0,36774
110,0,37197
111,0,37501
112,0,37814
113,0,38005
114,0,38185
115,0,38367
116,1,38536
117,1,38518
118,1,38502
119,1,38482
120,1,38472
121,1,38562
122,1,38742
123,1,38914
124,1,39094
125,1,39281
126,0,40485
127,0,41797
128,0,43093
129,0,44392
130,0,45885
131,0,47386
132,0,48894
133,0,49382
134,0,49775
135,0,50062
136,0,50348
137,0,50748
138,0,51137
139,0,51536
140,0,52030
141,0,52533
142,0,53136
143,0,53707
144,0,53983
145,0,54264
146,0,54542
147,0,54725
148,0,55116
149,0,55391
150,1,55659
151,1,55935
152,1,56313
153,1,56696
154,1,57080
155,1,57264
156,0,57756
157,0,58242
158,0,58736
159,0,59345
160,0,60144
161,0,60929
162,0,61723
163,0,62300
164,0,62787
165,0,63261
166,0,63532
167,0,63697
168,0,63882
169,0,64068
170,0,64150
171,0,64228
172,0,64312
173,0,64388
174,0,64454
175,0,64524
176,0,64707
177,0,64890
178,0,65065
179,0,65340
180,0,65712
181,1,65992
182,1,66359
183,1,66631
184,1,66913
185,1,67173
186,0,67873
187,0,68486
188,0,69104
189,0,69631
190,0,70272
191,0,70912
192,0,71539
193,0,71699
194,0,71979
195,0,72266
196,1,72648
197,1,72942
198,1,73228
199,1,73503
200,1,73774
201,1,73955
202,1,74122
203,1,74197
204,1,74281
205,1,74353
206,1,74424
207,1,74490
208,1,74563
209,1,74637
210,2,74703
211,2,74787
212,2,74872
213,2,74943
214,2,74906
215,2,74874
216,0,76282
217,0,77692
218,0,79101
219,0,80621
220,0,82137
221,0,83756
222,0,85373
223,0,85644
224,0,85926
225,0,86305
226,0,86572
227,0,86840
228,0,87015
229,0,87177
230,0,87244
231,0,87415
232,0,87496
233,0,87569
234,2,87636
235,2,87803
236,2,87975
237,2,88258
238,2,88427
239,2,88608
240,2,88791
241,2,88965
242,2,89008
243,4,89074
244,4,89143
245,4,89224
246,0,90414
247,0,91613
248,0,92789
249,0,93977
250,0,95166
251,0,96245
252,0,97333
253,0,97411
254,0,97486
255,0,97654
256,1,97817
257,1,97977
258,1,98244
259,1,98526
260,1,98703
261,1,98875
262,1,98942
263,1,99004
264,1,99175
265,1,99236
266,1,99305
267,2,99384
268,4,99457
269,4,99517
270,4,99591
271,4,99566
272,4,99547
273,4,99628
274,4,99701
275,4,99772
276,0,101149
277,0,102624
278,0,104114
279,0,105603
280,0,107010
281,0,108412
282,0,109808
283,0,109875
284,0,109849
285,0,109810
286,0,109866
287,0,109938
288,0,110024
289,0,110084
290,0,110159
291,0,110207
292,0,110374
293,0,110445
294,0,110507
295,0,110580
296,0,110649
297,0,110810
298,0,110966
299,0,111036
300,0,111094
301,0,111162
302,0,111222
303,0,111293
304,0,111262
305,0,111233
306,0,111401
307,0,111549
308,0,111708
309,0,112072
310,0,112541
311,0,112993
312,0,113451
313,0,113689
314,0,113910
315,0,113922
316,0,113882
317,0,113790
318,2,113695
319,2,113705
320,2,113727
321,3,113784
322,3,113927
323,3,114093
324,3,114235
325,3,114466
326,3,114619
327,4,114855
328,5,115101
329,5,115255
330,5,115419
331,5,115576
332,5,115629
333,5,115678
334,5,115607
335,5,115563
336,0,116881
337,0,118217
338,0,119652
339,0,121074
340,0,122503
341,0,123923
342,0,125351
343,0,125424
344,0,125495
345,0,125481
346,0,125447
347,0,125500
348,0,125548
349,0,125603
350,0,125673
351,0,125742
352,0,125820
353,0,125908
354,0,125868
355,0,125838
356,0,125778
357,0,125723
358,0,125666
359,0,125624
360,0,125553
361,0,125586
362,0,125708
363,0,125832
364,0,125983
365,0,126235
366,0,126788
367,0,127337
368,1,127754
369,1,128099
370,1,128452
371,1,128912
372,1,129362
373,1,129511
374,2,129628
375,2,129772
376,2,129907
377,3,130044
378,3,130091
379,3,130070
380,3,130041
381,3,129990
382,3,130035
383,4,130070
384,5,130121
385,5,130165
386,5,130221
387,5,130282
388,5,130310
389,5,130243
390,5,130187
391,5,130138
392,5,130092
393,5,130240
394,5,130392
395,6,130543
396,0,131748
397,0,132960
398,0,134250
399,0,135568
400,0,136675
401,0,137788
402,0,138889
403,0,138910
404,1,138944
405,1,138877
406,1,138826
407,1,138785
408,1,138721
409,1,138626
410,1,138545
411,1,138467
412,1,138414
413,1,138340
414,1,138295
415,1,138253
416,1,138188
417,1,138116
418,1,138053
419,1,138003
420,1,137965
421,1,137919
422,1,137879
423,1,137833
424,1,137775
425,1,137731
426,0,138128
427,1,138527
428,1,138949
429,1,139358
430,1,139746
431,1,140124
432,1,140526
433,1,140461
434,1,140412
435,1,140377
436,1,140344
437,1,140276
438,1,140213
439,1,140158
440,1,140114
441,1,140092
442,1,140055
443,1,140019
444,1,139933
445,1,139872
446,1,139925
447,1,139983
448,1,140043
449,1,140111
450,1,140177
451,1,140233
452,1,140306
453,1,140260
454,1,140219
455,1,140172
456,0,140321
457,0,140455
458,0,140566
459,0,140665
460,1,140771
461,1,140868
462,1,141000
463,1,140974
464,1,140933
465,1,140860
466,1,140786
467,1,140730
468,1,140656
469,1,140575
470,1,140523
471,1,140488
472,1,140419
473,1,140339
474,1,140240
475,1,140165
476,1,140086
477,2,140028
478,2,139989
479,2,139905
480,3,139819
481,3,139709
482,3,139633
483,3,139568
484,3,139527
485,3,139486
486,0,139980
487,0,140467
488,0,140951
489,0,141469
490,0,141993
491,0,142521
492,0,143038
493,0,142986
494,0,142944
495,0,142922
496,0,142902
497,0,142875
498,0,142849
499,0,142821
500,0,142799
501,0,142778
502,0,142760
503,0,142738
504,0,142707
505,0,142679
506,0,142645
507,0,142607
508,0,142570
509,0,142537
510,1,142498
511,1,142471
512,1,142438
513,1,142420
514,1,142368
515,1,142330
516,0,142409
517,0,142503
518,0,142594
519,0,142692
520,0,142783
521,0,142859
522,1,142942
523,1,142900
524,1,142854
525,1,142832
526,1,142812
527,1,142781
528,1,142743
529,1,142700
530,1,142654
531,1,142619
532,1,142590
533,1,142574
534,1,142557
535,1,142522
536,1,142491
