step,stockout_skus_step,total_on_hand
90,0,2093
91,0,2085
92,0,2073
93,0,2066
94,0,2052
95,0,2037
96,1,2016
97,0,6315
98,0,10611
99,0,15015
100,0,19420
101,0,23815
102,0,28218
103,0,32936
104,0,33343
105,0,33876
106,0,34309
107,0,34746
108,0,35174
109,0,35601
110,0,35809
111,0,36013
112,0,36103
113,0,36294
114,0,36474
115,0,36756
116,0,37025
117,0,37207
118,0,37391
119,0,37571
120,0,37660
121,0,37850
122,0,37930
123,0,38002
124,1,38181
125,1,38368
126,0,39780
127,0,41300
128,0,42704
129,0,44118
130,0,45526
131,0,46942
132,0,48465
133,0,48753
134,0,48946
135,0,49133
136,0,49304
137,0,49989
138,0,50563
139,0,51047
140,0,51526
141,0,52014
142,0,52602
143,0,53273
144,0,53449
145,0,53630
146,0,53908
147,0,54191
148,0,54582
149,0,54957
150,0,55225
151,0,55501
152,0,55879
153,0,56162
154,0,56445
155,0,56629
156,0,57021
157,0,57507
158,0,58101
159,0,58710
160,0,59309
161,0,59894
162,0,60588
163,0,61065
164,0,61552
165,0,61926
166,0,62197
167,0,62462
168,0,62747
169,0,62933
170,0,63115
171,0,63193
172,0,63277
173,0,63353
174,0,63519
175,0,63689
176,0,63872
177,0,64055
178,0,64230
179,0,64505
180,0,64777
181,1,64956
182,1,65123
183,1,65395
184,1,65577
185,1,65737
186,1,66238
187,0,66951
188,0,67669
189,0,68396
190,0,69137
191,0,69877
192,0,70604
193,0,70974
194,0,71154
195,1,71441
196,1,71924
197,1,72318
198,1,72704
199,1,73179
200,1,73540
201,1,73921
202,1,74288
203,1,74463
204,1,74647
205,1,74819
206,2,74890
207,2,75058
208,2,75231
209,2,75305
210,2,75372
211,2,75456
212,2,75541
213,2,75612
214,2,75575
215,2,75543
216,0,76551
217,0,77561
218,0,78570
219,0,79590
220,0,80706
221,0,81825
222,0,82942
223,0,83113
224,0,83295
225,0,83474
226,0,83641
227,0,83709
228,0,83784
229,0,83846
230,0,83913
231,0,83984
232,0,84065
233,0,84238
234,0,84405
235,1,84671
236,1,84943
237,1,85126
238,1,85295
239,1,85476
240,1,85559
241,1,85633
242,1,85675
243,2,85741
244,2,85810
245,2,85991
246,0,87171
247,0,88360
248,0,89526
249,0,90604
250,0,91683
251,0,92762
252,0,93750
253,0,93728
254,0,93703
255,0,93871
256,0,94034
257,0,94294
258,0,94561
259,0,94843
260,1,95121
261,1,95393
262,2,95558
263,2,95820
264,2,95991
265,2,96152
266,2,96321
267,2,96501
268,3,96774
269,4,97033
270,4,97207
271,4,97382
272,4,97563
273,4,97744
274,4,97917
275,4,97988
276,0,99065
277,0,100240
278,0,101430
279,0,102619
