step,stockout_skus_step,total_on_hand
90,0,2078
91,0,2070
92,0,2058
93,0,2051
94,0,2037
95,0,2022
96,1,2001
97,0,6196
98,0,10388
99,0,14797
100,0,19207
101,0,23607
102,0,28121
103,0,32839
104,0,33473
105,0,34110
106,0,34538
107,0,34970
108,0,35393
109,0,35709
110,0,35917
111,0,35998
112,0,36088
113,0,36279
114,0,36559
115,0,36841
116,0,37110
117,0,37292
118,0,37476
119,0,37656
120,0,37745
121,0,37835
122,0,38015
123,0,38187
124,0,38365
125,1,38552
126,0,39871
127,0,41298
128,0,42694
129,0,43993
130,0,45486
131,0,47087
132,0,48795
133,0,49483
134,0,50076
135,0,50663
136,0,51334
137,0,51819
138,0,52193
139,0,52477
140,0,52656
141,0,52944
142,0,53132
143,0,53203
144,0,53279
145,0,53460
146,0,53638
147,0,53821
148,0,53912
149,0,53987
150,0,54055
151,0,54331
152,0,54609
153,0,54892
154,0,55175
155,0,55459
156,0,56370
157,0,57375
158,0,58283
159,0,59202
160,0,60211
161,0,61306
162,0,62510
163,0,63187
164,0,63874
165,0,64448
166,0,64919
167,0,65284
168,0,65569
169,0,65755
170,0,65837
171,0,65815
172,0,65799
173,0,65775
174,0,65741
175,0,65711
176,0,65694
177,0,65677
178,0,65652
179,0,65627
180,0,65599
181,1,65579
182,1,65546
183,1,65618
184,1,65700
185,1,65760
186,0,66460
187,0,67273
188,0,68091
189,1,68918
190,1,69659
191,1,70399
192,1,71126
193,0,71296
194,0,71376
195,1,71464
196,1,71647
197,1,71841
198,1,72027
199,1,72402
200,1,72763
201,1,73144
202,1,73511
203,1,73786
204,1,74070
205,1,74342
206,2,74413
207,2,74381
208,2,74354
209,2,74328
210,2,74395
211,2,74479
212,2,74564
213,2,74635
214,2,74698
215,2,74766
216,0,76198
217,0,77508
218,0,78817
219,0,80137
220,0,81553
221,0,82972
222,0,84389
223,0,84460
224,0,84542
225,0,84721
226,0,84888
227,0,84956
228,0,85031
229,0,85093
230,0,85160
231,0,85231
232,0,85212
233,0,85185
234,2,85152
235,2,85219
236,2,85291
237,2,85374
238,2,85443
239,2,85524
240,2,85707
241,2,85881
242,2,85924
243,4,85989
244,4,86058
245,4,86139
246,0,87129
247,0,88118
248,0,89184
249,0,90262
250,0,91441
251,0,92620
252,0,93808
253,0,94086
254,0,94261
255,0,94529
256,0,94792
257,0,94952
258,0,95119
259,0,95301
260,1,95479
261,1,95651
262,2,95716
263,2,95878
264,2,96149
265,2,96410
266,2,96679
267,2,96959
268,4,97231
269,4,97391
270,4,97413
271,4,97338
272,4,97381
273,4,97424
274,4,97443
275,4,97456
276,0,98635
277,1,99808
278,2,101026
279,2,102141
280,2,103310
281,2,104464
282,2,105800
283,2,106102
284,1,106524
285,3,106918
286,2,107395
287,2,107914
288,2,108478
289,1,108858
290,1,109083
291,1,109130
292,1,109331
293,1,109444
294,1,109530
295,1,109649
296,1,109656
297,1,109639
298,1,109607
299,1,109578
300,1,109536
301,1,109504
302,1,109464
303,1,109535
304,1,109604
305,1,109675
306,0,110912
307,0,112129
308,0,113357
309,0,114590
310,0,115687
311,0,116767
312,0,117853
313,0,117791
314,0,117712
315,1,117424
316,1,117285
317,1,117193
318,2,117096
319,2,117007
320,2,116929
321,3,116885
322,3,116828
323,3,116794
324,3,116736
325,3,116667
326,3,116620
327,4,116556
328,4,116502
329,5,116455
330,5,116419
331,5,116376
332,5,116329
333,5,116278
334,5,116207
335,5,116163
336,0,117481
337,0,118817
338,0,120352
339,0,121874
340,0,123403
341,0,125023
342,0,126651
343,0,126924
344,0,127195
345,0,127281
346,0,127347
347,0,127400
348,0,127348
349,0,127303
350,0,127273
351,0,127242
352,0,127220
353,0,127208
354,0,127168
355,0,127138
356,0,127078
357,1,127023
358,1,126966
359,1,127024
360,1,127053
361,1,127086
362,2,127116
363,2,127148
364,2,127202
365,2,127255
366,0,127508
367,0,127757
368,0,127973
369,1,128217
370,1,128470
371,1,128730
372,2,128980
373,2,128929
374,2,128946
375,2,128990
376,2,129025
377,3,129162
378,3,129309
379,3,129488
380,3,129659
381,3,129708
382,3,129853
383,3,129988
384,4,130038
385,5,130081
386,5,130137
387,5,130198
388,5,130226
389,5,130259
390,5,130303
391,5,130354
392,5,130408
393,6,130557
394,6,130709
395,6,130861
396,0,131966
397,0,133078
398,0,134168
399,0,135286
400,1,136293
401,0,137406
402,0,138507
403,0,138528
404,1,138566
405,1,138599
406,1,138648
407,1,138707
408,1,138643
409,1,138548
410,1,138467
411,1,138389
412,1,138336
413,1,138262
414,1,138217
415,1,138175
416,1,138110
417,1,138038
418,1,137975
419,1,138025
420,1,138187
421,1,138341
422,1,138501
423,1,138655
424,1,138797
425,1,138953
426,0,139358
427,1,139657
428,1,139979
429,1,140288
430,1,140576
431,1,140854
432,1,141156
433,1,141191
434,1,141242
435,1,141307
436,1,141374
437,1,141406
438,1,141443
439,1,141488
440,1,141444
441,1,141422
442,1,141385
443,1,141349
444,1,141263
445,1,141202
446,1,141255
447,1,141313
448,1,141373
449,1,141441
450,1,141507
451,1,141563
452,1,141636
453,1,141590
454,1,141549
455,1,141502
456,0,141651
457,0,141785
458,0,141896
459,0,141995
460,1,142101
461,1,142198
462,1,142330
463,1,142304
464,1,142263
465,1,142190
466,1,142116
467,1,142060
468,1,141986
469,1,141905
470,1,141853
471,1,141818
472,1,141749
473,1,141669
474,1,141570
475,1,141495
476,1,141416
477,2,141358
478,2,141319
479,2,141235
480,2,141149
481,3,141038
482,3,140962
483,3,140897
484,3,140856
485,3,140815
486,0,141309
487,0,141796
488,0,142280
489,0,142798
490,0,143322
491,0,143850
492,0,144367
493,0,144315
494,0,144273
495,0,144251
496,0,144231
497,0,144204
498,0,144178
499,0,144150
500,0,144128
501,0,144107
502,0,144089
503,0,144067
504,0,144036
505,0,144008
506,0,143974
507,0,143936
508,0,143899
509,0,143866
510,1,143828
511,1,143801
512,1,143768
513,1,143750
514,1,143698
515,1,143660
516,0,143739
517,0,143833
518,0,143924
519,0,144022
520,0,144113
521,0,144189
522,1,144270
523,1,144228
524,1,144182
525,1,144160
526,1,144140
527,1,144109
528,1,144071
529,1,144028
530,1,143982
531,1,143947
532,1,143918
533,1,143902
534,1,143885
535,1,143850
536,1,143819
537,1,143787
538,1,143749
539,1,143727
540,1,143712
541,1,143689
542,1,143669
543,1,143648
544,1,143625
545,1,143595
546,0,143713
547,0,143837
548,0,143957
549,0,144071
550,0,144192
551,0,144312
552,0,144437
553,0,144407
554,0,144385
555,0,144365
556,0,144336
557,0,144292
558,0,144257
559,0,144225
560,0,144197
561,1,144154
562,1,144140
563,1,144106
564,1,144062
565,1,144025
566,1,143990
567,1,143960
568,1,143926
569,1,143884
570,1,143823
571,1,143780
572,1,143750
573,1,143708
574,2,143684
575,2,143650
576,0,143929
577,0,144193
578,0,144474
579,0,144751
580,0,145004
581,0,145277
582,0,145560
583,0,145532
584,0,145513
585,0,145486
586,0,145466
587,0,145456
588,0,145448
589,0,145439
590,0,145431
591,0,145426
592,0,145423
593,0,145422
