step,stockout_skus_step,total_on_hand
90,0,2093
91,0,2085
92,0,2073
93,0,2066
94,0,2052
95,0,2037
96,1,2016
97,0,2738
98,0,3457
99,0,4194
100,0,4932
101,0,5660
102,0,6396
103,0,7175
104,0,7220
105,0,7289
106,0,7348
107,0,7411
108,0,7465
109,0,7518
110,0,7538
111,0,7554
112,0,7558
113,0,7577
114,0,7585
115,0,7609
116,0,7620
117,0,7630
118,0,7642
119,0,7650
120,0,7653
121,0,7671
122,0,7665
123,0,7651
124,1,7658
125,1,7673
126,0,7954
127,0,8257
128,0,8530
129,0,8813
130,0,9090
131,0,9375
132,0,9681
133,0,9711
134,0,9732
135,0,9747
136,0,9746
137,0,9829
138,0,9887
139,0,9941
140,0,9990
141,0,10048
142,0,10120
143,0,10189
144,0,10193
145,0,10202
146,0,10222
147,0,10247
148,0,10294
149,0,10325
150,0,10335
151,0,10353
152,0,10387
153,0,10412
154,0,10437
155,0,10449
156,0,10486
157,0,10531
158,0,10598
159,0,10680
160,0,10752
161,0,10810
162,0,10891
163,0,10938
164,0,10995
165,0,11025
166,0,11038
167,0,11045
168,0,11086
169,0,11114
170,0,11138
171,0,11144
172,0,11156
173,0,11160
174,0,11168
175,0,11166
176,0,11177
177,0,11188
178,0,11191
179,0,11208
180,0,11222
181,1,11229
182,1,11224
183,1,11238
184,1,11248
185,1,11263
186,1,11306
187,0,11389
188,0,11477
189,0,11574
190,0,11685
191,0,11795
192,0,11864
193,0,11883
194,0,11884
195,1,11906
196,1,11952
197,1,11995
198,1,12030
199,1,12068
200,1,12085
201,1,12122
202,1,12145
203,1,12148
204,1,12160
205,1,12160
206,2,12145
207,2,12141
208,2,12142
209,2,12130
210,2,12111
211,2,12109
212,2,12108
213,2,12093
214,2,12056
215,2,12024
216,0,12218
217,0,12414
218,0,12609
219,0,12815
220,0,13031
221,0,13250
222,0,13467
223,0,13466
224,0,13476
225,0,13483
226,0,13478
227,0,13460
228,0,13449
229,0,13425
230,0,13406
231,0,13391
232,0,13386
233,0,13387
234,0,13382
235,1,13390
236,1,13404
237,1,13415
238,1,13412
239,1,13421
240,1,13418
241,1,13406
242,1,13362
243,2,13342
244,2,13325
245,2,13334
246,0,13515
247,0,13705
248,0,13872
249,0,14037
250,0,14203
251,0,14369
252,0,14530
253,0,14508
254,0,14483
255,0,14479
256,0,14470
257,0,14472
258,0,14481
259,0,14505
260,1,14525
261,1,14539
262,2,14532
263,2,14536
264,2,14535
265,2,14524
266,2,14521
267,2,14529
268,3,14544
269,4,14567
270,4,14539
271,5,14514
272,4,14555
273,4,14596
274,5,14613
275,5,14610
276,0,14714
277,1,14826
278,2,14984
279,2,15090
