step,stockout_skus_step,total_on_hand
90,1,627
91,1,619
92,3,607
93,3,601
94,6,590
95,7,577
96,10,562
97,0,7710
98,0,14855
99,0,22003
100,0,29152
101,0,36291
102,0,43438
103,0,50579
104,1,50560
105,1,50544
106,1,50533
107,1,50526
108,1,50510
109,1,50493
110,1,50478
111,1,50459
112,1,50449
113,2,50441
114,2,50421
115,3,50403
116,5,50377
117,5,50361
118,6,50348
119,6,50329
120,7,50319
121,7,50310
122,7,50291
123,7,50263
124,7,50245
125,8,50233
126,0,52537
127,1,54849
128,1,57145
129,1,59451
130,1,61751
131,1,64059
132,1,66374
133,1,66362
134,1,66355
135,1,66342
136,1,66314
137,1,66299
138,1,66273
139,1,66258
140,1,66239
141,1,66227
142,2,66215
143,2,66187
144,2,66164
145,2,66145
146,2,66123
147,2,66107
148,2,66098
149,2,66074
150,3,66043
151,4,66019
152,4,65998
153,4,65981
154,4,65966
155,5,65950
156,0,67042
157,0,68128
158,0,69222
159,0,70331
160,1,71430
161,1,72515
162,1,73609
163,1,73586
164,1,73573
165,1,73547
166,1,73518
167,1,73483
168,1,73468
169,1,73454
170,1,73436
171,1,73414
172,1,73398
173,1,73374
174,1,73340
175,1,73310
176,1,73293
177,1,73276
178,1,73251
179,1,73226
180,2,73203
181,2,73184
182,2,73151
183,3,73123
184,3,73105
185,3,73066
186,0,73751
187,1,74452
188,1,75158
189,2,75870
190,2,76596
191,2,77321
192,2,78033
193,3,77993
194,3,77970
195,3,77949
196,3,77923
197,3,77907
198,3,77883
199,3,77848
200,4,77809
201,5,77791
202,6,77764
203,6,77741
204,6,77727
205,6,77705
206,7,77678
207,7,77648
208,7,77622
209,7,77597
210,7,77566
211,8,77550
212,8,77536
213,9,77508
214,9,77473
215,9,77441
216,0,79849
217,0,82259
218,0,84668
219,0,87088
220,0,89504
221,1,91923
222,1,94340
223,1,94313
224,1,94295
225,1,94274
226,2,94241
227,3,94209
228,3,94184
229,4,94146
230,4,94114
231,5,94089
232,5,94070
233,5,94043
234,5,94017
235,6,93984
236,8,93956
237,8,93939
238,8,93909
239,8,93894
240,8,93880
241,8,93855
242,8,93802
243,9,93771
244,9,93741
245,9,93723
246,1,95003
247,2,96292
248,3,97561
249,3,98841
250,4,100120
251,4,101401
252,4,102690
253,4,102668
254,4,102643
255,4,102611
256,4,102577
257,4,102539
258,4,102507
259,4,102489
260,4,102470
261,4,102442
262,6,102410
263,6,102375
264,6,102350
265,6,102311
266,8,102282
267,8,102264
268,8,102239
269,8,102200
270,8,102175
271,8,102150
272,8,102131
273,8,102112
274,8,102086
275,8,102057
276,0,103734
277,1,105409
278,1,107099
279,1,108788
280,2,110457
281,2,112111
282,2,113747
283,2,113651
284,2,113573
285,2,113456
286,2,113324
287,2,113240
288,2,113198
289,2,113078
290,2,113003
291,3,112850
292,3,112751
293,3,112664
294,3,112550
295,3,112469
296,3,112376
297,3,112259
298,4,112127
299,4,112040
300,5,111916
301,5,111820
302,7,111702
303,8,111615
304,8,111522
305,8,111435
306,3,112375
307,3,113258
308,3,114171
309,4,115102
310,5,116047
311,6,116939
312,6,117855
313,6,117675
314,6,117447
315,9,116610
316,9,116196
317,10,115924
318,11,115653
319,11,115395
320,11,115167
321,11,115041
322,12,114872
323,12,114779
324,12,114614
325,12,114548
326,12,114507
327,12,114446
328,12,114395
329,12,114351
330,13,114317
331,14,114275
332,14,114230
333,14,114180
334,14,114112
335,14,114069
336,0,116656
337,0,119261
338,0,121865
339,0,124456
340,1,127054
341,1,129643
342,1,132241
343,1,132214
344,1,132185
345,1,132171
346,1,132137
347,1,132090
348,1,132038
349,1,131993
350,1,131963
351,1,131933
352,1,131911
353,1,131899
354,1,131861
355,1,131832
356,1,131773
357,1,131719
358,1,131662
359,2,131620
360,2,131550
361,2,131483
362,2,131405
363,2,131331
364,2,131282
365,2,131234
366,0,131687
367,0,132136
368,2,132558
369,3,133003
370,3,133459
371,3,133922
372,3,134376
373,3,134325
374,3,134246
375,3,134191
376,4,134127
377,5,134068
378,5,134015
379,5,133994
380,6,133966
381,7,133917
382,8,133864
383,8,133801
384,8,133757
385,8,133701
386,8,133657
387,8,133618
388,8,133546
389,8,133479
390,8,133426
391,9,133377
392,9,133331
393,10,133281
394,10,133235
395,10,133189
396,0,134386
397,0,135590
398,0,136772
399,0,137982
400,0,139189
401,1,140402
402,1,141603
403,2,141527
404,2,141467
405,2,141400
406,2,141349
407,2,141308
408,2,141244
409,2,141149
410,2,141068
411,2,140990
412,2,140938
413,2,140864
414,2,140819
415,2,140778
416,2,140714
417,2,140642
418,2,140579
419,3,140530
420,3,140492
421,3,140446
422,3,140406
423,3,140361
424,3,140303
425,3,140259
426,0,140656
427,1,141061
428,1,141483
429,1,141892
430,1,142280
431,1,142658
432,1,143060
433,1,142995
434,1,142946
435,1,142911
436,1,142878
437,1,142810
438,1,142747
439,1,142692
440,1,142648
441,1,142626
442,1,142589
443,1,142553
444,1,142467
445,1,142406
446,1,142359
447,1,142317
448,1,142277
449,1,142245
450,1,142211
451,1,142167
452,1,142140
453,1,142094
454,1,142053
455,1,142006
456,0,142155
457,0,142289
458,1,142400
459,1,142501
