step,stockout_skus_step,total_on_hand
90,0,622
91,0,614
92,3,602
93,4,596
94,6,585
95,6,572
96,11,556
97,0,7704
98,0,14849
99,0,21997
100,0,29146
101,0,36285
102,0,43432
103,0,50573
104,1,50554
105,1,50538
106,2,50527
107,2,50520
108,2,50504
109,2,50487
110,2,50472
111,2,50453
112,2,50443
113,2,50436
114,2,50416
115,3,50398
116,5,50372
117,5,50356
118,6,50343
119,6,50324
120,7,50314
121,7,50305
122,7,50286
123,7,50258
124,7,50240
125,8,50228
126,0,52532
127,1,54844
128,1,57140
129,1,59446
130,1,61746
131,1,64054
132,1,66369
133,1,66357
134,1,66350
135,1,66337
136,1,66309
137,2,66294
138,2,66268
139,2,66253
140,2,66234
141,2,66222
142,2,66211
143,2,66183
144,2,66160
145,2,66141
146,2,66119
147,3,66103
148,3,66094
149,3,66070
150,4,66039
151,5,66015
152,5,65994
153,5,65977
154,5,65962
155,6,65946
156,0,67038
157,0,68124
158,0,69218
159,0,70327
160,1,71426
161,1,72511
162,1,73605
163,1,73582
164,1,73569
165,1,73543
166,1,73514
167,1,73479
168,1,73464
169,1,73450
170,1,73432
171,1,73410
172,1,73394
173,1,73370
174,1,73336
175,1,73306
176,1,73289
177,1,73272
178,1,73247
179,1,73222
180,3,73199
181,3,73180
182,3,73147
183,4,73119
184,4,73101
185,4,73062
186,0,73747
187,1,74447
188,1,75153
189,2,75865
190,2,76591
191,2,77316
192,2,78028
193,3,77988
194,3,77965
195,3,77944
196,3,77918
197,3,77902
198,3,77878
199,3,77843
200,4,77804
201,4,77786
202,5,77759
203,5,77736
204,5,77722
205,5,77700
206,6,77673
207,6,77643
208,6,77617
209,7,77592
210,7,77561
211,7,77546
212,7,77532
213,8,77504
214,8,77469
215,8,77437
216,0,79845
217,0,82255
218,0,84664
219,0,87084
220,0,89500
221,1,91919
222,1,94336
223,1,94309
224,1,94291
225,1,94270
226,2,94237
227,3,94205
228,3,94180
229,4,94142
230,4,94110
231,5,94085
232,5,94066
233,5,94039
234,5,94013
235,6,93980
236,8,93952
237,8,93935
238,8,93905
239,8,93890
240,8,93876
241,8,93851
242,8,93798
243,8,93767
244,8,93737
245,8,93719
246,1,94999
247,2,96288
248,3,97557
249,3,98837
250,4,100116
251,4,101397
252,4,102686
253,4,102664
254,4,102639
255,4,102607
256,4,102573
257,4,102535
258,4,102503
259,4,102485
260,4,102466
261,4,102438
262,6,102406
263,6,102371
264,6,102346
265,6,102307
266,8,102278
267,8,102260
268,8,102235
269,8,102196
270,8,102171
271,8,102146
272,8,102127
273,8,102108
274,8,102082
275,8,102053
276,0,103730
277,1,105405
278,1,107095
279,1,108784
280,2,110453
281,2,112107
282,2,113743
283,2,113647
284,2,113569
285,2,113452
286,2,113320
287,2,113236
288,2,113194
289,2,113074
290,2,112999
291,3,112846
292,3,112747
293,3,112660
294,3,112546
295,3,112465
296,3,112372
297,3,112255
298,4,112123
299,5,112036
300,6,111911
301,6,111815
302,8,111698
303,9,111611
304,10,111518
305,10,111431
306,4,112371
307,4,113254
308,4,114167
309,5,115098
310,5,116044
311,6,116936
312,6,117852
313,6,117672
314,6,117444
315,9,116607
316,9,116193
317,11,115920
318,11,115650
319,11,115392
320,11,115164
321,12,115038
322,12,114870
323,12,114777
324,12,114612
325,12,114546
326,12,114505
327,12,114444
328,12,114393
329,12,114349
330,13,114315
331,14,114273
332,14,114228
333,14,114178
334,14,114110
335,14,114067
336,0,116654
337,0,119259
338,0,121863
339,0,124454
340,1,127052
341,1,129641
342,1,132239
343,1,132212
344,1,132183
345,1,132169
346,1,132135
347,1,132088
348,1,132036
349,1,131991
350,1,131961
351,1,131931
352,1,131909
353,1,131897
354,1,131859
355,1,131830
356,1,131771
357,1,131717
358,1,131660
359,2,131618
360,2,131548
361,2,131481
362,2,131403
363,2,131329
364,2,131280
365,2,131232
366,0,131685
367,0,132134
368,2,132556
369,3,133001
370,3,133457
371,3,133920
372,3,134374
373,3,134323
374,3,134244
375,3,134189
376,4,134125
377,5,134066
378,5,134013
379,5,133992
380,6,133964
381,7,133915
382,8,133862
383,8,133799
384,8,133755
385,8,133699
386,8,133655
387,8,133616
388,8,133544
389,8,133477
390,8,133424
391,9,133375
392,9,133329
393,10,133279
394,10,133233
395,10,133187
396,0,134384
397,0,135588
398,0,136770
399,0,137980
400,0,139187
401,1,140400
402,1,141601
403,2,141525
404,2,141465
405,2,141398
406,2,141347
407,2,141306
408,2,141242
409,2,141147
410,2,141066
411,2,140988
412,2,140936
413,2,140862
414,2,140817
415,2,140776
416,2,140712
417,2,140640
418,2,140577
419,3,140528
420,3,140490
421,3,140444
422,3,140404
423,3,140359
424,3,140301
425,3,140257
426,0,140654
427,1,141059
428,1,141481
429,1,141890
430,1,142278
431,1,142656
432,1,143058
433,1,142993
434,1,142944
435,1,142909
436,1,142876
437,1,142808
438,1,142745
439,1,142690
440,1,142646
441,1,142624
442,1,142587
443,1,142551
444,1,142465
445,1,142404
446,1,142357
447,1,142315
448,1,142275
449,1,142243
450,1,142209
451,1,142165
452,1,142138
453,1,142092
454,1,142051
455,1,142004
456,0,142153
457,0,142287
458,1,142398
459,1,142499
460,1,142611
461,1,142708
462,1,142840
463,1,142814
464,1,142773
465,1,142700
466,1,142626
