step,stockout_skus_step,total_on_hand
90,0,5084
91,0,5060
92,0,5036
93,0,5028
94,0,5015
95,0,4998
96,1,4985
97,0,5762
98,0,6575
99,0,7420
100,0,8261
101,0,9125
102,0,10025
103,0,10944
104,0,11033
105,0,11096
106,0,11178
107,0,11266
108,0,11353
109,0,11413
110,0,11487
111,0,11552
112,0,11611
113,0,11655
114,0,11704
115,0,11764
116,0,11838
117,0,11915
118,0,11999
119,0,12078
120,0,12156
121,0,12236
122,0,12323
123,0,12414
124,0,12534
125,0,12641
126,0,12736
127,0,12908
128,0,13086
129,0,13252
130,0,13426
131,0,13596
132,0,13734
133,0,13902
134,0,13953
135,0,14036
136,0,14124
137,0,14224
138,0,14311
139,0,14408
140,0,14464
141,0,14541
142,0,14576
143,0,14596
144,0,14593
145,0,14601
146,0,14596
147,0,14594
148,0,14595
149,0,14616
150,0,14642
151,0,14692
152,0,14748
153,0,14802
154,0,14835
155,0,14881
156,0,14930
157,0,15007
158,0,15078
159,0,15157
160,0,15211
161,0,15243
162,0,15283
163,0,15340
164,0,15385
165,0,15415
166,0,15457
167,0,15498
168,1,15560
169,1,15589
170,1,15620
171,1,15619
172,1,15637
173,0,15665
174,0,15694
175,0,15706
176,0,15753
177,0,15796
178,0,15832
179,0,15865
180,0,15926
181,0,15980
182,0,16032
183,0,16057
184,0,16109
185,1,16165
186,1,16202
187,1,16231
188,1,16277
189,0,16331
190,0,16364
191,0,16392
192,0,16427
193,0,16485
194,0,16551
195,0,16642
196,0,16674
197,0,16719
198,0,16792
199,0,16895
200,0,17001
201,0,17129
202,1,17202
203,1,17277
204,0,17342
205,0,17435
206,0,17519
207,0,17642
208,0,17776
209,0,17914
210,0,18030
211,0,18112
212,0,18187
213,0,18243
214,0,18280
215,0,18329
216,0,18375
217,0,18412
218,0,18422
219,0,18442
220,0,18470
221,0,18474
222,0,18486
223,0,18502
224,0,18523
225,0,18548
226,0,18567
227,0,18595
228,0,18626
229,0,18669
230,0,18696
231,0,18746
232,0,18791
233,0,18831
234,0,18865
235,1,18896
236,1,18925
237,1,18966
238,1,18966
239,1,18993
240,1,19029
241,1,19072
242,0,19199
243,0,19355
244,0,19473
245,0,19595
246,0,19674
247,0,19770
248,0,19870
249,1,19914
250,0,19931
251,0,19964
252,0,19980
253,0,20016
254,0,20053
255,0,20105
256,0,20218
257,0,20369
258,1,20504
259,1,20641
260,1,20793
261,1,21016
262,1,21259
263,1,21457
264,1,21603
265,0,21798
266,0,21950
267,0,22058
268,0,22114
269,0,22172
270,0,22226
271,0,22298
272,1,22343
273,0,22409
274,0,22488
275,0,22582
276,0,22662
277,0,22756
278,0,22854
279,0,22882
280,0,22849
281,0,22834
282,0,22849
283,0,22868
284,0,22898
285,0,22920
286,0,22946
287,0,22973
288,0,23027
289,0,23062
290,0,23099
291,0,23162
292,0,23244
293,0,23302
294,0,23384
295,0,23388
296,0,23405
297,0,23443
298,0,23443
299,0,23446
300,0,23483
301,0,23510
302,0,23571
303,0,23624
304,0,23672
305,0,23735
306,0,23800
307,0,23836
308,0,23868
309,0,23911
310,0,23952
311,0,23969
312,0,24004
313,0,24079
314,0,24152
315,0,24219
316,0,24266
317,0,24316
318,0,24374
319,0,24112
320,1,24064
321,2,24078
322,2,24059
323,2,24059
324,2,24072
325,0,24119
326,0,24373
327,0,24754
328,0,25141
329,0,25515
330,0,25928
331,0,26334
332,1,26724
333,1,26905
334,2,27014
335,1,27126
336,1,27258
337,0,27326
338,0,27396
339,0,27487
340,0,27608
341,0,27776
342,0,27916
343,0,27971
344,0,28039
345,0,28109
346,0,28166
347,1,28239
348,1,28326
349,1,28453
350,1,28633
351,0,28874
352,0,29098
353,0,29322
354,0,29511
355,0,29680
356,0,29844
357,0,29939
358,0,29916
359,0,29864
360,0,29824
361,0,29792
362,0,29771
363,0,29762
364,0,29719
365,1,29709
366,1,29694
367,3,29645
368,3,29629
369,2,29618
370,2,29609
371,2,29608
372,0,29594
373,1,29624
374,1,29668
375,1,29764
376,2,29859
377,2,29936
378,1,30005
379,0,30122
380,0,30314
381,1,30482
382,0,30615
383,0,30776
384,0,30979
385,0,31220
386,0,31423
387,0,31666
388,0,31940
389,0,32219
390,0,32495
391,0,32758
392,0,32825
393,0,32855
394,0,32852
395,0,32891
396,0,32972
397,1,33063
398,1,33156
399,1,33265
400,0,33340
401,1,33437
402,0,33480
403,0,33532
404,1,33576
405,0,33654
406,0,33688
407,0,33693
408,1,33701
409,1,33667
410,1,33653
411,1,33678
412,1,33724
413,0,33757
414,0,33821
415,0,33889
416,0,34008
417,0,34098
418,0,34205
419,0,34235
420,0,34215
421,0,34199
422,0,34186
423,0,34189
424,0,34227
425,0,34264
426,0,34295
427,0,34317
428,0,34306
429,0,34328
430,0,34299
431,1,34268
432,1,34279
433,1,34278
434,1,34293
435,0,34308
436,0,34362
437,0,34424
438,0,34508
439,0,34583
440,0,34642
441,0,34607
442,0,34590
443,0,34560
444,0,34521
445,0,34502
446,0,34462
447,0,34411
448,0,34345
449,0,34333
450,0,34358
451,0,34397
452,0,34451
453,0,34502
454,0,34559
455,0,34563
456,0,34558
457,0,34507
458,0,34465
459,0,34434
460,0,34436
461,0,34412
462,0,34343
463,0,34262
464,1,34198
465,1,34098
466,1,34046
467,1,34013
468,1,33955
469,0,33903
470,0,33905
471,0,33940
472,0,33982
473,0,34037
474,0,34114
475,0,34218
476,0,34253
477,0,34226
478,2,34179
479,2,34175
480,1,34241
481,3,34345
482,2,34492
483,1,34618
484,1,34750
485,1,34898
486,1,35065
487,1,35119
488,1,35231
489,1,35302
490,2,35322
491,2,35331
492,1,35492
493,1,35676
494,0,35878
495,0,36036
496,0,36103
497,0,36142
498,0,36189
499,0,36253
500,0,36299
501,0,36318
502,0,36338
503,0,36354
504,0,36372
505,0,36396
506,0,36398
507,0,36387
508,0,36362
509,0,36332
510,0,36280
511,0,36226
512,0,36175
513,0,36132
514,0,36082
515,0,36060
516,0,36035
517,0,36024
518,0,35979
519,0,35941
520,0,35904
521,0,35896
522,0,35889
523,0,35860
524,0,35829
525,0,35770
526,1,35715
527,1,35683
528,1,35630
529,1,35615
530,1,35601
531,0,35607
532,0,35612
533,0,35599
534,0,35570
535,0,35544
536,0,35522
537,0,35523
538,0,35504
539,0,35467
540,0,35424
541,0,35423
542,0,35412
543,0,35425
544,0,35450
545,0,35459
546,0,35461
547,0,35474
548,0,35444
549,0,35421
550,0,35383
551,0,35350
552,0,35319
553,0,35276
554,0,35226
555,0,35166
556,0,35120
557,0,35070
558,0,35036
559,0,35013
560,0,34986
561,0,34957
562,0,34910
563,0,34894
564,0,34883
565,1,34864
566,0,34871
567,0,34861
568,0,34855
569,0,34863
570,0,34903
571,0,34959
572,0,35037
573,0,35081
574,0,35045
575,0,35006
576,0,34987
577,1,34955
578,1,34939
579,1,34877
580,1,34853
581,1,34814
582,1,34904
583,0,35049
584,0,35175
585,0,35333
586,0,35527
587,0,35688
588,0,35867
589,0,35897
590,0,35891
591,0,35894
592,0,35908
593,0,35914
594,0,35940
595,0,35951
596,0,35967
597,0,36006
