step,stockout_skus_step,total_on_hand
90,0,606
91,0,602
92,0,597
93,0,592
94,0,584
95,0,579
96,0,576
97,0,1535
98,0,2496
99,0,3453
100,0,4411
101,0,5576
102,0,6866
103,0,8267
104,0,8701
105,0,9137
106,0,9569
107,0,9999
108,0,10225
109,0,10326
110,0,10321
111,0,10321
112,0,10315
113,0,10303
114,0,10298
115,0,10290
116,0,10286
117,0,10276
118,0,10269
119,0,10262
120,0,10253
121,0,10241
122,0,10232
123,0,10228
124,1,10220
125,1,10216
126,0,10313
127,0,10415
128,0,10518
129,0,10619
130,0,10726
131,0,10834
132,0,10940
133,0,10933
134,0,11037
135,0,11149
136,0,11253
137,0,11362
138,0,11468
139,0,11578
140,0,11690
141,0,11678
142,0,11670
143,0,11761
144,0,11851
145,0,11942
146,0,12040
147,0,12231
148,0,12418
149,0,12712
150,0,12901
151,0,13093
152,0,13286
153,0,13479
154,0,13570
155,0,13652
156,0,14069
157,0,14494
158,0,14912
159,0,15324
160,0,15738
161,0,16159
162,0,16580
163,0,16565
164,0,16545
165,0,16629
166,0,16721
167,0,16813
168,0,16906
169,0,16997
170,0,17092
171,0,17186
172,0,17171
173,0,17160
174,0,17153
175,0,17145
176,0,17133
177,0,17123
178,0,17111
179,0,17100
180,0,17077
181,0,17065
182,0,17059
183,0,17038
184,0,16999
185,0,16971
186,0,17181
187,0,17400
188,0,17632
189,0,17859
190,0,18083
191,0,18512
192,0,18947
193,0,19147
194,0,19444
195,0,19746
196,0,20044
197,0,20334
198,0,20410
199,0,20498
200,0,20679
201,0,20765
202,0,20857
203,1,20938
204,1,21020
205,1,21102
206,1,21186
207,1,21270
208,1,21347
209,1,21443
210,1,21534
211,1,21618
212,1,21696
213,1,21773
214,1,21758
215,1,21743
216,0,22359
217,0,22982
218,0,23603
219,0,24230
220,0,24856
221,0,25474
222,0,26098
223,0,26088
224,0,26076
225,0,26053
226,0,26042
227,0,26016
228,0,26001
229,0,25987
230,0,25976
231,0,25960
232,0,25941
233,0,25926
234,0,25910
235,0,25901
236,0,25888
237,0,25879
238,0,25871
239,0,25861
240,1,25836
241,1,25820
242,1,25802
243,1,25794
244,1,25773
245,1,25763
246,0,25956
247,0,26155
248,0,26355
249,0,26552
250,0,26748
251,0,26953
252,0,27155
253,0,27136
254,0,27115
255,0,27098
256,0,27087
257,0,27079
258,0,27070
259,0,27059
260,0,27038
261,0,27018
262,0,26999
263,0,26980
264,0,26963
265,1,26951
266,1,26935
267,1,27010
268,1,27097
269,1,27180
270,1,27267
271,1,27359
272,1,27445
273,1,27528
274,1,27501
275,1,27486
276,0,27689
277,0,27889
278,0,28098
279,0,28303
280,0,28508
281,0,28715
282,0,28920
283,0,28905
284,0,28880
285,0,28867
286,0,28861
287,0,28840
288,0,28829
289,0,28803
290,0,28785
291,0,28767
292,0,28749
293,0,28733
294,0,28716
295,0,28697
296,0,28673
297,0,28658
298,0,28634
299,0,28616
300,0,28598
301,0,28584
302,0,28566
303,0,28552
304,0,28528
305,0,28496
306,0,28475
307,0,28454
308,0,28529
309,0,28601
310,0,28676
311,0,28744
312,0,28787
313,0,28709
314,0,28726
315,0,28663
316,0,28609
317,2,28557
318,2,28505
319,2,28481
320,2,28449
321,2,28431
322,2,28406
323,2,28371
324,2,28347
325,2,28317
326,2,28292
327,2,28274
328,2,28260
329,2,28240
330,2,28215
331,2,28294
332,2,28352
333,2,28434
334,2,28513
335,2,28605
336,0,29042
337,0,29477
338,0,29813
339,0,30140
340,0,30479
341,0,30816
342,0,31153
343,0,31147
344,0,31130
345,0,31103
346,0,31074
347,0,31047
348,0,31028
349,0,31010
350,0,31002
351,0,30997
352,0,30979
353,0,30968
354,0,30939
355,0,30910
356,0,30887
357,0,30870
358,0,30835
359,0,30808
360,1,30773
361,1,30734
362,1,30708
363,1,30688
364,0,30761
365,0,30833
366,0,30927
367,0,31033
368,0,31138
369,0,31252
370,1,31348
371,1,31319
372,1,31277
373,1,31249
374,1,31215
375,1,31187
376,1,31164
377,1,31155
378,1,31138
379,1,31114
380,1,31179
381,1,31238
382,1,31313
383,1,31380
384,1,31462
385,1,31546
386,1,31612
387,1,31575
388,1,31549
389,1,31522
390,1,31494
391,1,31464
392,1,31443
393,1,31418
394,1,31373
395,1,31335
396,0,31637
397,0,31962
398,0,32282
399,0,32608
400,0,32928
401,0,33245
402,1,33558
403,1,33521
404,1,33503
405,1,33485
406,1,33457
407,1,33396
408,1,33347
409,1,33308
410,1,33278
411,1,33240
412,1,33211
413,1,33189
414,1,33157
415,1,33126
416,1,33094
417,1,33062
418,1,33034
419,1,33014
420,1,32989
421,1,32968
422,1,32942
423,1,32925
424,1,32894
425,1,32868
426,0,33003
427,0,33127
428,0,33240
429,0,33351
430,0,33469
431,0,33591
432,0,33730
433,0,33708
434,0,33696
435,0,33661
436,0,33636
437,0,33609
438,0,33588
439,0,33578
440,0,33568
441,0,33545
442,0,33502
443,0,33474
444,0,33448
445,0,33429
446,0,33414
447,0,33398
448,0,33383
449,0,33365
450,0,33354
451,0,33334
452,0,33316
453,0,33303
454,0,33294
455,0,33279
456,0,33251
457,0,33206
458,0,33171
459,0,33132
460,0,33112
461,0,33101
462,0,33081
463,0,33042
464,0,32998
465,0,32965
466,0,32926
467,0,32887
468,0,32862
469,0,32842
470,0,32799
471,0,32751
472,0,32687
473,0,32645
474,0,32594
475,0,32556
476,0,32530
477,0,32478
478,0,32417
479,0,32352
480,0,32298
481,0,32267
482,0,32251
483,0,32234
484,0,32193
485,0,32159
486,0,32125
487,0,32097
488,0,32077
489,0,32052
490,0,32038
491,0,32010
492,0,31994
493,0,31979
494,0,31963
495,0,31952
496,0,31935
497,0,31922
498,0,31913
499,0,31905
500,0,31901
501,0,31889
502,0,31878
503,0,31866
504,0,31850
505,0,31827
506,0,31805
507,0,31786
508,0,31768
509,0,31757
510,0,31742
511,0,31733
512,0,31709
513,0,31687
514,0,31666
515,0,31652
516,0,31644
517,0,31636
518,0,31626
519,0,31609
520,0,31590
521,0,31565
522,0,31542
523,0,31532
524,0,31522
525,0,31510
526,0,31493
527,0,31475
528,0,31449
529,0,31433
530,0,31420
531,0,31413
532,0,31407
533,0,31388
534,0,31372
535,0,31358
536,0,31336
537,0,31329
538,0,31324
539,0,31307
540,0,31295
541,0,31284
542,0,31275
543,0,31261
544,0,31236
545,0,31218
546,0,31197
547,0,31177
548,0,31157
549,0,31143
550,0,31132
551,0,31116
552,0,31105
553,0,31100
554,0,31087
555,0,31072
556,0,31057
557,0,31035
558,0,31025
559,0,31004
560,0,30998
561,0,30987
562,0,30963
563,0,30950
564,0,30939
565,0,30926
566,0,30910
567,0,30891
568,0,30864
569,0,30840
570,0,30829
571,0,30808
572,0,30797
573,0,30786
574,0,30778
575,0,30753
576,0,30736
577,0,30724
578,0,30701
579,0,30682
580,0,30674
581,0,30666
582,0,30660
583,0,30645
584,0,30633
585,0,30632
586,0,30628
587,0,30624
588,0,30622
589,0,30621
590,0,30620
