step,stockout_skus_step,total_on_hand
90,0,1103
91,0,1098
92,0,1091
93,0,1086
94,0,1077
95,0,1069
96,1,1055
97,0,2876
98,0,4697
99,0,6518
100,0,8339
101,0,10260
102,0,12288
103,0,14433
104,0,14867
105,0,15313
106,0,15757
107,0,16203
108,0,16540
109,0,16766
110,0,16880
111,0,16866
112,0,16858
113,0,16857
114,0,16844
115,0,16831
116,0,16814
117,0,16804
118,0,16800
119,0,16786
120,0,16776
121,0,16868
122,0,17058
123,0,17241
124,1,17425
125,1,17620
126,2,17807
127,2,18001
128,2,18086
129,2,18181
130,2,18281
131,2,18376
132,2,18580
133,2,18782
134,2,18986
135,2,19185
136,2,19273
137,2,19371
138,2,19455
139,2,19447
140,2,19436
141,2,19429
142,2,19423
143,2,19408
144,2,19395
145,2,19384
146,2,19370
147,3,19358
148,3,19454
149,3,19546
150,3,19635
151,3,19728
152,3,19816
153,3,19905
154,3,19994
155,3,19984
156,3,19973
157,3,20058
158,4,20149
159,4,20245
160,4,20337
161,5,20424
162,5,20514
163,5,20707
164,5,20903
165,5,21093
166,6,21280
167,6,21466
168,6,21755
169,6,22043
170,6,22236
171,7,22323
172,7,22417
173,8,22507
174,8,22592
175,8,22577
176,8,22570
177,8,22561
178,8,22546
179,8,22541
180,8,22526
181,9,22516
182,9,22497
183,9,22486
184,9,22481
185,10,22464
186,10,22427
187,10,22398
188,10,22373
189,10,22354
190,11,22349
191,12,22339
192,12,22327
193,13,22307
194,14,22296
195,14,22286
196,14,22274
197,14,22265
198,14,22254
199,15,22237
200,15,22316
201,15,22405
202,15,22488
203,15,22571
204,15,22664
205,16,22743
206,16,22828
207,16,22814
208,16,22805
209,16,22789
210,18,22773
211,18,22766
212,18,22754
213,18,22740
214,18,22725
215,19,22714
216,19,22704
217,19,22691
218,19,22677
219,19,22674
220,19,22665
221,19,22660
222,19,22651
223,19,22636
224,19,22628
225,19,22624
226,19,22611
227,19,22601
228,19,22597
229,19,22578
230,20,22564
231,20,22549
232,20,22544
233,20,22540
234,20,22526
235,21,22516
236,22,22502
237,22,22500
238,22,22486
239,22,22479
240,22,22471
241,22,22464
242,22,22443
243,22,22433
244,22,22422
245,22,22414
246,22,22399
247,22,22391
248,23,22365
249,23,22349
250,23,22339
251,24,22328
252,25,22312
253,26,22305
254,26,22294
255,26,22285
256,26,22270
257,26,22252
258,26,22241
259,26,22240
260,27,22230
261,27,22220
262,28,22209
263,28,22192
264,28,22182
265,28,22169
266,28,22160
267,28,22149
268,28,22135
269,30,22119
270,31,22108
271,31,22094
272,31,22086
273,32,22079
274,32,22072
275,32,22060
276,34,22046
277,34,22032
278,34,22021
279,34,22006
280,34,21997
281,34,21991
282,34,21981
283,35,21970
284,35,21961
285,35,21953
286,35,21939
287,35,21931
288,36,21926
289,36,21917
290,36,21912
291,36,21892
292,36,21880
293,36,21872
294,36,21859
295,36,21853
296,36,21845
297,36,21837
298,36,21822
299,36,21813
300,36,21799
301,37,21789
302,38,21777
303,38,21772
304,38,21765
305,38,21761
306,38,21748
307,38,21724
308,38,21715
309,38,21699
310,38,21690
311,38,21671
312,38,21654
313,38,21630
314,38,21605
315,40,21511
316,40,21473
317,40,21443
318,40,21411
319,42,21386
320,43,21367
321,43,21357
322,43,21350
323,44,21343
324,44,21329
325,44,21307
326,44,21292
327,45,21270
328,45,21254
329,45,21235
330,45,21226
331,45,21210
332,45,21198
333,45,21189
334,47,21168
335,48,21161
336,49,21151
337,49,21147
338,49,21139
339,49,21129
340,50,21122
341,51,21113
342,51,21102
343,51,21098
344,51,21087
345,51,21084
346,52,21076
347,52,21068
348,52,21051
349,52,21042
350,52,21034
351,52,21027
352,52,21024
353,52,21021
354,52,21011
355,52,21002
356,52,20990
357,52,20980
358,52,20965
359,52,20957
360,52,20930
361,53,20915
362,54,20903
363,54,20896
364,54,20887
365,54,20880
366,54,20876
367,54,20864
368,55,20839
369,56,20827
370,57,20815
371,57,20801
372,57,20781
373,57,20767
374,58,20744
375,58,20725
376,59,20714
377,59,20699
378,59,20690
379,59,20684
380,59,20675
381,59,20660
382,59,20643
383,59,20633
384,60,20619
385,61,20610
386,61,20604
387,62,20597
388,62,20580
389,62,20570
390,62,20558
391,62,20544
392,62,20530
393,62,20520
394,62,20508
395,62,20497
396,63,20483
397,63,20471
398,63,20456
399,63,20450
400,63,20442
401,63,20431
402,63,20421
403,64,20410
404,65,20399
405,66,20383
406,66,20375
407,66,20369
408,66,20359
409,66,20334
410,66,20323
411,66,20316
412,66,20306
413,66,20295
414,66,20284
415,66,20277
416,66,20264
417,66,20243
418,66,20239
419,66,20228
420,66,20219
421,66,20207
422,66,20201
423,66,20193
424,66,20180
425,66,20169
426,66,20157
427,66,20146
428,66,20143
429,66,20131
430,66,20117
431,66,20102
432,66,20091
433,66,20087
434,66,20078
435,66,20072
436,66,20070
437,66,20055
438,68,20042
439,68,20036
440,68,20028
441,68,20025
442,68,20021
443,68,20009
444,68,19995
445,68,19985
446,68,19976
447,68,19967
448,69,19960
449,70,19956
450,70,19951
451,70,19948
452,70,19943
453,70,19936
454,70,19927
455,70,19925
456,70,19922
457,70,19920
458,70,19912
459,70,19902
460,70,19888
461,70,19873
462,70,19871
463,70,19869
464,70,19867
465,70,19852
466,70,19835
467,70,19832
468,70,19825
469,70,19819
470,70,19812
471,70,19807
472,70,19795
473,70,19792
474,70,19784
475,70,19777
476,70,19766
477,70,19765
478,70,19762
479,70,19747
480,70,19742
481,70,19725
482,70,19717
483,70,19704
484,70,19699
485,70,19691
486,70,19678
487,70,19666
488,70,19657
489,70,19647
490,70,19644
491,70,19640
492,70,19638
493,70,19632
494,70,19627
495,70,19625
496,70,19622
497,70,19620
498,70,19610
499,70,19606
500,70,19604
501,70,19598
502,70,19597
503,70,19587
504,70,19578
505,70,19574
506,70,19572
507,70,19564
508,70,19557
509,70,19550
510,70,19542
511,70,19536
512,70,19529
513,70,19523
514,70,19516
515,70,19502
516,70,19485
517,70,19481
518,70,19477
519,70,19473
520,70,19468
521,70,19462
522,70,19453
523,70,19444
524,70,19426
525,70,19418
526,70,19416
527,70,19410
528,70,19405
529,70,19394
530,70,19381
531,70,19378
532,70,19369
533,70,19365
534,70,19363
535,70,19355
536,70,19350
537,70,19342
538,70,19334
539,70,19329
540,70,19326
541,70,19322
542,70,19320
543,70,19320
544,70,19319
545,70,19319
546,70,19310
547,70,19307
548,70,19304
549,70,19299
550,70,19289
551,70,19285
552,70,19279
553,70,19267
554,70,19261
555,70,19255
556,70,19251
557,70,19240
558,70,19229
559,70,19214
560,70,19210
561,71,19205
562,71,19201
563,71,19197
564,71,19189
565,71,19186
566,71,19183
567,71,19177
568,71,19167
569,71,19157
570,71,19149
571,71,19146
572,71,19142
573,71,19136
574,71,19134
575,71,19132
576,71,19126
577,71,19115
578,71,19108
579,71,19101
580,71,19092
581,71,19088
582,71,19086
583,71,19084
584,71,19080
585,71,19074
586,71,19067
587,71,19066
588,71,19064
589,71,19062
590,71,19062
591,71,19061
592,71,19061
593,71,19061
