step,stockout_skus_step,total_on_hand
90,0,2091
91,0,2083
92,0,2071
93,0,2064
94,0,2050
95,0,2035
96,1,2015
97,0,5884
98,0,9750
99,0,13619
100,0,17489
101,0,21453
102,0,25849
103,0,30239
104,0,30863
105,0,31613
106,0,32368
107,0,33127
108,0,33878
109,0,34204
110,0,34632
111,0,34941
112,0,35136
113,0,35332
114,0,35517
115,0,35599
116,0,35668
117,0,35650
118,0,35734
119,0,35814
120,0,35903
121,0,36093
122,0,36373
123,0,36645
124,1,36923
125,2,37110
126,2,37291
127,2,37479
128,2,37552
129,2,37643
130,2,37828
131,2,38320
132,2,38820
133,2,39316
134,2,39817
135,3,40312
136,3,40683
137,3,40971
138,3,40946
139,3,40931
140,3,40912
141,3,40900
142,3,40889
143,3,40862
144,3,40840
145,3,41021
146,3,41200
147,3,41483
148,3,41774
149,3,42053
150,3,42331
151,4,42610
152,4,42690
153,4,42774
154,5,42857
155,5,42942
156,6,43022
157,7,43199
158,8,43386
159,8,43581
160,8,43770
161,9,43850
162,9,43935
163,10,44018
164,10,44109
165,10,44194
166,11,44278
167,11,44350
168,12,44436
169,13,44522
170,13,44609
171,15,44592
172,15,44580
173,15,44667
174,15,44739
175,15,44817
176,15,44906
177,15,45093
178,15,45273
179,15,45462
180,17,45541
181,17,45630
182,17,45705
183,17,45882
184,17,45967
185,18,46040
186,18,46095
187,18,46162
188,18,46234
189,19,46310
190,19,46299
191,19,46487
192,19,46666
193,21,46834
194,21,47012
195,22,47193
196,22,47376
197,22,47560
198,23,47544
199,23,47519
200,24,47488
201,24,47471
202,24,47447
203,24,47424
204,25,47411
205,25,47387
206,27,47366
207,27,47344
208,27,47331
209,28,47312
210,30,47295
211,30,47283
212,30,47269
213,30,47252
214,30,47230
215,31,47212
216,32,47194
217,32,47177
218,32,47158
219,32,47149
220,32,47133
221,32,47119
222,32,47107
223,32,47090
224,32,47079
225,32,47073
226,32,47055
227,33,47042
228,34,47030
229,34,47008
230,34,46987
231,35,46965
232,35,46954
233,35,46947
234,36,46925
235,36,46909
236,36,46894
237,36,46887
238,37,46863
239,37,46849
240,37,46837
241,37,46821
242,38,46785
243,38,46768
244,39,46852
245,39,46939
246,39,47019
247,39,47107
248,39,47170
249,40,47244
250,40,47326
251,40,47312
252,40,47293
253,40,47284
254,42,47267
255,42,47252
256,42,47233
257,43,47208
258,43,47195
259,43,47188
260,44,47173
261,46,47154
262,46,47137
263,48,47112
264,48,47097
265,48,47080
266,48,47066
267,48,47054
268,50,47037
269,51,47016
270,52,46999
271,53,46983
272,53,46973
273,53,46960
274,53,46948
275,53,46934
276,53,46914
277,54,46889
278,54,46972
279,54,47052
280,54,47134
281,54,47219
282,54,47298
283,56,47377
284,56,47458
285,57,47438
286,58,47512
287,59,47599
288,61,47691
289,61,47773
290,61,47864
291,61,47924
292,61,48001
293,62,47988
294,63,47963
295,63,47954
296,63,47936
297,63,47923
298,63,47894
299,65,47877
300,65,47848
301,66,47826
302,66,47805
303,66,47793
304,66,47779
305,67,47767
306,67,47744
307,67,47707
308,67,47691
309,68,47660
310,68,47648
311,68,47626
312,68,47605
313,69,47576
314,70,47548
315,73,47432
316,73,47390
317,74,47354
318,76,47310
319,77,47278
320,79,47250
321,80,47236
322,80,47223
323,81,47211
324,81,47185
325,81,47155
326,81,47133
327,82,47102
328,82,47069
329,84,47042
330,84,47029
331,85,47003
332,85,46987
333,85,46970
334,85,46938
335,86,46929
336,86,46914
337,86,46906
338,86,46996
339,86,47083
340,86,47172
341,88,47255
342,88,47340
343,89,47432
344,89,47518
345,90,47514
346,90,47504
347,91,47491
348,91,47473
349,91,47460
350,91,47450
351,91,47442
352,91,47437
353,91,47434
354,91,47417
355,91,47399
356,92,47383
357,93,47369
358,94,47347
359,95,47335
360,95,47303
361,97,47286
362,97,47270
363,97,47255
364,98,47242
365,99,47231
366,99,47224
367,99,47208
368,99,47180
369,99,47162
370,101,47142
371,102,47122
372,105,47100
373,105,47084
374,105,47056
375,105,47033
376,105,47020
377,107,46996
378,107,46981
379,107,46974
380,107,46963
381,107,46941
382,107,46920
383,108,46906
384,109,46893
385,109,46881
386,109,46867
387,110,46854
388,110,46831
389,111,46817
390,111,46801
391,111,46783
392,111,46765
393,112,46747
394,114,46729
395,114,46716
396,114,46699
397,114,46686
398,116,46664
399,116,46655
400,116,46646
401,116,46631
402,116,46617
403,116,46600
404,117,46588
405,119,46568
406,119,46556
407,119,46547
408,119,46532
409,119,46503
410,119,46491
411,119,46477
412,119,46465
413,120,46447
414,120,46434
415,120,46420
416,120,46399
417,120,46373
418,120,46365
419,120,46351
420,120,46340
421,121,46322
422,121,46312
423,121,46301
424,121,46284
425,121,46271
426,121,46253
427,122,46229
428,122,46223
429,122,46209
430,122,46191
431,122,46176
432,122,46162
433,122,46154
434,122,46139
435,122,46133
436,122,46130
437,123,46113
438,123,46099
439,123,46090
440,124,46080
441,124,46073
442,124,46066
443,124,46053
444,124,46027
445,124,46007
446,124,45997
447,124,45985
448,125,45977
449,125,45971
450,125,45965
451,126,45959
452,127,45953
453,127,45945
454,127,45934
455,127,45926
456,127,45920
457,127,45913
458,127,45898
459,127,45885
460,128,45865
461,128,45847
462,128,45843
463,128,45838
464,128,45831
465,128,45815
466,128,45793
467,128,45787
468,128,45775
469,128,45754
470,129,45745
471,129,45739
472,129,45726
473,129,45719
474,129,45703
475,129,45689
476,129,45675
477,130,45670
478,130,45667
479,130,45648
480,131,45640
481,131,45614
482,131,45604
483,131,45585
484,131,45577
485,131,45565
486,131,45549
487,131,45532
488,131,45519
489,131,45508
490,132,45501
491,132,45496
492,132,45486
493,132,45477
494,132,45467
495,132,45464
496,132,45461
497,132,45458
498,132,45447
499,132,45438
500,132,45432
501,132,45426
502,132,45422
503,132,45409
504,132,45395
505,132,45390
506,132,45384
507,132,45374
508,132,45362
509,133,45352
510,133,45340
511,133,45334
512,133,45324
513,133,45318
514,133,45310
515,133,45295
516,133,45278
517,133,45272
518,133,45265
519,133,45260
520,133,45253
521,133,45240
522,134,45228
523,134,45218
524,134,45195
525,134,45186
526,134,45184
527,134,45174
528,134,45167
529,134,45149
530,134,45134
531,134,45130
532,134,45120
533,134,45116
534,134,45114
535,134,45106
536,134,45097
537,134,45088
538,134,45078
539,134,45068
540,134,45061
541,134,45056
542,134,45053
543,134,45052
544,134,45049
545,134,45049
546,134,45039
547,134,45034
548,134,45031
549,134,45022
550,134,45009
551,134,45000
552,134,44991
553,134,44978
554,134,44971
555,134,44964
556,134,44959
557,134,44948
558,134,44937
559,134,44920
560,134,44914
561,135,44908
562,135,44903
563,135,44898
564,135,44888
565,135,44885
566,135,44880
567,135,44874
568,135,44863
569,135,44850
570,135,44836
571,135,44828
572,135,44821
573,135,44812
574,136,44809
575,136,44807
576,136,44801
577,136,44790
578,136,44781
579,136,44771
580,136,44761
581,136,44755
582,136,44752
583,136,44748
584,136,44743
585,136,44735
586,136,44728
587,136,44726
588,136,44724
589,136,44722
590,136,44720
591,136,44719
592,136,44719
593,136,44719
