step,stockout_skus_step,total_on_hand
90,0,2093
91,0,2085
92,0,2073
93,0,2066
94,0,2052
95,0,2037
96,1,2016
97,0,2738
98,0,3457
99,0,4194
100,0,4932
101,0,5660
102,0,6396
103,0,7175
104,0,7220
105,0,7289
106,0,7348
107,0,7411
108,0,7465
109,0,7518
110,0,7538
111,0,7554
112,0,7558
113,0,7577
114,0,7585
115,0,7609
116,0,7620
117,0,7630
118,0,7642
119,0,7650
120,0,7653
121,0,7671
122,0,7665
123,0,7651
124,1,7658
125,1,7673
126,2,7681
127,2,7697
128,2,7684
129,2,7681
130,2,7672
131,2,7670
132,2,7676
133,2,7678
134,2,7685
135,3,7686
136,3,7671
137,4,7715
138,4,7732
139,4,7759
140,4,7782
141,4,7812
142,4,7857
143,4,7886
144,4,7878
145,4,7873
146,4,7866
147,4,7863
148,4,7868
149,4,7861
150,4,7853
151,4,7847
152,4,7841
153,4,7839
154,4,7836
155,4,7835
156,6,7816
157,7,7792
158,7,7779
159,7,7774
160,7,7763
161,8,7758
162,8,7757
163,10,7754
164,10,7759
165,10,7758
166,11,7754
167,11,7740
168,11,7740
169,11,7740
170,11,7740
171,13,7751
172,13,7767
173,15,7780
174,15,7780
175,16,7771
176,16,7774
177,16,7789
178,16,7783
179,16,7786
180,16,7780
181,17,7781
182,17,7770
183,17,7775
184,17,7774
185,18,7763
186,19,7746
187,19,7741
188,18,7762
189,18,7787
190,18,7811
191,19,7834
192,19,7848
193,20,7838
194,22,7836
195,23,7830
196,23,7828
197,24,7827
198,24,7826
199,24,7815
200,25,7798
201,25,7796
202,25,7786
203,25,7777
204,26,7779
205,26,7771
206,27,7766
207,27,7760
208,28,7760
209,29,7740
210,29,7725
211,30,7712
212,30,7698
213,30,7681
214,30,7659
215,30,7641
216,31,7623
217,31,7606
218,31,7587
219,31,7577
220,31,7561
221,31,7547
222,31,7535
223,32,7518
224,32,7507
225,32,7501
226,33,7482
227,33,7469
228,33,7458
229,33,7436
230,33,7415
231,33,7393
232,33,7382
233,34,7374
234,34,7352
235,35,7335
236,36,7319
237,36,7312
238,37,7288
239,37,7274
240,37,7262
241,37,7246
242,37,7210
243,38,7192
244,38,7176
245,38,7163
246,38,7143
247,38,7131
248,39,7093
249,40,7067
250,41,7049
251,41,7035
252,41,7016
253,41,7007
254,42,6991
255,42,6976
256,43,6957
257,43,6932
258,43,6918
259,43,6911
260,44,6896
261,44,6878
262,45,6861
263,46,6850
264,46,6848
265,47,6844
266,48,6843
267,48,6845
268,50,6842
269,51,6835
270,52,6793
271,54,6737
272,54,6706
273,53,6694
274,53,6680
275,53,6649
276,54,6627
277,57,6603
278,57,6588
279,57,6558
