step,stockout_skus_step,total_on_hand
90,0,2078
91,0,2070
92,0,2058
93,0,2051
94,0,2037
95,0,2022
96,1,2001
97,0,6196
98,0,10388
99,0,14797
100,0,19207
101,0,23607
102,0,28121
103,0,32839
104,0,33473
105,0,34110
106,0,34538
107,0,34970
108,0,35393
109,0,35709
110,0,35917
111,0,35998
112,0,36088
113,0,36279
114,0,36559
115,0,36841
116,0,37110
117,0,37292
118,0,37476
119,0,37656
120,0,37745
121,0,37835
122,0,38015
123,0,38187
124,0,38365
125,1,38552
126,1,38733
127,1,38921
128,1,39094
129,1,39177
130,3,39354
131,3,39638
132,3,40030
133,3,40518
134,3,41011
135,3,41399
136,4,41870
137,4,42260
138,4,42535
139,4,42720
140,4,42801
141,4,42889
142,4,42978
143,4,42951
144,4,42929
145,4,42910
146,4,42889
147,4,42872
148,4,42863
149,4,42842
150,4,42820
151,4,42900
152,4,43080
153,4,43264
154,4,43447
155,4,43632
156,5,43812
157,5,43988
158,6,44075
159,6,44070
160,6,44159
161,6,44241
162,6,44426
163,8,44608
164,8,44799
165,8,44984
166,8,45166
167,9,45237
168,10,45323
169,10,45309
170,10,45295
171,13,45276
172,13,45264
173,13,45251
174,13,45223
175,14,45199
176,14,45188
177,14,45175
178,14,45155
179,14,45144
180,15,45222
181,17,45309
182,17,45384
183,17,45561
184,17,45746
185,18,45919
186,18,46174
187,18,46341
188,18,46513
189,19,46689
190,19,46778
191,21,46966
192,21,47145
193,22,47215
194,24,47294
195,26,47375
196,26,47459
197,26,47545
198,26,47530
199,27,47505
200,28,47575
201,28,47659
202,28,47735
203,28,47812
204,28,47900
205,28,47977
206,29,48057
207,29,48037
208,29,48024
209,29,48005
210,30,47988
211,30,47976
212,30,47962
213,30,47945
214,30,47923
215,30,47905
216,30,47887
217,31,47869
218,31,47850
219,32,47840
220,32,47824
221,32,47810
222,32,47798
223,33,47781
224,33,47770
225,33,47764
226,33,47746
227,34,47733
228,34,47722
229,34,47700
230,34,47679
231,35,47657
232,35,47646
233,35,47639
234,37,47617
235,37,47601
236,37,47586
237,37,47579
238,38,47554
239,38,47540
240,38,47528
241,38,47512
242,38,47477
243,40,47458
244,41,47442
245,41,47429
246,41,47410
247,41,47398
248,41,47361
249,41,47336
250,41,47319
251,41,47305
252,41,47286
253,41,47277
254,42,47261
255,42,47246
256,42,47227
257,43,47202
258,44,47189
259,45,47182
260,47,47167
261,48,47148
262,49,47131
263,49,47208
264,50,47292
265,51,47373
266,51,47459
267,51,47547
268,53,47630
269,53,47710
270,53,47693
271,53,47678
272,53,47668
273,53,47656
274,53,47644
275,54,47629
276,54,47608
277,54,47584
278,54,47567
279,54,47547
280,54,47535
281,54,47524
282,55,47511
283,55,47494
284,55,47482
285,56,47468
286,57,47547
287,57,47639
288,58,47733
289,58,47821
290,58,47914
291,59,47984
292,59,48068
293,60,48059
294,60,48040
295,61,48032
296,62,48018
297,62,48007
298,62,47987
299,62,47974
300,62,47953
301,62,47942
302,62,47925
303,62,47917
304,62,47909
305,63,47900
306,64,47885
307,64,47859
308,64,47850
309,66,47828
310,66,47816
311,67,47793
312,67,47772
313,67,47742
314,67,47712
315,72,47590
316,73,47547
317,73,47510
318,75,47469
319,76,47436
320,77,47407
321,78,47392
322,78,47379
323,79,47367
324,79,47341
325,79,47311
326,79,47288
327,80,47253
328,81,47213
329,82,47186
330,82,47173
331,82,47147
332,82,47128
333,82,47110
334,83,47077
335,84,47068
336,85,47052
337,85,47044
338,85,47134
339,85,47221
340,85,47310
341,87,47391
342,88,47475
343,88,47567
344,89,47653
345,90,47648
346,91,47636
347,91,47624
348,91,47606
349,91,47593
350,91,47583
351,91,47575
352,91,47570
353,91,47567
354,91,47550
355,91,47532
356,91,47516
357,93,47501
358,93,47479
359,94,47467
360,96,47434
361,96,47413
362,99,47393
363,100,47377
364,100,47364
365,100,47353
366,102,47346
367,102,47331
368,103,47303
369,106,47287
370,106,47270
371,106,47251
372,107,47227
373,107,47211
374,108,47182
375,108,47159
376,108,47146
377,109,47125
378,109,47110
379,109,47103
380,109,47092
381,109,47071
382,109,47050
383,109,47035
384,110,47019
385,111,47006
386,111,46992
387,112,46979
388,112,46956
389,112,46943
390,112,46927
391,112,46909
392,112,46891
393,113,46874
394,114,46856
395,114,46842
396,114,46825
397,114,46812
398,114,46790
399,114,46781
400,115,46771
401,115,46756
402,115,46742
403,116,46725
404,117,46715
405,118,46697
406,119,46684
407,119,46675
408,119,46660
409,120,46631
410,120,46619
411,120,46605
412,120,46593
413,120,46577
414,120,46564
415,120,46550
416,120,46529
417,121,46503
418,121,46495
419,121,46481
420,121,46470
421,121,46453
422,121,46443
423,121,46432
424,121,46415
425,121,46402
426,121,46384
427,122,46361
428,122,46355
429,122,46341
430,122,46323
431,122,46308
432,122,46294
433,122,46286
434,122,46271
435,122,46265
436,122,46262
437,122,46245
438,123,46229
439,124,46220
440,124,46211
441,124,46204
442,124,46197
443,124,46184
444,124,46158
445,124,46138
446,124,46128
447,125,46116
448,125,46107
449,126,46101
450,126,46096
451,126,46091
452,127,46085
453,127,46077
454,127,46066
455,127,46058
456,127,46052
457,127,46045
458,127,46030
459,127,46017
460,128,45995
461,128,45977
462,128,45973
463,128,45968
464,128,45961
465,128,45945
466,128,45923
467,128,45917
468,128,45905
469,128,45884
470,129,45875
471,129,45869
472,129,45856
473,129,45849
474,129,45833
475,129,45819
476,129,45805
477,130,45800
478,130,45797
479,130,45778
480,130,45769
481,131,45742
482,131,45732
483,131,45713
484,131,45705
485,131,45693
486,131,45677
487,131,45660
488,131,45647
489,132,45636
490,132,45630
491,132,45625
492,132,45615
493,132,45606
494,132,45596
495,132,45593
496,132,45590
497,132,45587
498,132,45576
499,132,45567
500,132,45561
501,132,45555
502,132,45551
503,132,45538
504,132,45524
505,132,45519
506,132,45513
507,132,45503
508,132,45491
509,132,45481
510,133,45468
511,133,45462
512,133,45452
513,133,45446
514,133,45438
515,133,45423
516,133,45406
517,133,45400
518,133,45393
519,133,45388
520,133,45381
521,133,45368
522,134,45354
523,134,45344
524,134,45321
525,134,45312
526,134,45310
527,134,45300
528,134,45293
529,134,45275
530,134,45260
531,134,45256
532,134,45246
533,134,45242
534,134,45240
535,134,45232
536,134,45223
537,134,45214
538,134,45204
539,134,45194
540,134,45187
541,134,45182
542,134,45179
543,134,45178
544,134,45175
545,134,45175
546,134,45165
547,134,45160
548,134,45157
549,134,45148
550,134,45135
551,134,45126
552,134,45117
553,134,45104
554,134,45097
555,134,45090
556,134,45085
557,134,45074
558,134,45063
559,134,45046
560,134,45040
561,135,45033
562,135,45028
563,135,45023
564,135,45013
565,135,45010
566,135,45005
567,135,44999
568,135,44988
569,135,44975
570,135,44961
571,135,44953
572,135,44946
573,135,44937
574,136,44934
575,136,44932
576,136,44926
577,136,44915
578,136,44906
579,136,44896
580,136,44886
581,136,44880
582,136,44877
583,136,44873
584,136,44868
585,136,44860
586,136,44853
587,136,44851
588,136,44849
589,136,44847
590,136,44845
591,136,44844
592,136,44844
593,136,44844
