step,stockout_skus_step,total_on_hand
90,0,2062
91,0,2054
92,0,2042
93,0,2035
94,0,2021
95,0,2006
96,1,1986
97,0,6070
98,0,10151
99,0,14447
100,0,18744
101,0,23031
102,0,27534
103,0,32031
104,0,32670
105,0,33312
106,0,33747
107,0,34186
108,0,34822
109,0,35249
110,0,35778
111,0,36065
112,0,36361
113,0,36658
114,0,36944
115,0,37026
116,0,37095
117,0,37077
118,0,37261
119,0,37441
120,1,37630
121,1,37820
122,1,38100
123,1,38372
124,1,38752
125,1,38939
126,1,39119
127,1,39307
128,1,39479
129,2,39561
130,3,39738
131,3,39922
132,3,40114
133,3,40302
134,3,40495
135,3,40683
136,3,40854
137,4,40943
138,4,40918
139,4,40903
140,4,40984
141,4,41072
142,4,41161
143,4,41234
144,4,41312
145,4,41493
146,4,41672
147,5,41755
148,5,41846
149,5,41925
150,5,42003
151,5,42183
152,5,42263
153,7,42347
154,7,42530
155,7,42715
156,7,42897
157,7,43175
158,8,43363
159,8,43558
160,8,43747
161,9,43927
162,9,44212
163,9,44595
164,9,44986
165,9,45371
166,10,45754
167,10,46125
168,11,46411
169,11,46597
170,12,46683
171,14,46665
172,14,46653
173,15,46638
174,15,46610
175,15,46588
176,15,46577
177,15,46564
178,15,46544
179,15,46533
180,17,46512
181,17,46501
182,17,46476
183,17,46453
184,17,46438
185,17,46411
186,18,46365
187,18,46332
188,18,46304
189,19,46281
190,19,46270
191,19,46258
192,19,46237
193,20,46206
194,20,46184
195,22,46164
196,22,46147
197,24,46131
198,24,46116
199,25,46092
200,25,46062
201,25,46046
202,26,46122
203,27,46199
204,28,46289
205,28,46369
206,28,46451
207,28,46531
208,29,46617
209,29,46598
210,29,46583
211,29,46571
212,29,46557
213,29,46540
214,29,46518
215,29,46500
216,29,46482
217,29,46464
218,29,46445
219,29,46435
220,29,46419
221,29,46405
222,29,46393
223,29,46376
224,29,46365
225,29,46359
226,30,46340
227,31,46326
228,33,46313
229,33,46291
230,33,46270
231,33,46248
232,33,46237
233,33,46229
234,35,46207
235,35,46190
236,36,46173
237,36,46266
238,37,46342
239,37,46428
240,37,46516
241,37,46600
242,38,46666
243,38,46749
244,38,46733
245,38,46720
246,38,46700
247,39,46687
248,40,46648
249,41,46723
250,41,46805
251,41,46891
252,42,46972
253,42,47063
254,42,47149
255,42,47234
256,42,47216
257,43,47291
258,44,47378
259,44,47471
260,45,47555
261,46,47637
262,47,47720
263,47,47898
264,48,47983
265,49,48064
266,49,48150
267,50,48237
268,50,48322
269,51,48401
270,51,48384
271,51,48368
272,51,48358
273,51,48346
274,52,48333
275,53,48318
276,53,48298
277,54,48273
278,54,48256
279,54,48236
280,54,48224
281,54,48313
282,55,48400
283,57,48481
284,57,48569
285,58,48655
286,59,48736
287,59,48828
288,60,48822
289,60,48810
290,60,48803
291,61,48773
292,61,48757
293,62,48748
294,63,48729
295,63,48722
296,63,48709
297,63,48698
298,64,48677
299,65,48664
300,65,48643
301,66,48632
302,66,48616
303,66,48608
304,66,48600
305,67,48591
306,67,48577
307,67,48551
308,68,48542
309,69,48522
310,69,48510
311,69,48488
312,69,48467
313,70,48438
314,70,48410
315,74,48296
316,74,48254
317,74,48218
318,74,48176
319,77,48143
320,77,48114
321,78,48099
322,78,48086
323,79,48073
324,79,48047
325,80,48015
326,80,47992
327,80,47960
328,82,47926
329,82,47900
330,82,47887
331,82,47861
332,82,47843
333,82,47826
334,84,47793
335,84,47784
336,84,47769
337,84,47761
338,84,47751
339,84,47738
340,84,47726
341,85,47710
342,86,47693
343,86,47685
344,86,47671
345,87,47666
346,89,47653
347,90,47640
348,90,47622
349,90,47609
350,90,47599
351,90,47591
352,90,47586
353,90,47583
354,90,47566
355,90,47548
356,90,47533
357,91,47519
358,91,47497
359,91,47484
360,92,47450
361,96,47429
362,98,47412
363,98,47397
364,98,47384
365,99,47374
366,100,47367
367,101,47351
368,101,47323
369,103,47306
370,103,47288
371,104,47267
372,106,47244
373,106,47228
374,107,47199
375,107,47175
376,107,47162
377,108,47140
378,108,47125
379,108,47118
380,108,47107
381,108,47086
382,108,47064
383,109,47050
384,110,47034
385,110,47022
386,110,47008
387,111,46995
388,111,46972
389,111,46959
390,111,46943
391,111,46925
392,111,46907
