step,stockout_skus_step,total_on_hand
90,0,2093
91,0,2085
92,0,2073
93,0,2066
94,0,2052
95,0,2037
96,1,2016
97,0,6315
98,0,10611
99,0,15015
100,0,19420
101,0,23815
102,0,28218
103,0,32936
104,0,33343
105,0,33876
106,0,34309
107,0,34746
108,0,35174
109,0,35601
110,0,35809
111,0,36013
112,0,36103
113,0,36294
114,0,36474
115,0,36756
116,0,37025
117,0,37207
118,0,37391
119,0,37571
120,0,37660
121,0,37850
122,0,37930
123,0,38002
124,1,38181
125,1,38368
126,2,38548
127,2,38736
128,2,38809
129,2,38892
130,2,38969
131,2,39053
132,2,39145
133,2,39233
134,2,39326
135,3,39413
136,3,39484
137,4,39872
138,4,40147
139,4,40432
140,4,40713
141,4,41001
142,4,41390
143,4,41763
144,4,41841
145,4,41922
146,4,42001
147,4,42084
148,4,42175
149,4,42254
150,4,42332
151,4,42412
152,4,42492
153,4,42576
154,4,42659
155,4,42744
156,6,42725
157,7,42701
158,7,42688
159,7,42683
160,7,42672
161,8,42753
162,8,42838
163,10,42921
164,10,43012
165,10,43097
166,11,43179
167,11,43251
168,11,43337
169,11,43423
170,11,43509
171,13,43692
172,13,43880
173,15,44065
174,15,44237
175,16,44314
176,16,44403
177,16,44590
178,16,44670
179,16,44759
180,16,44839
181,17,44926
182,17,45001
183,17,45178
184,17,45263
185,17,45336
186,18,45490
187,18,45657
188,18,45829
189,18,46005
190,18,46094
191,19,46182
192,19,46261
193,20,46230
194,22,46207
195,23,46287
196,23,46371
197,24,46456
198,24,46541
199,24,46616
200,25,46685
201,25,46769
202,25,46845
203,25,46922
204,26,47010
205,26,47088
206,27,47169
207,27,47249
208,28,47335
209,29,47315
210,29,47300
211,30,47287
212,30,47273
213,30,47256
214,30,47234
215,30,47216
216,31,47198
217,31,47181
218,31,47162
219,31,47152
220,31,47136
221,31,47122
222,31,47110
223,32,47093
224,32,47082
225,32,47076
226,33,47057
227,33,47044
228,33,47033
229,33,47011
230,33,46990
231,33,46968
232,33,46957
233,34,46949
234,34,46927
235,35,46910
236,36,46894
237,36,46887
238,37,46863
239,37,46849
240,37,46837
241,37,46821
242,37,46785
243,38,46767
244,38,46751
245,38,46738
246,38,46718
247,38,46706
248,39,46668
249,40,46642
250,41,46624
251,41,46610
252,41,46591
253,41,46582
254,42,46566
255,42,46551
256,43,46532
257,43,46507
258,43,46493
259,43,46486
260,44,46471
261,44,46453
262,45,46436
263,46,46511
264,46,46595
265,47,46677
266,48,46762
267,48,46850
268,50,46933
269,51,47012
270,51,46995
271,52,46979
272,52,46969
273,52,46956
274,52,46944
275,53,46929
276,54,46908
277,54,46884
278,54,46867
279,54,46847
