step,stockout_skus_step,total_on_hand
90,0,2076
91,0,2068
92,0,2056
93,0,2049
94,0,2035
95,0,2020
96,0,1999
97,0,6080
98,0,10158
99,0,14344
100,0,18531
101,0,22708
102,0,26893
103,0,31393
104,0,31923
105,0,32456
106,0,32889
107,0,33326
108,0,33754
109,0,34181
110,0,34389
111,0,34470
112,0,34560
113,0,34651
114,0,34731
115,0,34913
116,1,35082
117,1,35164
118,1,35448
119,1,35728
120,1,36128
121,1,36728
122,1,37218
123,1,37700
124,1,38190
125,1,38487
126,1,38777
127,1,38965
128,2,38937
129,2,39028
130,3,39114
131,3,39306
132,3,39606
133,3,39902
134,3,40203
135,3,40499
136,3,40670
137,4,40959
138,4,41134
139,4,41219
140,4,41300
141,4,41388
142,4,41477
143,4,41550
144,4,41628
145,4,41709
146,4,41788
147,4,41871
148,4,41962
149,4,42041
150,4,42219
151,4,42399
152,4,42579
153,5,42764
154,5,42947
155,5,43132
156,5,43314
157,5,43390
158,6,43377
159,6,43372
160,6,43361
161,7,43442
162,7,43527
163,8,43610
164,8,43801
165,8,43986
166,9,44170
167,9,44341
168,9,44427
169,9,44513
170,10,44598
171,13,44580
172,13,44568
173,13,44552
174,14,44523
175,15,44500
176,15,44589
177,15,44676
178,15,44756
179,16,44844
180,16,44924
181,16,45011
182,16,45186
183,18,45262
184,18,45347
185,19,45421
186,19,45476
187,20,45543
188,20,45615
189,21,45692
190,21,45781
191,22,45870
192,22,45949
193,23,46020
194,23,46100
195,24,46181
196,24,46165
197,25,46150
198,25,46135
199,26,46110
200,26,46080
201,26,46064
202,26,46040
203,26,46017
204,26,46005
205,28,45983
206,28,45965
207,28,45945
208,29,45931
209,29,45912
210,29,45897
211,30,45884
212,30,45870
213,30,45953
214,30,46031
215,31,46114
216,31,46197
217,31,46280
218,31,46361
219,31,46451
220,31,46435
221,31,46421
222,31,46409
223,32,46392
224,32,46381
225,32,46475
226,32,46556
227,33,46644
228,33,46732
229,33,46810
230,33,46889
231,33,46967
232,33,46956
233,33,46948
234,34,46926
235,36,46906
236,36,46891
237,36,46884
238,37,46860
239,37,46846
240,37,46834
241,37,46818
242,38,46784
243,38,46767
244,38,46751
245,38,46738
246,39,46718
247,39,46706
248,39,46668
249,39,46643
250,39,46626
251,39,46612
252,39,46593
253,39,46584
254,40,46569
255,40,46554
256,41,46535
257,41,46510
258,42,46496
259,42,46489
260,44,46475
261,44,46457
262,45,46440
263,46,46515
264,48,46598
265,49,46680
266,49,46764
267,51,46851
268,51,46937
269,51,47017
270,52,46975
271,53,46927
272,53,46897
273,53,46861
274,54,46827
275,54,46785
276,56,46721
277,58,46649
278,59,46598
279,59,46538
280,59,46502
281,62,46571
282,64,46641
283,66,46704
284,66,46774
285,68,46846
286,68,47005
287,68,47184
288,68,47272
289,68,47336
290,69,47417
291,70,47432
292,70,47484
293,70,47460
294,70,47406
295,71,47385
296,72,47350
297,72,47323
298,73,47265
299,73,47255
300,73,47235
301,73,47225
302,73,47209
303,74,47201
304,74,47193
305,74,47185
306,74,47172
307,75,47146
308,75,47138
309,75,47118
310,75,47106
311,75,47085
312,75,47064
313,75,47037
314,75,47009
315,76,46899
316,76,46857
317,76,46822
318,77,46782
319,79,46751
320,81,46722
321,82,46708
322,82,46695
323,82,46685
324,82,46659
325,82,46629
326,82,46606
327,84,46576
328,86,46543
329,86,46518
330,87,46505
331,88,46479
332,88,46462
333,88,46445
334,89,46414
335,89,46406
336,89,46392
337,89,46384
338,89,46474
339,89,46561
340,89,46650
341,90,46732
342,90,46818
343,90,46911
344,91,46998
345,91,46994
346,93,46981
347,94,46969
348,94,46951
349,94,46938
350,94,46928
351,94,46920
352,94,46915
353,94,46912
354,94,46895
355,96,46878
356,97,46864
357,97,46852
358,97,46831
359,97,46819
360,98,46788
361,100,46768
362,101,46751
363,102,46735
364,102,46723
365,102,46714
366,102,46708
367,102,46693
368,103,46664
369,103,46647
370,105,46629
371,106,46608
372,106,46587
373,106,46571
374,107,46542
375,107,46519
376,108,46506
377,108,46486
378,108,46471
379,108,46464
380,108,46453
381,108,46432
382,109,46411
383,109,46397
384,110,46379
385,111,46365
386,111,46351
387,111,46339
388,111,46316
389,111,46303
390,111,46287
391,111,46269
392,111,46251
393,112,46233
394,113,46215
395,114,46201
396,115,46185
397,115,46172
398,116,46151
399,116,46142
400,116,46133
401,116,46118
402,117,46104
403,117,46088
404,118,46078
405,119,46060
406,119,46048
407,119,46039
408,119,46024
409,119,45995
410,119,45983
411,119,45969
412,119,45957
413,120,45940
414,120,45927
415,120,45913
416,120,45892
417,120,45866
418,120,45858
419,120,45844
420,120,45833
421,120,45815
422,120,45805
423,120,45794
424,121,45776
425,121,45763
426,121,45745
427,122,45720
428,122,45714
429,122,45700
430,122,45682
431,122,45667
432,123,45653
433,123,45645
434,123,45630
435,123,45624
436,123,45621
437,124,45606
438,124,45593
439,124,45585
440,124,45576
441,124,45569
442,124,45562
443,124,45549
444,124,45523
445,124,45503
446,125,45493
447,125,45481
448,126,45473
449,126,45468
450,127,45462
451,127,45458
452,127,45453
453,127,45445
454,127,45434
455,127,45426
456,127,45420
457,127,45413
458,127,45398
459,127,45385
460,128,45366
461,128,45348
462,128,45344
463,128,45339
464,128,45332
465,128,45316
466,128,45294
467,128,45288
468,128,45276
469,128,45255
470,129,45246
471,129,45240
472,129,45227
473,129,45220
474,129,45204
475,129,45190
476,129,45176
477,130,45171
478,130,45168
479,130,45149
480,131,45140
481,131,45114
482,131,45104
483,131,45085
484,131,45077
485,131,45065
486,131,45049
487,131,45032
488,131,45019
489,131,45008
490,131,45001
491,131,44996
492,132,44985
493,132,44976
494,132,44966
495,132,44963
496,132,44960
497,132,44957
498,132,44946
499,132,44937
500,132,44931
501,132,44925
502,132,44921
503,132,44908
504,132,44894
505,132,44889
506,132,44883
507,132,44873
508,132,44861
509,133,44851
510,133,44839
511,133,44833
512,133,44823
513,133,44817
514,133,44809
515,133,44794
516,133,44777
517,133,44771
518,133,44764
519,133,44759
520,133,44752
521,133,44739
522,134,44725
523,134,44715
524,134,44692
525,134,44683
526,134,44681
527,134,44671
528,134,44664
529,134,44646
530,134,44631
531,134,44627
532,134,44617
533,134,44613
534,134,44611
535,134,44603
536,134,44594
537,134,44585
538,134,44575
539,134,44565
540,134,44558
541,134,44553
542,134,44550
543,134,44549
544,134,44546
545,134,44546
546,134,44536
547,134,44531
548,134,44528
549,134,44519
550,134,44506
551,134,44497
552,134,44488
553,134,44475
554,134,44468
555,134,44461
556,134,44456
557,134,44445
558,134,44434
559,134,44417
560,134,44411
561,135,44404
562,135,44399
563,135,44394
564,135,44384
565,135,44381
566,135,44376
567,135,44370
568,135,44359
569,135,44346
570,135,44332
571,135,44324
572,135,44317
573,135,44308
574,136,44305
575,136,44303
576,136,44297
577,136,44286
578,136,44277
579,136,44267
580,136,44257
581,136,44251
582,136,44248
583,136,44244
584,136,44239
585,136,44231
586,136,44224
587,136,44222
588,136,44220
589,136,44218
590,136,44216
591,136,44215
592,136,44215
593,136,44215
