step,stockout_skus_step,total_on_hand
90,0,611
91,1,603
92,3,592
93,4,586
94,6,575
95,7,562
96,10,547
97,0,7695
98,0,14840
99,0,21988
100,0,29137
101,0,36276
102,0,43423
103,0,50564
104,1,50545
105,1,50529
106,2,50518
107,2,50511
108,2,50495
109,2,50478
110,2,50463
111,2,50444
112,2,50434
113,2,50427
114,2,50407
115,2,50389
116,4,50363
117,5,50346
118,6,50333
119,6,50314
120,7,50304
121,7,50295
122,7,50276
123,8,50248
124,8,50230
125,10,50218
126,10,50200
127,10,50190
128,11,50164
129,11,50148
130,12,50129
131,12,50114
132,12,50106
133,12,50095
134,12,50088
135,12,50076
136,13,50052
137,13,50043
138,13,50020
139,14,50008
140,14,49993
141,14,49984
142,15,49975
143,15,49950
144,15,49931
145,16,49913
146,16,49896
147,17,49880
148,17,49871
149,17,49855
150,18,49836
151,19,49819
152,19,49802
153,19,49789
154,19,49775
155,20,49761
156,21,49744
157,23,49725
158,23,49716
159,23,49711
160,24,49702
161,24,49685
162,24,49671
163,26,49658
164,26,49650
165,27,49637
166,27,49623
167,27,49598
168,27,49587
169,27,49577
170,27,49564
171,27,49551
172,27,49541
173,27,49529
174,27,49501
175,28,49480
176,29,49471
177,29,49458
178,30,49439
179,30,49429
180,31,49415
181,31,49405
182,31,49383
183,32,49363
184,33,49349
185,33,49327
186,34,49290
187,35,49267
188,35,49250
189,36,49237
190,36,49228
191,36,49220
192,37,49204
193,38,49177
194,38,49165
195,38,49149
196,38,49134
197,38,49121
198,38,49109
199,38,49086
200,41,49059
201,41,49044
202,41,49029
203,41,49012
204,41,49006
205,41,48990
206,42,48973
207,42,48955
208,42,48943
209,42,48926
210,42,48913
211,43,48901
212,43,48888
213,44,48872
214,44,48852
215,44,48837
216,45,48822
217,45,48805
218,45,48787
219,47,48780
220,47,48767
221,47,48756
222,47,48746
223,48,48733
224,48,48722
225,48,48717
226,50,48700
227,51,48690
228,52,48680
229,53,48658
230,54,48638
231,55,48621
232,55,48613
233,55,48607
234,55,48592
235,58,48577
236,59,48563
237,59,48558
238,59,48537
239,59,48528
240,59,48520
241,59,48506
242,59,48478
243,60,48464
244,60,48451
245,60,48440
246,60,48423
247,61,48413
248,65,48381
249,65,48362
250,66,48347
251,66,48338
252,66,48323
253,66,48316
254,66,48303
255,67,48291
256,67,48276
257,68,48257
258,68,48246
259,68,48243
260,68,48233
261,70,48216
262,72,48204
263,72,48185
264,72,48174
265,72,48158
266,74,48147
267,74,48139
268,74,48126
269,75,48108
270,75,48097
271,75,48083
272,75,48074
273,75,48062
274,75,48051
275,75,48037
276,77,48018
277,79,47998
278,79,47983
279,80,47964
280,81,47931
281,81,47913
282,82,47891
283,82,47861
284,82,47831
285,82,47798
286,82,47759
287,82,47741
288,82,47729
289,82,47693
290,82,47678
291,83,47600
292,83,47552
293,83,47528
294,83,47477
295,83,47459
296,84,47430
297,84,47403
298,85,47346
299,86,47316
300,87,47260
301,87,47236
302,90,47198
303,91,47186
304,92,47165
305,92,47144
306,92,47111
307,93,47046
308,93,47028
309,93,46980
310,93,46950
311,94,46893
312,94,46848
313,94,46782
314,94,46713
315,98,46421
316,98,46307
317,100,46217
318,100,46136
319,100,46067
320,100,45998
321,101,45963
322,101,45927
323,101,45909
324,101,45843
325,101,45818
326,102,45804
327,102,45776
328,102,45746
329,102,45725
330,103,45715
331,104,45695
332,104,45680
333,104,45664
334,104,45637
335,104,45631
336,104,45617
337,104,45611
338,104,45601
339,104,45589
340,105,45581
341,106,45572
342,106,45561
343,106,45554
344,106,45542
345,106,45539
346,106,45530
347,106,45519
348,106,45503
349,106,45491
350,106,45482
351,106,45475
352,106,45471
353,106,45468
354,106,45454
355,106,45441
356,106,45428
357,106,45418
358,107,45402
359,108,45393
360,108,45370
361,108,45357
362,108,45343
363,108,45330
364,109,45320
365,110,45312
366,110,45307
367,110,45295
368,112,45275
369,113,45264
370,114,45252
371,114,45236
372,114,45219
373,115,45203
374,115,45179
375,116,45157
376,118,45145
377,118,45128
378,118,45113
379,118,45108
380,118,45100
381,119,45082
382,119,45068
383,119,45056
384,120,45045
385,120,45033
386,120,45022
387,120,45011
388,120,44988
389,120,44978
390,121,44965
391,122,44949
392,122,44931
393,122,44921
394,122,44910
395,122,44899
396,122,44885
397,122,44872
398,122,44852
399,122,44843
400,122,44834
401,123,44820
402,123,44808
403,124,44795
404,124,44790
405,124,44774
406,124,44762
407,124,44753
408,124,44738
409,124,44710
410,124,44698
411,124,44684
412,124,44673
413,124,44658
414,124,44647
415,124,44635
416,124,44615
417,124,44593
418,124,44585
419,126,44572
420,126,44561
421,126,44544
422,126,44534
423,126,44524
424,126,44507
425,126,44494
426,127,44478
427,128,44462
428,128,44456
429,128,44442
430,128,44424
431,128,44409
432,128,44396
433,128,44388
434,129,44375
435,129,44369
436,129,44366
437,129,44352
438,129,44340
439,129,44334
440,129,44325
441,129,44318
442,129,44312
443,129,44299
444,129,44274
445,129,44255
446,129,44246
447,129,44237
448,129,44230
449,129,44225
450,129,44220
451,129,44216
452,129,44211
453,129,44203
454,129,44192
455,129,44184
456,129,44178
457,129,44171
458,130,44156
459,130,44145
460,130,44129
461,130,44112
462,130,44108
463,130,44104
464,130,44099
465,130,44083
466,130,44061
467,130,44055
468,130,44043
469,131,44027
470,131,44019
471,131,44013
472,131,44000
473,131,43993
474,132,43977
475,132,43967
476,132,43954
477,132,43951
478,132,43948
479,132,43929
480,132,43923
481,132,43898
482,132,43888
483,132,43871
484,132,43863
485,132,43852
486,132,43836
487,132,43819
488,132,43807
489,132,43797
490,132,43791
491,132,43786
492,132,43776
493,132,43767
494,132,43757
495,132,43754
496,132,43751
497,132,43748
498,132,43737
499,132,43728
500,132,43722
501,132,43716
502,133,43712
503,133,43699
504,133,43687
505,133,43683
506,133,43677
507,133,43667
508,133,43658
509,133,43649
510,133,43637
511,133,43631
512,133,43621
513,133,43615
514,133,43607
515,133,43592
516,133,43575
517,133,43569
518,134,43562
519,134,43557
520,134,43552
521,134,43542
522,134,43532
523,134,43522
524,134,43499
525,134,43490
526,134,43488
527,134,43478
528,134,43471
529,134,43453
530,134,43438
531,134,43434
532,134,43424
533,134,43420
534,134,43418
535,134,43410
536,134,43401
537,134,43392
538,134,43382
539,134,43372
540,134,43365
541,134,43360
542,134,43357
543,134,43356
544,134,43353
545,134,43353
546,134,43343
547,134,43338
548,134,43335
549,134,43326
550,134,43313
551,134,43304
552,134,43295
553,134,43282
554,134,43275
555,134,43268
556,134,43263
557,135,43253
558,135,43244
559,135,43227
560,135,43223
561,135,43218
562,135,43213
563,135,43208
564,135,43198
565,135,43195
566,135,43190
567,135,43184
568,135,43173
569,136,43160
570,136,43148
571,136,43141
572,136,43136
573,136,43129
574,136,43127
575,136,43125
576,136,43119
577,136,43108
578,136,43099
579,136,43089
580,136,43079
581,136,43073
582,136,43070
583,136,43066
584,136,43061
585,136,43053
586,136,43046
587,136,43044
588,136,43042
