step,stockout_skus_step,total_on_hand
90,0,622
91,0,614
92,3,602
93,4,596
94,6,585
95,6,572
96,11,556
97,0,7704
98,0,14849
99,0,21997
100,0,29146
101,0,36285
102,0,43432
103,0,50573
104,1,50554
105,1,50538
106,2,50527
107,2,50520
108,2,50504
109,2,50487
110,2,50472
111,2,50453
112,2,50443
113,2,50436
114,2,50416
115,3,50398
116,5,50372
117,5,50356
118,6,50343
119,6,50324
120,7,50314
121,7,50305
122,7,50286
123,7,50258
124,7,50240
125,8,50228
126,8,50210
127,9,50199
128,9,50173
129,9,50157
130,11,50137
131,11,50122
132,11,50114
133,11,50103
134,11,50096
135,11,50084
136,12,50060
137,13,50051
138,13,50028
139,14,50016
140,14,50001
141,15,49991
142,15,49983
143,15,49958
144,15,49939
145,16,49921
146,16,49904
147,17,49888
148,17,49879
149,17,49863
150,18,49844
151,19,49827
152,21,49810
153,21,49797
154,21,49783
155,22,49769
156,23,49752
157,24,49734
158,24,49725
159,24,49720
160,25,49711
161,25,49694
162,25,49680
163,26,49667
164,27,49658
165,27,49645
166,27,49631
167,28,49605
168,28,49594
169,28,49584
170,28,49571
171,28,49558
172,29,49548
173,29,49536
174,29,49508
175,29,49488
176,29,49480
177,29,49467
178,29,49448
179,29,49438
180,31,49423
181,31,49413
182,32,49390
183,33,49370
184,33,49356
185,33,49334
186,34,49297
187,35,49273
188,35,49256
189,37,49242
190,37,49233
191,37,49225
192,37,49209
193,38,49182
194,38,49170
195,38,49154
196,38,49139
197,38,49126
198,38,49114
199,38,49091
200,41,49063
201,41,49048
202,42,49032
203,42,49015
204,42,49009
205,42,48993
206,43,48976
207,43,48958
208,43,48946
209,44,48929
210,44,48916
211,44,48905
212,44,48892
213,45,48876
214,45,48856
215,45,48841
216,46,48826
217,46,48809
218,46,48791
219,47,48784
220,47,48771
221,48,48759
222,48,48749
223,49,48736
224,49,48725
225,49,48720
226,51,48703
227,52,48693
228,53,48683
229,54,48661
230,54,48641
231,55,48624
232,55,48616
233,55,48610
234,55,48595
235,57,48580
236,59,48565
237,59,48560
238,60,48538
239,60,48529
240,60,48521
241,60,48507
242,60,48479
243,60,48465
244,60,48452
245,60,48441
246,61,48424
247,62,48414
248,65,48382
249,65,48363
250,67,48348
251,67,48339
252,67,48324
253,67,48317
254,67,48304
255,68,48292
256,68,48277
257,68,48259
258,68,48248
259,68,48245
260,68,48235
261,69,48218
262,72,48205
263,72,48186
264,72,48175
265,72,48159
266,74,48148
267,74,48140
268,74,48127
269,74,48109
270,75,48097
271,75,48083
272,75,48074
273,75,48062
274,75,48051
275,75,48037
276,77,48018
277,79,47998
278,79,47983
279,81,47963
280,82,47930
281,82,47912
282,83,47890
283,83,47860
284,83,47830
285,83,47797
286,83,47758
287,83,47740
288,83,47728
289,83,47692
290,83,47677
291,84,47599
292,84,47551
293,84,47527
294,84,47476
295,84,47458
296,85,47429
297,85,47402
298,86,47345
299,87,47315
300,88,47259
301,88,47235
302,91,47198
303,92,47186
304,93,47165
305,93,47144
306,93,47111
307,94,47046
308,94,47028
309,95,46980
310,95,46950
311,96,46893
312,96,46848
313,96,46782
314,96,46713
315,99,46422
316,99,46308
317,101,46218
318,101,46137
319,101,46068
320,101,45999
321,102,45963
322,102,45927
323,102,45909
324,102,45843
325,102,45818
326,103,45804
327,103,45776
328,103,45746
329,103,45725
330,104,45715
331,105,45695
332,105,45680
333,105,45664
334,105,45637
335,105,45631
336,105,45617
337,105,45611
338,105,45601
339,105,45589
340,106,45581
341,106,45572
342,106,45561
343,106,45554
344,106,45542
345,106,45539
346,106,45530
347,106,45519
348,106,45503
349,106,45491
350,106,45482
351,106,45475
352,106,45471
353,106,45468
354,106,45454
355,106,45441
356,106,45428
357,106,45418
358,107,45402
359,108,45393
360,108,45370
361,108,45357
362,108,45343
363,108,45330
364,109,45320
365,110,45312
366,110,45307
367,110,45295
368,112,45275
369,113,45264
370,113,45253
371,113,45237
372,113,45220
373,114,45204
374,114,45180
375,115,45158
376,116,45146
377,117,45129
378,117,45114
379,117,45109
380,118,45100
381,119,45082
382,121,45067
383,121,45055
384,121,45045
385,121,45033
386,121,45022
387,121,45011
388,121,44988
389,121,44978
390,121,44965
391,122,44949
392,122,44931
393,123,44920
394,123,44909
395,123,44898
396,123,44884
397,123,44871
398,123,44851
399,123,44842
400,123,44833
401,124,44819
402,124,44807
403,125,44794
404,125,44789
405,125,44773
406,125,44761
407,125,44752
408,125,44737
409,125,44709
410,125,44697
411,125,44683
412,126,44672
413,126,44657
414,126,44646
415,126,44634
416,126,44614
417,126,44592
418,126,44584
419,127,44572
420,127,44561
421,127,44544
422,127,44534
423,127,44524
424,127,44507
425,127,44494
426,128,44478
427,129,44462
428,129,44456
429,129,44442
430,129,44424
431,129,44409
432,129,44396
433,129,44388
434,129,44376
435,129,44370
436,129,44367
437,129,44353
438,129,44341
439,129,44335
440,129,44326
441,129,44319
442,129,44313
443,129,44300
444,129,44275
445,129,44256
446,129,44247
447,129,44238
448,129,44231
449,129,44226
450,129,44221
451,129,44217
452,129,44212
453,129,44204
454,129,44193
455,129,44185
456,129,44179
457,129,44172
458,130,44157
459,130,44146
460,130,44130
461,130,44113
462,130,44109
463,130,44105
464,130,44100
465,130,44084
466,130,44062
